MSE,Frobenius Error,Elementnorm Error,Max Error (abs),Max Error (rel),Cost Reduction,% Derivatives
77.8536,0.00059956,0.025019,11757.3,0.00201285,0.667452,0.266667
4273.97,0.00120277,0.0183516,3.48384e+06,0.00356865,0.197653,0.266667
13571.2,0.00129794,0.0168945,2.02748e+07,0.00887734,0,0.266667
8445.4,0.00109413,0.0152533,8.59418e+06,0.0151047,0,0.266667
33.7253,0.000584985,0.0270795,9292.92,0.00198899,0.57901,0.266667
5.04025,0.000876062,0.0134558,4380.5,0.0038938,0,0.266667
166.033,0.0010357,0.0150399,241129,0.0236699,0.284756,0.266667
299.39,0.00107688,0.0168984,439677,0.024225,0,0.266667
33.8851,0.000557471,0.024258,6718.71,0.00203156,0.859036,0.266667
7364.5,0.000966193,0.0133831,9.01539e+06,0.00360935,0.138625,0.266667
111.655,0.00242837,0.0219357,66489.2,0.066931,0.145192,0.266667
111.655,0.00242837,0.0219357,66489.2,0.066931,0.145192,0.266667
31.4335,0.000601353,0.0285393,5885.29,0.00193987,0.623391,0.266667
31.3569,0.000855333,0.0189382,35998.8,0.0027773,0.612462,0.266667
100.461,0.00101596,0.0188896,133753,0.00302406,0.0310847,0.266667
35.4825,0.00112765,0.0139272,27111.7,0.0215364,0.0485846,0.266667
1636.87,0.000690036,0.0212683,1.57469e+06,0.0022593,0.341902,0.266667
116.558,0.000816925,0.0103815,17589.1,0.00348442,0.203921,0.266667
93064.5,0.00107053,0.0157183,1.39534e+08,0.0207041,0,0.266667
11772,0.00149179,0.0180623,1.64787e+07,0.0225852,0.0563185,0.266667
55.2506,0.000664698,0.0325995,5455.64,0.00203943,0.812816,0.266667
23.9514,0.000643417,0.0141262,31579.9,0.00245494,0.242984,0.266667
12.6113,0.00133456,0.0176581,6852.93,0.0187112,0.303302,0.266667
11.5043,0.00153782,0.0209044,2265.52,0.0234005,0.158499,0.266667
6167.03,0.000470823,0.0260204,3.86058e+06,0.00219855,0.649804,0.266667
1680.76,0.00122548,0.0281543,605449,0.0182935,0.0608378,0.266667
1340.95,0.00199967,0.0254348,537314,0.044126,0,0.266667
33630.3,0.00278618,0.0193241,2.69515e+07,0.0591878,0,0.266667
48.2943,0.000570733,0.0247416,7001.67,0.00203263,0.698288,0.266667
2178.74,0.00102967,0.0185101,1.17129e+06,0.00352934,0.0472555,0.266667
73.5094,0.00122151,0.0152196,44420.5,0.01974,0.215279,0.266667
56.0779,0.00174441,0.017618,23039.9,0.00683293,0,0.266667
3959.56,0.000765867,0.0284079,2.15357e+06,0.00228588,0.64274,0.266667
47.5505,0.000818803,0.0129894,6396.43,0.00209087,0.0375818,0.266667
