MSE,Frobenius Error,Elementnorm Error,Max Error (abs),Max Error (rel),Cost Reduction,% Derivatives
4.63314e-05,1.59859e-06,0.00050587,0.0105561,0.000249303,0.00914851,5.05
4.63342e-05,1.6118e-06,0.000104376,0.0105563,0.000249283,0.00510031,5.05
4.63402e-05,1.61789e-06,9.97581e-05,0.0105571,0.000249023,0.00267477,5.05
576.062,0.00725185,0.00191042,42308.8,0.335106,0.00518592,5.05
0.0701665,1.94476e-05,0.000932656,49.4521,0.00153339,0.0541065,5.05
4.63314e-05,1.59859e-06,0.00050587,0.0105561,0.000249303,0.0103011,5.05
4.63342e-05,1.6118e-06,0.000104379,0.0105563,0.000249283,0.00574958,5.05
4.63402e-05,1.61789e-06,9.97584e-05,0.0105571,0.000249023,0.00301723,5.05
576.062,0.00725185,0.00191051,42308.5,0.335105,0.00561127,5.05
0.0701212,1.94534e-05,0.000933371,49.4528,0.00153339,0.0581372,5.05
4.63314e-05,1.59859e-06,0.00050587,0.0105561,0.000249303,0.0127229,5.05
4.63342e-05,1.6118e-06,0.000104376,0.0105563,0.000249283,0.00711873,5.05
4.63402e-05,1.61789e-06,9.97578e-05,0.0105571,0.000249023,0.00374088,5.05
576.062,0.00725185,0.00191053,42308.5,0.335106,0.00643174,5.05
0.0701363,1.94511e-05,0.000932992,49.4504,0.00153339,0.0578487,5.05
4.63314e-05,1.59859e-06,0.00050587,0.0105561,0.000249303,0.00991325,5.05
4.63342e-05,1.6118e-06,0.000104378,0.0105563,0.000249283,0.00553093,5.05
4.63402e-05,1.61789e-06,0.000100116,0.0105571,0.000249023,0.00290185,5.05
576.063,0.00725187,0.00191047,42308.3,0.335107,0.00548209,5.05
0.0701084,1.94551e-05,0.000933607,49.4497,0.00153339,0.0565667,5.05
4.63314e-05,1.59859e-06,0.00050587,0.0105561,0.000249303,0.0099566,5.05
4.63342e-05,1.6118e-06,0.000104377,0.0105563,0.000249283,0.00555536,5.05
4.63402e-05,1.61789e-06,9.97574e-05,0.0105571,0.000249023,0.00291474,5.05
576.063,0.00725187,0.00191042,42308.8,0.335107,0.00550067,5.05
0.0701457,1.94503e-05,0.000932878,49.4513,0.00153339,0.0561687,5.05
4.63314e-05,1.59859e-06,0.00050587,0.0105561,0.000249303,0.00921215,5.05
4.63342e-05,1.6118e-06,0.000104377,0.0105563,0.000249283,0.00513612,5.05
4.63402e-05,1.61789e-06,9.97581e-05,0.0105571,0.000249023,0.00269364,5.05
579.619,0.00725244,0.00191421,42308.7,0.335107,0.00523346,5.05
0.0145956,7.67656e-06,0.000193278,11.697,0.00137347,0.00323955,5.05
4.63314e-05,1.59859e-06,0.00050587,0.0105561,0.000249303,0.0116655,5.05
4.63342e-05,1.6118e-06,0.000104377,0.0105563,0.000249283,0.00652011,5.05
4.63402e-05,1.61789e-06,9.97568e-05,0.0105571,0.000249023,0.00342424,5.05
576.063,0.00725187,0.00191046,42308.6,0.335107,0.00609076,5.05
0.0701324,1.94516e-05,0.000933094,49.4453,0.00153339,0.0565271,5.05
4.63314e-05,1.59859e-06,0.00050587,0.0105561,0.000249303,0.0117923,5.05
4.63342e-05,1.6118e-06,0.000104379,0.0105563,0.000249283,0.00659182,5.05
4.63402e-05,1.61789e-06,9.97576e-05,0.0105571,0.000249023,0.00346215,5.05
576.062,0.00725185,0.00191039,42308.7,0.335106,0.00613623,5.05
0.0702454,1.9437e-05,0.000931319,49.4506,0.00153339,0.0573679,5.05
4.63314e-05,1.59859e-06,0.00050587,0.0105561,0.000249303,0.00986584,5.05
4.63342e-05,1.6118e-06,0.000104377,0.0105563,0.000249283,0.00550421,5.05
4.63402e-05,1.61789e-06,9.97583e-05,0.0105571,0.000249023,0.00288776,5.05
579.62,0.00725246,0.00191421,42308.4,0.335108,0.00546361,5.05
0.0145667,7.67632e-06,0.000193263,11.6815,0.00137342,0.00336487,5.05
4.63314e-05,1.59859e-06,0.00050587,0.0105561,0.000249303,0.0106139,5.05
4.63342e-05,1.6118e-06,0.000104378,0.0105563,0.000249283,0.00592604,5.05
4.63402e-05,1.61789e-06,9.97579e-05,0.0105571,0.000249023,0.00311038,5.05
576.062,0.00725185,0.00191049,42308.7,0.335106,0.00572965,5.05
0.0701981,1.94428e-05,0.000932086,49.4535,0.00153339,0.0566809,5.05
4.63314e-05,1.59859e-06,0.00050587,0.0105561,0.000249303,0.00933763,5.05
4.63342e-05,1.6118e-06,0.000104377,0.0105563,0.000249283,0.00520674,5.05
4.63402e-05,1.61789e-06,0.000100118,0.0105571,0.000249023,0.00273088,5.05
576.063,0.00725188,0.00191052,42308.6,0.335107,0.00526759,5.05
0.0701526,1.94491e-05,0.000932821,49.4475,0.00153339,0.0585663,5.05
4.63314e-05,1.59859e-06,0.00050587,0.0105561,0.000249303,0.00972794,5.05
4.63342e-05,1.6118e-06,0.000104376,0.0105563,0.000249283,0.00542652,5.05
4.63402e-05,1.61789e-06,0.000100121,0.0105571,0.000249023,0.00284677,5.05
579.619,0.00725245,0.00191412,42308.9,0.335107,0.00541808,5.05
0.0144408,7.67587e-06,0.00019324,11.5936,0.00137323,0.00334273,5.05
4.63314e-05,1.59859e-06,0.00050587,0.0105561,0.000249303,0.0123121,5.05
4.63342e-05,1.6118e-06,0.000104377,0.0105563,0.000249283,0.00688601,5.05
4.63402e-05,1.61789e-06,0.000100116,0.0105571,0.000249023,0.00361777,5.05
579.619,0.00725244,0.00191422,42308.7,0.335106,0.00629991,5.05
0.0144945,7.67602e-06,0.000193259,11.6295,0.00137331,0.0038766,5.05
4.63314e-05,1.59859e-06,0.00050587,0.0105561,0.000249303,0.0109049,5.05
4.63342e-05,1.6118e-06,0.000104376,0.0105563,0.000249283,0.00609032,5.05
4.63402e-05,1.61789e-06,0.000100116,0.0105571,0.000249023,0.00319714,5.05
579.62,0.00725246,0.0019142,42308.6,0.335107,0.00583296,5.05
0.0145312,7.67642e-06,0.000193256,11.6595,0.00137336,0.00360744,5.05
4.63314e-05,1.59859e-06,0.00050587,0.0105561,0.000249303,0.011289,5.05
4.63342e-05,1.6118e-06,0.000104376,0.0105563,0.000249283,0.00630727,5.05
4.63402e-05,1.61789e-06,9.97589e-05,0.0105571,0.000249023,0.00331175,5.05
576.062,0.00725186,0.00191047,42308.6,0.335106,0.00594267,5.05
0.0701318,1.94509e-05,0.000932969,49.4472,0.00153339,0.0569885,5.05
4.63314e-05,1.59859e-06,0.00050587,0.0105561,0.000249303,0.0111859,5.05
4.63342e-05,1.6118e-06,0.000104378,0.0105563,0.000249283,0.006249,5.05
4.63402e-05,1.61789e-06,9.97578e-05,0.0105571,0.000249023,0.00328099,5.05
576.062,0.00725186,0.00191048,42308.4,0.335106,0.0059094,5.05
0.0700812,1.94585e-05,0.000933976,49.4456,0.00153339,0.058536,5.05
4.63314e-05,1.59859e-06,0.00050587,0.0105561,0.000249303,0.0101668,5.05
4.63342e-05,1.6118e-06,0.000104378,0.0105563,0.000249283,0.00567385,5.05
4.63402e-05,1.61789e-06,0.000100116,0.0105571,0.000249023,0.00297727,5.05
576.063,0.00725187,0.00191048,42308.4,0.335107,0.00555871,5.05
0.0701392,1.94512e-05,0.0009331,49.4491,0.00153339,0.0565427,5.05
4.63314e-05,1.59859e-06,0.00050587,0.0105561,0.000249303,0.0102366,5.05
4.63342e-05,1.6118e-06,0.000104378,0.0105563,0.000249283,0.0057132,5.05
4.63402e-05,1.61789e-06,9.97588e-05,0.0105571,0.000249023,0.00299803,5.05
576.062,0.00725185,0.00191042,42308.4,0.335106,0.00559754,5.05
0.070224,1.94401e-05,0.000931632,49.4496,0.00153339,0.0562743,5.05
4.63314e-05,1.59859e-06,0.00050587,0.0105561,0.000249303,0.0104994,5.05
4.63342e-05,1.6118e-06,0.000104378,0.0105563,0.000249283,0.00586141,5.05
4.63402e-05,1.61789e-06,9.97576e-05,0.0105571,0.000249023,0.00307627,5.05
576.062,0.00725186,0.0019104,42308.6,0.335106,0.00569081,5.05
0.0701619,1.94475e-05,0.000932511,49.4492,0.00153339,0.0581194,5.05
4.63314e-05,1.59859e-06,0.00050587,0.0105561,0.000249303,0.0107015,5.05
4.63342e-05,1.6118e-06,0.000104377,0.0105563,0.000249283,0.0059755,5.05
4.63402e-05,1.61789e-06,9.97587e-05,0.0105571,0.000249023,0.0031365,5.05
576.063,0.00725188,0.00191039,42308.3,0.335108,0.00574743,5.05
0.0702187,1.94413e-05,0.000931754,49.4496,0.00153339,0.0590938,5.05
