MSE,Frobenius Error,Elementnorm Error,Max Error (abs),Max Error (rel),Cost Reduction,% Derivatives
17.9291,1.28055e-05,0.001186,13927.8,0.000334484,0.318448,5.27419
1108.96,0.000110566,0.00574456,957781,0.000796253,0.0671498,5.95806
15152.9,0.000853371,0.00824419,4.60563e+06,0.0353971,0,6.06774
1024.93,0.000201328,0.00450145,607557,0.0049288,0.086627,7.83226
0.106616,7.79313e-06,0.00116084,23.03,0.00029166,0.480006,7.2871
7134.19,0.000200349,0.0101838,5.97485e+06,0.000741533,0.128886,5.56452
38034.8,0.000697236,0.00596088,2.38584e+07,0.021295,0,6.72903
11047.8,0.00026842,0.00479909,9.04715e+06,0.00300326,0,10.1774
221.414,0.000139268,0.000498101,16659,0.00613804,0.368078,8.73871
330.143,0.000192783,0.00190525,159475,0.0167879,0.0198829,5.70323
415.044,0.000331314,0.0027135,114570,0.0124195,0,9.79677
486.599,0.000256921,0.00296559,70481.5,0.00692027,0,9.27097
207.263,0.000183035,0.000885196,16721.6,0.00891642,0.153543,8.04194
1171.32,0.000413134,0.00709685,445222,0.0143693,0.176529,6.60968
5729.28,0.000257046,0.00566326,2.6124e+06,0.0113003,0.065013,6.83548
5219.18,0.000669688,0.00542602,447365,0.025721,0,7.53548
0.0477077,3.63677e-06,0.000378671,23.1046,0.000263003,0.329665,6.50968
2320.28,0.000162198,0.0155912,1.51337e+06,0.00060463,0.311485,5.78065
1309.66,0.000250069,0.00633787,787181,0.00249371,0.0557272,10.3226
864.08,0.000315716,0.00592203,417359,0.00636257,0,10.4355
46.9942,3.5251e-05,0.00112042,8931.66,0.000729126,0.440431,6.25161
4.84243,0.000119119,0.00144074,466.32,0.00168906,0.219298,6.9
692.841,0.00021102,0.00269182,352298,0.0031514,0.118715,9.25161
48402.8,0.00033178,0.00392513,4.52657e+07,0.0159255,0.00649691,9.13548
0.0467233,4.90255e-06,0.00033323,21.5762,0.000255,0.528608,9.03548
87.8459,5.5599e-05,0.00283776,43389.4,0.000746115,0.272409,6.26129
13953.5,0.000231593,0.00280456,7.21546e+06,0.00423477,0.058068,8.43226
508.415,0.000283857,0.00360779,118422,0.00501366,0,8.3871
0.0441351,2.67262e-06,0.000304295,22.7316,0.000258011,0.344342,7.45161
11937.3,0.000137961,0.00947571,1.1919e+07,0.000569108,0.244236,5.72258
1573.8,0.000475483,0.0105962,174244,0.0217239,0,6.10645
1382.9,0.000185741,0.00534843,337767,0.00210815,0.0585106,6.52258
0.825231,1.73961e-05,0.00173571,517.858,0.000356109,0.44382,6.59677
6044.33,0.000216673,0.0106237,2.6521e+06,0.00223148,0.0902378,6.16774
3582.93,0.0004423,0.00528431,1.80783e+06,0.0162597,0.00321888,7.58065
2208.47,0.000399422,0.00360922,675572,0.0168606,0,8.9871
260.776,0.000217068,0.000590756,20854.3,0.00665564,0.384778,8.7
159.163,0.000130596,0.00360597,64752.2,0.0054318,0.388787,7.47097
480.427,0.000222394,0.00401454,158096,0.0075992,0,7.7871
480.427,0.000222394,0.00401454,158096,0.0075992,0,7.7871
27.4972,5.11348e-05,0.00081903,3107.55,0.00340365,0.423376,6.86452
989.127,0.000204835,0.0103478,729010,0.000835055,0.111796,5.82581
30165.8,0.000853048,0.00526791,4.84369e+06,0.0419947,0,8.05806
2108.19,0.000227648,0.00540587,967116,0.00204857,0.119229,9.05161
0.0775827,6.21032e-06,0.000395554,7.73591,0.000265196,0.49264,12.2387
435.593,0.000308,0.0148487,31997.3,0.00512729,0,6.0871
1938.16,0.000289842,0.00422623,292383,0.0149377,0,7.65161
939.868,0.000237622,0.00431383,241825,0.0129334,0,8.76774
35.3262,1.25195e-05,0.000921171,25553.6,0.000278427,0.258904,8.00645
571.726,0.000199777,0.00594358,330271,0.0136046,0.165498,6.38065
25344.1,0.00101465,0.00527277,7.7809e+06,0.0636515,0,6.36129
1976.45,0.000195375,0.00560413,835589,0.00558765,0,6.28065
195.795,7.32101e-05,0.000482492,27761,0.00589557,0.379152,5.96129
62.0538,0.000193035,0.00279464,16666,0.00562362,0,6.79355
199576,0.000327053,0.00372553,1.97417e+08,0.0645353,0.213489,7.37419
2294.69,0.00023751,0.00430996,1.02088e+06,0.00600557,0.20445,7.59355
457.111,2.1858e-05,0.00172765,136983,0.000337951,0.450382,6.67419
2838.53,0.000208353,0.00443664,1.02755e+06,0.0130473,0.235699,6.74839
3736.9,0.000424356,0.00464846,877039,0.0331399,0,7.20323
1550.48,0.000225656,0.0047108,1.22056e+06,0.00163375,0.245614,7.78065
0.102669,7.16987e-06,0.00134685,14.9518,0.000231515,0.54918,7.15161
9382.14,0.000159358,0.0126324,9.34714e+06,0.000534773,0.0675449,5.65161
366.204,0.000215227,0.00677319,290790,0.00384074,0.0462641,6.56774
25268.5,0.00139066,0.00812259,1.92908e+06,0.0597745,0,6.46452
97.5863,1.32541e-05,0.00105381,96627.1,0.000317434,0.272145,6.16774
543.419,0.000107305,0.00550316,245417,0.00170804,0.0464714,5.62581
14934.9,0.000241857,0.00617786,6.24918e+06,0.0121392,0.397016,7.44839
9554.62,0.000242439,0.00512887,3.85832e+06,0.0294649,0.272583,8.95484
40.0118,1.16262e-05,0.000502829,15599.3,0.000397123,0.53914,8.36452
258.337,5.44554e-05,0.00142625,137336,0.00122668,0.163897,6.19677
98.4428,5.08492e-05,0.00108365,44710.7,0.000950844,0,6.11935
98.4428,5.08492e-05,0.00108365,44710.7,0.000950844,0,6.11935
579.738,0.000185728,0.000858541,267133,0.00639615,0.457866,6
454.051,0.000166389,0.00318357,189556,0.00418781,0,7.7871
23751.9,0.000262746,0.00389344,2.08456e+07,0.00742286,0.294413,8.75484
804.804,0.000252762,0.00273283,239980,0.00595184,0,11.5774
695.431,0.000454163,0.00105995,46822.3,0.0116063,0,10.3323
2028.02,0.000205162,0.00229654,1.6382e+06,0.0200546,0.192683,10.8
32878.6,0.00104713,0.00491574,9.92081e+06,0.109241,0,10.671
12067.5,0.000421626,0.00638864,1.15969e+07,0.0267365,0.133128,10.8581
643.679,0.000209989,0.00123792,144933,0.0106026,0.134455,9.29032
269.699,0.000161181,0.00284854,170038,0.00615654,0.0732142,7.43548
374.031,0.000275897,0.00315999,32041.8,0.010283,0.274409,8.62903
352.147,0.000278554,0.00323574,32594.5,0.010514,0.0111939,9.66452
1017.93,0.000356683,0.00117592,449369,0.0199556,0.316356,7.11935
1083.96,0.000277008,0.00519261,163741,0.0169632,0.00372207,6.70968
1486.92,0.000330331,0.00655602,740335,0.00730572,0,8.10968
8361.16,0.000239365,0.00575766,7.54384e+06,0.00212242,0.00473696,8.86129
0.0857493,4.76767e-06,0.00044323,9.77213,0.000252589,0.513731,6.86774
31.2129,0.000156629,0.00597746,6323.14,0.00134432,0.226883,5.72903
338.26,0.000220504,0.0071532,224569,0.000854385,0.04075,6.22581
3875.92,0.000294405,0.00345118,2.6092e+06,0.02026,0.045736,8.25161
825.671,0.000462677,0.0016734,23890.7,0.00700355,0.386133,7.56129
4547.6,0.000293236,0.00353989,3.52799e+06,0.102771,0.169449,8.46129
482.46,0.000233253,0.00332819,215599,0.00286339,0.0460174,9.93548
31133.1,0.00038179,0.00380613,2.64175e+07,0.0106422,0.0248512,11.0645
42.4978,1.21219e-05,0.00169458,35075.3,0.000252181,0.449154,8.1
842.222,0.0002433,0.0124347,458566,0.00151659,0.141588,6.08065
637.381,0.000252634,0.00568983,271806,0.00326519,0.00668607,7.92258
37295.8,0.00123847,0.00335899,8.61077e+06,0.0491082,0,9.77419
