MSE,Frobenius Error,Elementnorm Error,Max Error (abs),Max Error (rel),Cost Reduction,% Derivatives
35.4667,2.78591e-05,0.00349242,1674.9,0.000100213,0.354195,0.6
755.337,6.50226e-05,0.00484119,717253,0.00017741,0.110606,0.6
7157.02,0.0011208,0.00468483,114599,0.00574019,0,0.6
579.678,0.000172287,0.00512673,176216,0.000813905,0,0.6
371.732,0.000301779,0.00430017,12637.4,0.00307782,0.362443,0.6
495.129,7.09597e-05,0.0090677,223074,0.000219033,0.0261267,0.6
495.129,7.09597e-05,0.0090677,223074,0.000219033,0.0261267,0.6
495.129,7.09597e-05,0.0090677,223074,0.000219033,0.0261267,0.6
46.5364,3.17764e-05,0.00440505,2956.68,0.000118815,0.231654,0.6
1053.39,8.08408e-05,0.0118941,568160,0.000170589,0.00128157,0.6
523.09,0.000122588,0.00764885,173867,0.000645387,0,0.6
3557.97,0.000111214,0.00631497,2.35643e+06,0.00044722,0,0.6
137.687,2.8927e-05,0.00208296,3718.96,0.00011343,0.330052,0.6
323.855,8.85692e-05,0.00472878,232637,0.000294432,0.0564073,0.6
21.9442,8.8518e-05,0.00408995,3291.67,0.000405496,0.113061,0.6
108.241,9.01192e-05,0.00517954,41609.9,0.000339024,0.127964,0.6
3820.49,3.95361e-05,0.00815146,248587,0.000148082,0.422969,0.6
3820.49,3.95361e-05,0.00815146,248587,0.000148082,0.422969,0.6
3820.49,3.95361e-05,0.00815146,248587,0.000148082,0.422969,0.6
3820.49,3.95361e-05,0.00815146,248587,0.000148082,0.422969,0.6
177.857,3.88633e-05,0.0110083,57018.8,0.000118167,0.40013,0.6
1027.74,0.00071359,0.00530779,451737,0.00339213,0,0.6
3853.41,8.01666e-05,0.00502422,3.61156e+06,0.000177621,0.0660977,0.6
212.503,9.56301e-05,0.00519124,79637,0.000229142,0.000587267,0.6
155.289,0.00017699,0.00191252,3807.04,0.0032823,0.43076,0.6
26.2822,6.68249e-05,0.00323673,9718.46,0.000239443,0.131512,0.6
26.2822,6.68249e-05,0.00323673,9718.46,0.000239443,0.131512,0.6
26.2822,6.68249e-05,0.00323673,9718.46,0.000239443,0.131512,0.6
120.917,0.00017729,0.00142457,2503.07,0.00278302,0.384349,0.6
266.953,6.42852e-05,0.0114284,232383,0.000207883,0.102052,0.6
43.4383,0.000120323,0.0118196,25327.7,0.000620272,0.0102625,0.6
1033.37,0.000111313,0.00743657,871992,0.000513127,0.0506686,0.6
7.58123,3.06261e-05,0.00466658,3784.59,0.000116073,0.310804,0.6
2044.69,0.000545256,0.0122401,452815,0.00315188,0,0.6
2279.51,0.000579086,0.00608916,254486,0.00307573,0.00477985,0.6
2437.74,0.000672874,0.00435524,511596,0.00343006,0.00528984,0.6
384.841,0.000735115,0.00136685,5002.72,0.00446986,0.0502606,0.6
2.13076,6.20827e-05,0.00612222,323.913,0.000196735,0.00655578,0.6
32.448,5.13524e-05,0.00235289,9331.84,0.000206749,0.0282722,0.6
13.0939,5.23233e-05,0.0029297,5195.15,0.000193326,0,0.6
188.628,3.54155e-05,0.00421781,4560.39,0.000144331,0.260179,0.6
237.424,5.419e-05,0.00252954,227899,0.000186288,0.055126,0.6
3.58324,5.23348e-05,0.00371792,691.02,0.000211975,0.04278,0.6
109.452,6.16507e-05,0.00261436,83517.2,0.000253097,0.0981955,0.6
103.433,2.16625e-05,0.00213155,17845.7,0.000155391,0.275051,0.6
56.4541,8.08121e-05,0.00446723,31063.5,0.000459801,0.0164869,0.6
30.8208,7.29066e-05,0.00509399,21415.2,0.000377776,0.0938611,0.6
31.7278,0.000105885,0.00523905,18777.8,0.000415717,0.030108,0.6
56.741,1.37242e-05,0.0014544,11972.8,9.46816e-05,0.285596,0.6
46.555,7.93285e-05,0.0120495,25668.1,0.000524514,0.0609373,0.6
295.494,5.77713e-05,0.00357462,38178.3,0.000290966,0.0583318,0.6
157.157,7.3378e-05,0.00572647,57762.8,0.000344793,0.149454,0.6
1107.47,2.35735e-05,0.00116798,252641,0.000154675,0.31513,0.6
136.821,5.73202e-05,0.00284593,122151,0.000490877,0.203948,0.6
101.974,3.09153e-05,0.00084628,55340.7,0.000190634,0.103305,0.6
520.354,3.50079e-05,0.00388063,72341.7,0.000163559,0.0757636,0.6
172.944,2.25976e-05,0.00161454,18482.8,0.000150951,0.192805,0.6
556.083,8.28772e-05,0.0103536,348583,0.000311004,0.206433,0.6
4367.72,0.000112269,0.00690584,1.9526e+06,0.00025112,0.230799,0.6
4367.72,0.000112269,0.00690584,1.9526e+06,0.00025112,0.230799,0.6
176.013,0.000180329,0.00141455,4660.29,0.00369326,0.311772,0.6
78.7783,7.26064e-05,0.00307167,39918.6,0.000339089,0,0.6
78.7783,7.26064e-05,0.00307167,39918.6,0.000339089,0,0.6
78.7783,7.26064e-05,0.00307167,39918.6,0.000339089,0,0.6
232.918,0.000574374,0.00214551,6477.24,0.00439384,0.197069,0.6
167.228,0.000110316,0.00541114,89634.9,0.000271131,0.0681229,0.6
2056.43,0.000115569,0.00451979,1.30174e+06,0.000320018,0,0.6
5936.06,0.000108841,0.00394325,5.11836e+06,0.000277206,0,0.6
127.35,2.85515e-05,0.00127849,2454.55,0.000100479,0.354098,0.6
49.4957,5.98182e-05,0.00533715,16385.3,0.00018301,0.0695742,0.6
1035.41,8.30162e-05,0.00727508,363724,0.000206641,0.0376595,0.6
4771.07,0.000132207,0.00655196,3.45386e+06,0.00034478,0,0.6
304.336,2.63389e-05,0.00153238,6614.26,0.000162075,0.4205,0.6
48871.3,0.000372071,0.00448838,4.86038e+07,0.00350769,0.111032,0.6
46.2606,6.87579e-05,0.0032228,8287.92,0.000366189,0,0.6
31.3924,5.79032e-05,0.002661,6717.52,0.000188494,0,0.6
114.999,0.000327361,0.00238119,1154.66,0.00264514,0.110366,0.6
777.427,7.12398e-05,0.0039024,659878,0.00025855,0.00124045,0.6
66586.4,0.000142972,0.00496822,6.61123e+07,0.00042926,0.0884983,0.6
578.452,0.000128639,0.0052913,151317,0.00066877,0.0512145,0.6
149.048,3.08743e-05,0.0022715,3658.54,0.00010051,0.346461,0.6
923.786,9.0237e-05,0.0102045,641862,0.00038793,0.0450719,0.6
240.991,7.97116e-05,0.00378748,145213,0.000203227,0,0.6
8398.59,8.18416e-05,0.00648373,7.50731e+06,0.000212943,0,0.6
1135.31,4.16181e-05,0.00532048,161305,0.000157053,0.29286,0.6
362.201,6.71177e-05,0.00337302,165077,0.000272204,0.198562,0.6
923.801,0.000113153,0.00371136,632072,0.000257696,0,0.6
923.801,0.000113153,0.00371136,632072,0.000257696,0,0.6
65.2095,3.8112e-05,0.00400587,7649.75,0.000129909,0.261561,0.6
2196.57,0.000120677,0.00947665,771355,0.000691167,0.0268281,0.6
237.808,0.000100319,0.00545759,85503.9,0.000454937,0.0142725,0.6
1204.67,0.000100823,0.00528504,916199,0.000243244,0.0186499,0.6
169.122,2.90979e-05,0.00229889,5350.24,0.000157658,0.396834,0.6
23.5504,6.09189e-05,0.00314896,3736.82,0.000242394,0.179892,0.6
187.59,7.65265e-05,0.0114453,86893.9,0.000241979,0,0.6
3192.64,0.00010979,0.00325052,2.69164e+06,0.000348813,0,0.6
318.832,0.00072046,0.00159663,2288.11,0.00418714,0.359852,0.6
2.55135,3.57337e-05,0.00201485,273.575,0.000140975,0.0750986,0.6
2.55135,3.57337e-05,0.00201485,273.575,0.000140975,0.0750986,0.6
2.55135,3.57337e-05,0.00201485,273.575,0.000140975,0.0750986,0.6
