MSE,Frobenius Error,Elementnorm Error,Max Error (abs),Max Error (rel),Cost Reduction,% Derivatives
49001.8,0.00840001,0.00793948,3.71079e+06,0.448121,0,5.1
181.147,0.000506763,0.00707257,113677,0.0193831,0.127946,5.1
1006.56,0.000962581,0.00561082,846568,0.0160926,0.0518454,5.1
412.139,0.00220267,0.00778291,55848.1,0.0647295,0,5.1
916.945,7.44457e-05,0.00137427,471717,0.00172216,0.60275,5.1
250.369,0.000541459,0.00394875,79197.6,0.0196898,0.699082,5.1
1354.2,0.0026793,0.00541265,168843,0.164089,0.0521075,5.1
1354.2,0.0026793,0.00541265,168843,0.164089,0.0521075,5.1
0.189947,2.45713e-05,0.00121799,75.4126,0.00133657,0.781622,5.1
2.28656,0.000188119,0.00214566,463.72,0.00305837,0.632719,5.1
1.91213,0.000219211,0.00204717,635.754,0.00240309,0.0144404,5.1
6.93463,0.000313345,0.00246766,3136.94,0.00460314,0.0114581,5.1
2991.74,0.000556392,0.00197637,636410,0.0523374,0.558773,5.1
4106.52,0.000775394,0.00375883,3.29632e+06,0.0525483,0.377052,5.1
140.176,0.000473313,0.0045684,84838.2,0.00606789,0.104751,5.1
53.2085,0.000761652,0.00787729,6603.3,0.0073749,0.105685,5.1
198.223,5.68225e-05,0.00159835,94589.6,0.00140443,0.609904,5.1
182.172,0.000241397,0.00194013,134256,0.00361675,0.302286,5.1
49.1626,0.000285201,0.00297777,20902.2,0.00237945,0.0243379,5.1
122.121,0.000330565,0.00262875,100883,0.00399375,0.082179,5.1
380.872,7.23014e-05,0.00166703,188307,0.00150171,0.764894,5.1
955.255,0.0019684,0.00454265,69371.9,0.0895557,0,5.1
6.28304,0.000231295,0.00229461,2253.48,0.00592486,0.0750576,5.1
86.7278,0.000231717,0.0023415,23354,0.00587211,0.0118035,5.1
485474,0.0304818,0.00814302,8.33578e+06,0.403332,0.0775804,5.1
72048.5,0.00212692,0.0126055,1.07311e+07,0.0396717,0.122639,5.1
1446.96,0.00171641,0.0120653,1.25949e+06,0.0238966,0,5.1
1446.96,0.00171641,0.0120653,1.25949e+06,0.0238966,0,5.1
198.662,3.70167e-05,0.00164545,198357,0.00133606,0.595431,5.1
5974.58,0.00288871,0.00416273,429261,0.143113,0.203935,5.1
967.702,0.000212197,0.00330702,419172,0.0029598,0.257101,5.1
948.005,0.00040194,0.00414054,934165,0.00611698,0.0808402,5.1
399.442,7.3159e-05,0.00155981,209520,0.00194008,0.843588,5.1
105.311,0.000290179,0.00282344,87336.9,0.00386876,0.146717,5.1
349.244,0.000448871,0.00303298,146196,0.0049831,0.104893,5.1
704.158,0.000672171,0.00330223,492275,0.0120832,0.13148,5.1
357.171,5.19868e-05,0.0017164,148521,0.00220005,0.662253,5.1
315.577,0.000312291,0.00290843,148169,0.00345896,0.109698,5.1
10754.4,0.000831759,0.0037458,1.03997e+07,0.0374579,0.0148059,5.1
38.464,0.000395167,0.00387709,12912.4,0.00596986,0.0133854,5.1
577.575,7.98621e-05,0.00129852,203168,0.00204094,0.835335,5.1
141.755,0.000264071,0.00245511,72296.4,0.00309465,0.193222,5.1
167.252,0.000335965,0.0027783,72855.4,0.00634954,0.157072,5.1
173.648,0.00116474,0.00396787,82524.7,0.0683964,0.0125292,5.1
636.879,0.000958886,0.00166728,90505,0.0516683,0.852761,5.1
5259.79,0.000638065,0.00282922,4.07285e+06,0.016931,0.266345,5.1
3136.79,0.000709946,0.0030977,2.23392e+06,0.0168119,0.166531,5.1
9335.33,0.000723211,0.00408567,7.13156e+06,0.0161248,0.0268248,5.1
2121.05,0.00133574,0.00188849,587189,0.0768386,0.699463,5.1
278.543,0.000688465,0.00446254,90962.4,0.010592,0.389306,5.1
229.329,0.00135656,0.00929633,131558,0.0187275,0.274997,5.1
229.329,0.00135656,0.00929633,131558,0.0187275,0.274997,5.1
104.701,0.000329257,0.00316044,50844,0.0108223,0.716632,5.1
1258.94,0.00141885,0.006699,913891,0.0519461,0,5.1
1359.26,0.0014631,0.00699006,710509,0.0519194,0.241392,5.1
2989.05,0.002848,0.0102137,1.15302e+06,0.0519293,0.272648,5.1
124.295,3.39428e-05,0.0015461,124055,0.00132204,0.614528,5.1
1.74221,0.00014136,0.00183286,725.601,0.00238184,0.477467,5.1
940.869,0.000933852,0.00220437,410708,0.0417463,0.00191857,5.1
35.7954,0.000262675,0.00192635,25838.7,0.00981958,0,5.1
4.72488,5.25064e-05,0.00219682,1617.24,0.00205752,0.722892,5.1
34.3612,0.00056413,0.00313378,9988.43,0.009322,0.62932,5.1
162.014,0.000775777,0.00640749,59235.3,0.0140306,0.266663,5.1
58.2175,0.00103829,0.00728536,14055.3,0.0162516,0.253326,5.1
2553.38,0.00202278,0.00261946,192419,0.114341,0,5.1
