MSE,Frobenius Error,Elementnorm Error,Max Error (abs),Max Error (rel),Cost Reduction,% Derivatives
6177.16,0.000732719,0.0339822,4.11555e+06,0.00250112,0.735822,0.8
457.122,0.00331076,0.0422385,9082.09,0.0241467,0.590716,2.6
956.026,0.00123813,0.0124431,844239,0.011367,0.213009,4.3
2212.05,0.00700279,0.0240207,72968.9,0.172249,0,6.8
962.366,0.000730561,0.0146488,488529,0.00673118,0.542514,1.1
418.882,0.00220198,0.0125875,79008.1,0.125208,0.261015,4.2
2469.46,0.00470814,0.0119772,107660,0.0549003,0,9.2
2469.46,0.00470814,0.0119772,107660,0.0549003,0,9.2
2.94063,0.000341168,0.0198655,65.3745,0.00272252,0.271287,0.9
41.6467,0.00132581,0.021876,660.785,0.006214,0.276833,0.9
11.6896,0.00143325,0.0322593,638.544,0.00654463,0,0.8
10.2846,0.00127821,0.0334319,1375.48,0.0027482,0.000173366,1.2
4285.23,0.000449002,0.0170265,721051,0.00296409,0.640479,0.9
4568.34,0.00508166,0.0155998,3.29525e+06,0.167375,0.189693,3.81538
1481.35,0.00510323,0.0242062,67803.2,0.042691,0.181739,3.5
218.577,0.00260351,0.0241467,6400.48,0.0701084,0,6.8
204.211,0.000376551,0.018831,94891.7,0.00407571,0.551943,1.41538
1539.76,0.0046559,0.0192888,134267,0.0453438,0.132983,1.8
1586.96,0.00638809,0.0195894,57159.6,0.0523315,0,1.8
128.567,0.00115624,0.0128634,101041,0.0141075,0.0540202,1.9
389.015,0.000519895,0.0195195,188512,0.00345997,0.752662,1.5
339.707,0.00283753,0.0359559,78650.1,0.0145652,0,1.3
60.5238,0.00189436,0.0296383,2826.09,0.0115587,0.175531,2
210.317,0.00267857,0.0323927,23412,0.0122018,0,1.6
307126,0.00125665,0.0449308,9.61422e+06,0.00260722,0.773661,0.8
72486.8,0.00310405,0.021594,1.07155e+07,0.059402,0.119536,9.4
492.171,0.00211889,0.0104608,314838,0.364361,0.00300114,11.3
283.156,0.00222456,0.0101023,40511.4,0.0792717,0,12.3
204.213,0.000248621,0.0120387,201096,0.00351823,0.591658,1.3
2136.73,0.00166519,0.0384151,426719,0.00957783,0.354899,0.7
1009.35,0.00138167,0.0264724,418943,0.00988677,0.214177,0.7
957.082,0.00128617,0.032401,938703,0.00573929,0.0502445,0.8
421.581,0.000711287,0.0139849,209528,0.00900121,0.638515,1.6
638.824,0.00322911,0.020352,72421.5,0.0283288,0.032813,1.81538
1731.92,0.00757446,0.0161132,146837,0.066185,0.0598789,2.5
1651.2,0.00477406,0.0100087,490960,0.0408083,0.0702067,2.4
369.656,0.000597922,0.021844,148546,0.00469727,0.854527,1.5
692.47,0.0023658,0.0163036,147576,0.0311378,0,1.9
10507.1,0.000990267,0.0173602,1.02218e+07,0.0030941,0.00116296,1.5
433.729,0.00225996,0.0207919,13727.3,0.025254,0.0857345,3.2
593.308,0.000624129,0.010876,203110,0.00540827,0.798808,1.1
140.268,0.00135874,0.0199551,72351.2,0.0105238,0.169191,1.9
4168.48,0.00568888,0.0214033,80499.6,0.0644525,0,2.2
147.218,0.00294165,0.0253346,9033.35,0.0181914,0,2.6
181.51,0.000381579,0.0176086,90614.1,0.00357023,0.552022,1
5338.85,0.00119874,0.0100124,4.09213e+06,0.0138049,0,2.80769
3189.14,0.00129926,0.0090326,2.21704e+06,0.0132926,0,3.00769
26152.1,0.0054185,0.0154116,3.49938e+06,0.258438,0,3.16154
