MSE,Frobenius Error,Elementnorm Error,Max Error (abs),Max Error (rel),% Derivatives
5.29411e-08,3.296e-06,2.12027e-07,3.27077e-06,6.69669e-05,50.1
7.59405e-06,4.65659e-05,2.42519e-06,0.000905926,0.00164329,50.1
3.4066e-06,3.20705e-05,1.16478e-06,0.000393927,0.00104493,50.1
0.000157051,0.000208812,1.38712e-05,0.0262309,0.0118707,50.1
1.09e-05,5.40965e-05,3.2436e-06,0.00203349,0.00260856,50.1
5.1858e-07,1.2753e-05,4.40773e-07,4.64536e-05,0.000311813,50.1
5.7921e-06,3.80127e-05,2.09499e-06,0.000850147,0.0015852,50.1
1.39082e-05,8.95587e-05,3.50384e-06,0.0016967,0.00237842,50.1
0.00038159,0.00018541,2.30419e-05,0.249961,0.015839,50.1
1.73112e-05,9.47643e-05,3.80823e-06,0.00303128,0.00315815,50.1
7.30045e-05,0.000133521,9.91754e-06,0.0165042,0.00653254,50.1
0.000200213,0.000197309,1.72963e-05,0.0394365,0.0126427,50.1
1.80488e-06,1.96136e-05,1.07198e-06,0.000195137,0.000652635,50.1
7.03572e-06,4.25542e-05,2.41356e-06,0.00112591,0.00189507,50.1
0.000306545,0.00027109,2.29037e-05,0.0924348,0.0114312,50.1
0.000239247,0.000220748,2.11822e-05,0.0938123,0.0117336,50.1
3.61731e-05,9.59085e-05,7.12952e-06,0.0109146,0.00569278,50.1
2.49288e-06,2.67002e-05,9.34244e-07,0.000310791,0.000904831,50.1
0.00023446,0.000220206,1.96201e-05,0.0587056,0.0131919,50.1
0.0002741,0.000249912,1.97883e-05,0.0931419,0.0156675,50.1
0.000143421,0.000180981,1.49526e-05,0.0648607,0.0106842,50.1
8.28279e-05,0.000150503,1.25129e-05,0.0170732,0.0065346,50.1
0.000404123,0.000273931,2.21244e-05,0.103165,0.0167621,50.1
7.0724e-06,4.19648e-05,2.49306e-06,0.00131535,0.0020612,50.1
5.32129e-05,0.000114902,8.4292e-06,0.0140541,0.00595466,50.1
6.90359e-07,1.71499e-05,7.37357e-07,3.32978e-05,0.000268704,50.1
0.000239374,0.000186797,1.82553e-05,0.145627,0.0134091,50.1
6.17605e-06,4.02919e-05,2.15543e-06,0.000885731,0.00164288,50.1
1.1488e-05,5.54522e-05,3.38261e-06,0.00195404,0.00251108,50.1
2.37028e-05,7.60743e-05,5.66277e-06,0.00721235,0.00477361,50.1
1.23643e-07,4.67827e-06,3.5062e-07,6.43805e-06,9.29042e-05,50.1
7.6915e-06,4.36549e-05,2.28936e-06,0.00177279,0.00242622,50.1
2.96469e-05,8.8779e-05,5.55533e-06,0.00823864,0.00502953,50.1
1.52764e-05,8.33621e-05,3.79281e-06,0.00184466,0.00248812,50.1
2.45827e-05,7.8286e-05,4.73302e-06,0.00722146,0.00479732,50.1
5.84002e-05,0.000126067,1.01724e-05,0.011019,0.00566559,50.1
0.000266928,0.000211064,2.11404e-05,0.113945,0.0150423,50.1
9.26881e-05,0.000149933,1.0567e-05,0.03986,0.00895182,50.1
9.55168e-07,1.36295e-05,8.98246e-07,8.9749e-05,0.000409028,50.1
0.000411895,0.000325208,2.66866e-05,0.125251,0.0128924,50.1
0.000159552,0.000175147,1.64528e-05,0.0778703,0.0112148,50.1
0.000145969,0.000174062,1.52669e-05,0.0447094,0.00910527,50.1
0.000801516,0.000273877,3.44055e-05,0.361875,0.0170618,50.1
0.000259628,0.000218389,1.83888e-05,0.127633,0.012986,50.1
0.00013512,0.000153926,1.42902e-05,0.0597644,0.0100164,50.1
8.50162e-05,0.000181792,9.35295e-06,0.0175041,0.00633041,50.1
9.95664e-06,5.05804e-05,3.13789e-06,0.00166761,0.00229357,50.1
0.000195349,0.000199074,1.86942e-05,0.0731365,0.0108339,50.1
0.000154389,0.000166193,1.38383e-05,0.0648443,0.0111591,50.1
0.000101434,0.000132964,1.28111e-05,0.0458878,0.00947651,50.1
6.12032e-06,4.13013e-05,2.0112e-06,0.000714794,0.00145722,50.1
1.29124e-05,5.60657e-05,3.06904e-06,0.00404214,0.00370682,50.1
2.15184e-05,7.34672e-05,5.33909e-06,0.00566115,0.00433506,50.1
0.000440349,0.000271391,2.67628e-05,0.217514,0.0150685,50.1
0.000331115,0.000281919,1.88031e-05,0.10352,0.0159586,50.1
6.74562e-06,4.14564e-05,2.36545e-06,0.00116464,0.00192299,50.1
0.000174409,0.000229277,1.74232e-05,0.0540706,0.00990819,50.1
1.86999e-05,7.31172e-05,4.0702e-06,0.00285323,0.00300655,50.1
7.08123e-05,0.000155665,1.15801e-05,0.00792341,0.00478574,50.1
2.09587e-05,0.000114062,5.26074e-06,0.00170628,0.00238477,50.1
5.61643e-05,0.000116735,8.70546e-06,0.0124314,0.00577222,50.1
4.01518e-05,9.42026e-05,7.6746e-06,0.0155898,0.00660755,50.1
1.71493e-05,6.63488e-05,4.4598e-06,0.00459065,0.00394011,50.1
0.000106005,0.000155197,1.31722e-05,0.0352215,0.00854951,50.1
2.14986e-05,7.054e-05,4.5044e-06,0.0078217,0.00501218,50.1
7.13767e-05,0.00014721,1.09335e-05,0.0163372,0.0065246,50.1
0.000102491,0.000155862,1.15491e-05,0.0225146,0.00878325,50.1
8.54815e-06,4.56901e-05,2.29258e-06,0.00197134,0.00256756,50.1
0.000214127,0.000213731,1.68055e-05,0.0749563,0.0106357,50.1
1.00364e-05,5.20111e-05,3.06407e-06,0.00135074,0.00210967,50.1
0.000287328,0.000280839,2.13889e-05,0.0450527,0.013334,50.1
3.38951e-05,9.23659e-05,6.70721e-06,0.00664525,0.00448541,50.1
0.000254893,0.00023339,2.18699e-05,0.113104,0.0122223,50.1
0.000198962,0.000180463,1.71433e-05,0.103974,0.0121695,50.1
0.000103477,0.000161716,1.35833e-05,0.0309182,0.00829582,50.1
0.000318879,0.000268677,2.40402e-05,0.105544,0.0118921,50.1
0.000180612,0.000209151,1.84683e-05,0.0429545,0.00909692,50.1
3.61255e-05,9.49769e-05,6.89481e-06,0.0117425,0.00587548,50.1
1.6864e-05,0.000102304,4.4494e-06,0.00152061,0.00224409,50.1
0.000289129,0.000239797,2.15332e-05,0.143839,0.0133894,50.1
3.53891e-05,8.85622e-05,6.89593e-06,0.0137329,0.00630661,50.1
4.7477e-05,0.00012706,8.69119e-06,0.00660348,0.00457874,50.1
1.5245e-05,6.10874e-05,3.86709e-06,0.0043134,0.00382926,50.1
0.000323389,0.000204832,2.07622e-05,0.204414,0.0150124,50.1
1.60009e-06,1.82802e-05,9.77358e-07,0.000181704,0.00062601,50.1
6.05973e-06,4.00253e-05,2.1125e-06,0.000830453,0.00159131,50.1
0.000179533,0.000209688,1.84803e-05,0.0609326,0.0104582,50.1
3.02204e-06,3.43537e-05,1.15503e-06,0.000313544,0.000951915,50.1
2.68917e-05,8.21134e-05,5.98031e-06,0.00804531,0.00505742,50.1
2.6481e-05,8.12908e-05,6.00085e-06,0.00678194,0.004559,50.1
0.000105983,0.000188947,1.27945e-05,0.030603,0.00844942,50.1
2.28172e-05,7.32383e-05,4.40954e-06,0.00767444,0.00493632,50.1
8.86451e-05,0.000138012,1.14475e-05,0.0243283,0.00727206,50.1
8.24433e-05,0.000132776,1.09874e-05,0.0296711,0.00794856,50.1
0.000119552,0.000166592,1.42861e-05,0.0434169,0.00932727,50.1
0.000324523,0.000232127,2.51501e-05,0.136989,0.0134469,50.1
0.000202702,0.000199649,1.92498e-05,0.0732718,0.0106742,50.1
4.23627e-06,3.15452e-05,1.61703e-06,0.000684232,0.00139703,50.1
5.17004e-05,0.000135076,7.68962e-06,0.0175061,0.00663711,50.1
0.000271531,0.000212791,2.04322e-05,0.159323,0.0137845,50.1
