MSE,Frobenius Error,Elementnorm Error,Max Error (abs),Max Error (rel),% Derivatives
0.00582738,0.00251412,0.0717497,0.0920019,0.00826233,0.2
0.752435,0.0216026,0.0896954,3.10756,0.0423749,0.2
0.930635,0.0241661,0.117916,2.44287,0.0410212,0.2
0.780378,0.0215246,0.102647,2.50239,0.0379297,0.2
0.734814,0.0206755,0.0958465,2.45894,0.0375628,0.2
0.72595,0.0204512,0.0934147,2.44316,0.0373831,0.2
0.433414,0.0161407,0.0794513,3.35534,0.062033,0.2
1.04056,0.0264764,0.145655,3.36346,0.055529,0.2
0.820934,0.0231236,0.146241,2.67445,0.0456548,0.2
0.469072,0.0161458,0.0903022,2.19472,0.0329169,0.2
0.444584,0.0152641,0.0833479,2.0501,0.0386633,0.2
0.430874,0.0151347,0.0813881,2.0058,0.0436573,0.2
0.40675,0.0175122,0.0951298,2.08663,0.0514606,0.2
1.2117,0.0326495,0.214629,2.13835,0.0451466,0.2
0.604503,0.0226194,0.145723,1.98212,0.0427218,0.2
0.277144,0.0147347,0.0840027,1.43674,0.0508279,0.2
0.252074,0.0126646,0.081104,1.29483,0.0400367,0.2
0.21279,0.0121558,0.0748159,1.2672,0.0451626,0.2
0.702136,0.0251353,0.0762505,7.31875,0.086315,0.2
1.61314,0.0382528,0.118933,5.84814,0.0838888,0.2
2.08819,0.0419282,0.139065,5.50443,0.0748656,0.2
1.7862,0.0383347,0.139038,5.41147,0.0647031,0.2
1.64488,0.0378748,0.139707,5.40429,0.0602959,0.2
1.63345,0.0374067,0.135853,5.4109,0.061509,0.2
0.435574,0.0150286,0.0672293,4.17531,0.0692857,0.2
0.798189,0.0196359,0.105135,3.91503,0.0538434,0.2
0.585459,0.0170911,0.104039,2.15617,0.0365943,0.2
0.630608,0.0168848,0.108592,2.50669,0.035373,0.2
0.628429,0.0167751,0.107886,2.54318,0.0354839,0.2
0.631216,0.0167797,0.108406,2.55863,0.0355354,0.2
0.0470097,0.00832184,0.0915743,0.28621,0.0220879,0.2
0.634262,0.0273253,0.144212,3.11348,0.0500382,0.2
0.600941,0.0250588,0.136604,2.7553,0.0443394,0.2
0.627816,0.0231629,0.115909,2.73384,0.0433172,0.2
0.695092,0.0240754,0.106777,2.686,0.0762672,0.2
0.797366,0.0258388,0.107162,2.68036,0.096103,0.2
0.457742,0.0152013,0.0756661,3.46386,0.061742,0.2
1.7759,0.0339864,0.156582,4.86309,0.052834,0.2
1.69304,0.0360203,0.168608,5.09069,0.0568739,0.2
1.01738,0.0294182,0.10023,3.53115,0.0556158,0.2
1.30597,0.0386217,0.0727177,14.2964,0.0913664,0.2
0.826202,0.0588473,0.0918767,3.24368,0.129664,0.2
0.317238,0.0189981,0.0918084,1.58605,0.0557649,0.2
1.51399,0.0374347,0.109826,5.20897,0.0662849,0.2
0.956094,0.0385333,0.108313,6.60659,0.0905133,0.2
0.881546,0.0370806,0.0950507,7.52077,0.0908885,0.2
0.864657,0.0397177,0.100554,4.42531,0.0786394,0.2
0.930662,0.0374665,0.128349,24.5129,0.0891764,0.2
1.02976,0.0499006,0.0874634,3.53379,0.150899,0.2
