MSE,Frobenius Error,Elementnorm Error,Max Error (abs),Max Error (rel),% Derivatives
0.00023638,0.000414687,0.00118329,0.00457217,0.00232525,4.9
0.000516607,0.000512057,0.000289987,0.00549166,0.00218761,6.7
5.46927e-05,0.000232693,0.000201371,0.000805337,0.00230397,5.2
0.000102894,0.000227075,0.000185276,0.000760103,0.00140166,4.9
0.000116297,0.000232115,0.000154796,0.000796483,0.000941159,4.9
0.000129331,0.000238696,0.000149279,0.000928926,0.000951639,4.9
0.000180058,0.000407269,3.89181e-05,0.00252159,0.00270877,14.9
0.000245167,0.000436603,7.7752e-05,0.00347519,0.00187392,9.7
0.00030523,0.000395761,8.69939e-05,0.00320661,0.00174039,6.7
0.000232337,0.000346276,5.02296e-05,0.00155997,0.00102397,6.2
0.000236418,0.000348482,4.99583e-05,0.00132516,0.000963508,6
0.000242102,0.000351758,5.52907e-05,0.00171895,0.00112829,5.9
0.000183468,0.000403615,4.79301e-05,0.00155498,0.00191908,13.3
0.00025572,0.00049042,0.000126475,0.00228388,0.00264293,7.9
0.00034032,0.00040412,8.33042e-05,0.00445766,0.00247735,7.6
0.000205957,0.000339367,4.08398e-05,0.00171595,0.0012144,7
0.000202477,0.000334738,4.68749e-05,0.00112001,0.0011434,6.8
0.000212906,0.000340975,4.58674e-05,0.00160519,0.00121968,6.7
0.000140914,0.000364953,1.11576e-05,0.0208399,0.00709854,28.2
0.000138199,0.00050456,1.81122e-05,0.00817516,0.00651577,19.6
0.000157247,0.000507419,3.16985e-05,0.00951453,0.0105026,14.4
9.3731e-05,0.000360716,1.88195e-05,0.00175,0.00245615,13.4
0.000122331,0.000352545,2.39106e-05,0.00338852,0.0017321,10.9
0.000230084,0.0004062,4.2155e-05,0.00456317,0.00320161,10.4
0.000183504,0.000404522,4.67985e-05,0.00203349,0.00260856,15.3
0.000315743,0.000544069,0.000236866,0.00225169,0.00355989,6.8
0.000370126,0.000464321,0.00022204,0.00718014,0.0024606,4.8
0.000297831,0.00039495,9.98602e-05,0.00220927,0.00158957,4.8
0.000292102,0.000394441,9.6732e-05,0.00183663,0.00136605,4.8
0.000295866,0.000390214,9.80445e-05,0.00215996,0.00197373,4.8
0.000191552,0.000391423,0.000149155,0.00154016,0.0012688,9.4
0.000232799,0.000449378,0.000139473,0.00228382,0.00274692,9.2
0.00014479,0.000323298,6.71945e-05,0.00100804,0.00172121,8.1
0.0002326,0.000392341,8.03458e-05,0.00320253,0.0023166,7.5
0.00046552,0.000456748,0.000125464,0.0098476,0.00361959,7.5
0.000551104,0.000467779,0.000123716,0.00831414,0.00276989,7.5
0.000226433,0.000428501,9.30163e-05,0.00237907,0.00238162,13.1
0.000189393,0.000378297,3.52508e-05,0.00546883,0.00290439,14.5
0.000193526,0.000431663,3.90624e-05,0.00150174,0.00189535,13.2
0.000142413,0.000358759,3.4557e-05,0.00253404,0.00419647,14.1
0.000107901,0.000325903,5.80646e-06,0.00183109,0.00188779,17.1
0.000198504,0.000439529,1.07059e-05,0.00463718,0.00391991,21.4
0.000153991,0.000399764,2.76838e-05,0.00232773,0.0027294,23.6
0.000101926,0.00040257,1.8355e-05,0.00295002,0.00588475,18.5
0.000206713,0.000469897,1.5226e-05,0.0289049,0.0194681,17.3
0.000155154,0.000436347,1.24159e-05,0.0194997,0.00952012,23.6
0.000150199,0.00042258,9.22915e-06,0.00987562,0.0078109,23.2
0.00011637,0.000393323,6.22213e-06,0.00361803,0.00662049,22
0.00011054,0.000341051,9.004e-06,0.00309079,0.00319514,26.8
0.000122596,0.000357495,6.78918e-06,0.0160993,0.00660696,26.6
0.000155241,0.000467757,5.72597e-06,0.00841707,0.00597596,24.3
0.000249593,0.000590663,1.02101e-05,0.0114974,0.0120203,22.7
0.000145188,0.000393962,4.92436e-06,0.0136024,0.012855,27
0.000163235,0.000433423,7.06448e-06,0.00640292,0.00665423,28.2
0.000152474,0.000397391,2.35122e-05,0.00281832,0.00301168,23.9
0.000106486,0.00037129,1.58605e-05,0.00187238,0.00403548,19.9
0.000215423,0.000431968,2.73152e-05,0.0416593,0.0224957,19.7
7.31198e-05,0.000342004,7.94467e-05,0.00169187,0.00483738,14.7
0.000101963,0.000319811,6.73685e-06,0.00424813,0.00445002,21
0.000115043,0.00037384,1.8966e-05,0.00222026,0.00558456,17.2
0.000143394,0.000386433,1.47084e-05,0.00624459,0.00453646,22.3
0.000108377,0.000350197,1.28256e-05,0.0180102,0.00694039,21.9
0.000121014,0.000440198,1.47868e-05,0.00196747,0.00414512,18.3
0.000365081,0.000562573,3.56436e-05,0.0084802,0.00469864,12.4
0.000187754,0.000372826,1.95617e-05,0.00427177,0.00228719,11.8
0.00025494,0.000400148,2.36652e-05,0.00805168,0.0028576,11.4
0.000136377,0.000357084,1.00704e-05,0.0165498,0.00648755,25.8
0.000157485,0.000521563,5.79951e-05,0.0156982,0.0143131,20.3
0.000158629,0.000476121,1.30214e-05,0.00894938,0.010815,19.9
0.000156669,0.000510416,5.9988e-06,0.0124257,0.00957093,49.6
0.000188746,0.000401264,4.10814e-06,0.0522646,0.023217,48.9
5.94077e-05,0.000264393,1.60331e-06,0.0103604,0.00854834,52.4
0.000134399,0.000336283,0.000101809,0.00162768,0.00175143,9
0.000505041,0.000461239,0.00158753,0.0128033,0.00794153,1.1
0.000441566,0.000322773,0.00119561,0.00825901,0.00225267,0.8
0.000443743,0.000312765,0.00107156,0.00893523,0.00223407,0.8
0.000436285,0.000310851,0.00102604,0.00878225,0.00221825,0.8
0.000355432,0.000299712,0.000962059,0.00695443,0.00197814,0.8
0.000227457,0.000421724,5.70566e-05,0.00251841,0.00222927,13.7
0.000465837,0.000596237,0.00044048,0.00535341,0.00551509,4.9
0.00030923,0.000415616,0.000161695,0.00306137,0.00243656,4.1
0.000376997,0.000431723,0.000185605,0.0056683,0.00207372,4
0.000385464,0.000425141,0.000195352,0.00660569,0.00213386,4
0.000400218,0.000438903,0.000202649,0.0056895,0.00200118,4
0.000148131,0.000329973,9.90503e-06,0.0191048,0.00702643,31.2
0.000110872,0.000388234,1.64076e-05,0.0106781,0.00637887,25
0.000280618,0.000495657,6.4502e-06,0.11272,0.0300612,24.5
0.000133279,0.000427143,6.04387e-06,0.00584507,0.00824112,22.6
0.000151184,0.00041429,8.59188e-06,0.0027315,0.00470595,19.8
0.000156407,0.000394173,7.61726e-06,0.00460654,0.00405133,21.5
0.00011577,0.000323301,8.75106e-06,0.0151107,0.00645825,27.5
0.000350576,0.000633272,6.732e-06,0.0327128,0.0204535,34.4
0.000146239,0.000472181,3.50067e-06,0.00742799,0.00948527,41.6
0.000186565,0.00044098,4.45501e-06,0.0227144,0.0159395,40
0.00018248,0.000406397,3.32624e-06,0.0747299,0.030452,34.9
0.000136,0.000397456,4.51253e-06,0.0217614,0.0156127,34.6
0.000186419,0.000419759,2.56787e-05,0.0109146,0.00569278,19.1
0.000735782,0.000918876,0.000458754,0.0106047,0.00937023,8.2
0.000301867,0.000463628,0.000161862,0.00308714,0.00408797,5.7
0.000366938,0.000427405,0.000126107,0.00356108,0.00159366,5.4
