MSE,Frobenius Error,Elementnorm Error,Max Error (abs),Max Error (rel),Cost Reduction,% Derivatives
0.000138492,0.000360091,0.000865284,0.00457217,0.00232525,0.953647,4.2
0.000186884,0.000400345,7.44557e-06,0.00528534,0.00821481,0.441269,17.45
0.0002041,0.000426929,1.10886e-05,0.00386135,0.00702115,0.36524,15.2
0.000225283,0.000433883,1.11002e-05,0.0029529,0.00613735,0.339681,13.75
0.000154893,0.000373448,3.77295e-05,0.00252159,0.00270877,0.788895,10.4
0.00105295,0.00075533,0.000223048,0.0099418,0.00371147,0.397332,5.65
0.00141658,0.000661736,0.000223423,0.0174811,0.0032898,0.084443,4.4
0.000390993,0.000409014,0.000102524,0.00406185,0.00257358,0.0195451,4.1
0.000175232,0.000380397,4.97972e-05,0.00155498,0.00191908,0.714606,10.3
0.000815374,0.000698505,0.000245778,0.00809311,0.0030679,0.290357,5.85
0.000924603,0.000585571,0.000178706,0.0143327,0.00295868,0.0735637,4.95
0.000916428,0.000572991,0.000164118,0.0148124,0.00323386,0.0290175,4.7
0.000149197,0.000378571,1.19533e-05,0.0208399,0.00709854,0.936936,22.85
0.000144666,0.00046904,2.7801e-05,0.0145255,0.012894,0.584438,16.55
0.000173772,0.000481139,4.00184e-05,0.0107383,0.0114565,0.656788,13.25
0.000181055,0.000437749,3.93564e-05,0.00294547,0.0030473,0.379883,11.35
0.000147226,0.000373744,4.80289e-05,0.00203349,0.00260856,0.613456,9.4
0.000960748,0.000716425,0.000263434,0.00911736,0.00625589,0.803697,4.35
0.00115921,0.000575834,0.000249433,0.0169346,0.00316375,0.353139,3.45
0.000407649,0.000421227,0.000154655,0.00455371,0.00221436,0.0653938,3.2
0.000177482,0.00037145,0.00014741,0.00154016,0.0012688,0.935915,8.2
0.000135592,0.000339908,8.81131e-06,0.00784712,0.00963571,0.166456,17.05
0.000134324,0.000336042,8.92443e-06,0.00602492,0.00848214,0.597181,16.45
0.000213467,0.000452943,1.03367e-05,0.00752902,0.00469188,0.553073,15.7
0.000248481,0.000468868,0.000122253,0.00425473,0.00238162,0.843264,7.65
0.000384692,0.00046777,1.37249e-05,0.0154861,0.00448769,0.353355,15.9
0.000465431,0.00050882,1.69255e-05,0.00881687,0.00540141,0.516364,13.9
0.000883574,0.0006208,3.2622e-05,0.0131899,0.0047368,0.504946,11.1
0.000156848,0.000401382,2.70659e-05,0.00232773,0.0027294,0.90354,21.4
8.37559e-05,0.000348791,1.96468e-05,0.00189364,0.00422754,0.572869,15.15
8.66088e-05,0.000335649,2.52441e-05,0.00263796,0.00419751,0.679831,12.9
9.63963e-05,0.000320106,2.33148e-05,0.00240548,0.00415538,0.507231,12.05
0.000133174,0.000367768,1.02344e-05,0.00309079,0.00319514,0.834534,23.15
0.000129428,0.000368646,1.00613e-05,0.0208521,0.00742073,0.480993,21.05
0.00011849,0.00038072,4.61595e-06,0.0144135,0.0125379,0.00133175,17.95
0.000113495,0.000376651,4.62161e-06,0.0144515,0.0125527,0.00732349,17.85
0.000154853,0.000398879,2.28967e-05,0.00281832,0.00301168,0.728817,21.95
0.000118834,0.000380258,1.59191e-05,0.00185838,0.00319901,0.188136,18.3
0.000122342,0.000382611,1.73174e-05,0.00461339,0.00531009,0.371003,17.2
0.000126048,0.000371517,1.65921e-05,0.0111541,0.00636059,0.42962,16.35
0.000178219,0.000387365,2.5788e-05,0.00624459,0.00453646,0.748906,13.75
0.00024,0.000491234,8.47195e-06,0.0168238,0.00636169,0.387723,18.5
0.000324597,0.000529317,1.18126e-05,0.00579779,0.00468375,0.118946,16
0.000384224,0.00052509,1.4235e-05,0.00837255,0.00651904,0.173266,15.1
0.000160687,0.000377832,1.24377e-05,0.0165498,0.00648755,0.987935,19.8
0.000210043,0.000475739,2.10596e-05,0.00632734,0.00745114,0.45473,14.55
0.000327547,0.000498116,3.6618e-05,0.00402872,0.00429269,0.275786,10.1
0.000337925,0.000400782,4.27218e-05,0.00590241,0.002538,0.0518821,7.25
9.24328e-05,0.00025332,0.000119607,0.00162768,0.00175143,0.93172,4.5
0.000805317,0.000425447,0.00181877,0.0317963,0.00561812,0.259886,0.55
8.19696e-05,0.000189479,0.000456376,0.00177422,0.00136667,0.000426056,0.45
8.86491e-05,0.000192603,0.00043571,0.00132831,0.00133222,2.79848e-07,0.45
0.000216728,0.000450816,6.84796e-05,0.0029627,0.00222927,0.669885,8.15
0.00302536,0.000771479,0.000486988,0.064432,0.00555818,0.772042,3.65
0.000659132,0.000493147,0.0002282,0.010327,0.00292992,0.258118,3
0.000562153,0.000469466,0.000171305,0.00461853,0.00201475,0.0555987,2.7
0.000171508,0.000362257,9.25831e-06,0.0191048,0.00702643,0.821,21.55
0.000105129,0.000342301,4.098e-06,0.007829,0.00502368,0.376124,26
0.000212992,0.000445516,7.44898e-06,0.00881157,0.00636721,0.47982,20.1
9.17694e-05,0.000345025,4.16768e-06,0.00290363,0.00605327,0.445555,26.95
0.000242395,0.000411748,1.35699e-05,0.0151107,0.00645825,0.852019,17.35
0.000526885,0.000456611,1.69281e-05,0.0430684,0.00737523,0.377616,22.45
0.000186842,0.000414623,6.80634e-06,0.00793706,0.00447518,0.297253,19.55
0.0018266,0.000667433,6.46491e-05,0.109833,0.0113032,0.37329,16.6
0.000158516,0.000378402,2.96465e-05,0.0109146,0.00569278,0.533408,11.85
