MSE,Frobenius Error,Elementnorm Error,Max Error (abs),Max Error (rel),Cost Reduction,% Derivatives
103.653,0.000705826,0.00324045,8052.13,0.0335469,0.649615,5.06667
4274.6,0.000481272,0.00491811,3.48349e+06,0.00642788,0.136467,5.06667
13577,0.000563607,0.00381009,2.02882e+07,0.0883338,0.124665,5.06667
8469.99,0.00111588,0.00688668,8.61549e+06,0.109525,0.119375,5.06667
35.7651,0.000344403,0.00102846,5093.7,0.0211476,0.819551,5.06667
4.62932,0.000155661,0.00139439,4588.76,0.002871,0.361788,5.06667
165.09,0.000294776,0.00307856,241118,0.00298705,0.325027,5.06667
298.65,0.000500209,0.00424258,440167,0.038797,0.278539,5.06667
48.0102,0.000389961,0.00127844,6574.58,0.0211353,0.844938,5.06667
7373.25,0.00040947,0.00277243,9.01486e+06,0.0204637,0.758195,5.06667
103.525,0.000781495,0.00369356,66970.5,0.177902,0,5.06667
103.525,0.000781495,0.00369356,66970.5,0.177902,0,5.06667
24.9004,0.000114245,0.00127682,5467.44,0.0107414,0.652576,5.06667
322.729,0.00127627,0.00354,43831.6,0.134526,0.125386,5.06667
132.28,0.000730772,0.00464301,133742,0.0463373,0.125668,5.06667
65.9605,0.00144456,0.00471752,27122.3,0.234038,0.223866,5.06667
1687,0.000952705,0.00377656,1.57476e+06,0.0439991,0.76916,5.06667
117.244,0.000739938,0.00295035,17866.8,0.0183692,0.332728,5.06667
93101.7,0.000796267,0.00524351,1.39585e+08,0.0758049,0.451696,5.06667
17153.8,0.0100721,0.00501367,1.64421e+07,2.51445,0.153562,5.06667
50.6185,0.000462624,0.00152696,3112.73,0.0230944,0.792316,5.06667
23.2975,0.000142039,0.00139474,31529,0.00255145,0.451202,5.06667
19.2706,0.000577338,0.00324123,6906.41,0.0585983,0.232706,5.06667
16.4161,0.000768619,0.00743206,2713.47,0.0357127,0.246526,5.06667
6166.82,5.15606e-05,0.00165149,3.86059e+06,0.00151381,0.655221,5.06667
1684.73,0.000530643,0.00487843,606889,0.0136496,0.456872,5.06667
1338.77,0.000635466,0.00550378,537296,0.0271921,0.354302,5.06667
33665.4,0.00132258,0.00540457,2.69903e+07,0.047511,0.150609,5.06667
30.7004,0.000132644,0.00100399,6456.31,0.0181309,0.7294,5.06667
2178.33,0.000240921,0.0033909,1.17123e+06,0.00295712,0.231856,5.06667
74.7005,0.000645337,0.0034721,43751.6,0.0448117,0.111038,5.06667
85.2739,0.00138104,0.00454786,13896,0.0819733,0,5.06667
8229.92,0.00428992,0.00384928,2.15361e+06,0.316092,0.648191,5.06667
60.9377,0.000335985,0.00237095,8192.61,0.020778,0.25875,5.06667
113.855,0.00245167,0.00422901,13580,0.688857,0.194597,5.06667
3.17881,0.000166618,0.00231171,2696.64,0.0130345,0.0339613,5.06667
52.9193,0.000270427,0.0013594,7317.5,0.0217777,0.697542,5.06667
632.814,0.000658341,0.0036357,633363,0.0482417,0.190559,5.06667
206.668,0.00049396,0.00408611,284754,0.0439482,0,5.06667
1924.18,0.000589505,0.00535003,1.66533e+06,0.00812697,0,5.06667
50.7351,0.000243232,0.0012057,6722.85,0.0286947,0.583333,5.06667
5.53279,0.000123725,0.00121025,3220.3,0.00242987,0.0905817,5.06667
23.9799,0.000168872,0.00142071,27085.8,0.0186972,0.019207,5.06667
18.5651,0.000218349,0.00180228,11946.7,0.00415278,0,5.06667
54.3836,0.000334627,0.0012522,5424.99,0.0239838,0.63121,5.06667
1376.9,0.000280251,0.00308017,1.15727e+06,0.00304307,0.264383,5.06667
23.3953,0.000798555,0.00435011,2679.79,0.0563903,0.266712,5.06667
1056.93,0.000860948,0.00534461,1.4471e+06,0.0621332,0.0884958,5.06667
42.8046,5.47523e-05,0.00119542,8891.95,0.00183987,0.616622,5.06667
81.5456,0.000172297,0.00197892,79826.7,0.00409961,0.0947889,5.06667
8.25374,0.000499419,0.00364128,2680.03,0.0139246,0,5.06667
836.948,0.00096107,0.00714955,896099,0.08504,0.180495,5.06667
183.693,0.00030185,0.00516497,233421,0.0213522,0.799073,5.06667
6.8359,0.000408806,0.00232862,3723.45,0.0812304,0.00520152,5.06667
4619.5,0.00218167,0.00397551,1.06649e+06,0.149846,0,5.06667
5229.7,0.00407652,0.00694765,544678,0.492782,0,5.06667
511.797,0.000120021,0.00549232,765487,0.00212249,0.653339,5.06667
25.5863,0.000307209,0.00257909,7521.15,0.0138683,0.389254,5.06667
16.9638,0.000637322,0.00483017,7853.89,0.0432672,0.379619,5.06667
4.21315,0.000350827,0.0032209,2779.96,0.023666,0,5.06667
81.5625,9.36857e-05,0.0017082,21886.6,0.00183875,0.750166,5.06667
28.3687,0.000560293,0.00397227,8915.9,0.0341156,0.327159,5.06667
534.56,0.000771908,0.0035345,747124,0.0373322,0.295054,5.06667
3526.79,0.00186489,0.00570852,2.59617e+06,0.0990516,0.201259,5.06667
44.8793,0.000360952,0.00126993,3946.24,0.027995,0.614005,5.06667
2.11325,0.000167974,0.00228251,741.365,0.00306816,0.428463,5.06667
13.4642,0.000476564,0.00396701,1823.93,0.0385007,0.277649,5.06667
177977,0.0343798,0.00755862,1.95094e+07,25.8117,0,5.06667
28.3729,0.000309865,0.00106324,2168.16,0.0229258,0.619804,5.06667
10.3457,0.000152564,0.0013755,9618.09,0.0046652,0.299889,5.06667
7.98679,0.000544872,0.00326504,3599.7,0.0600749,0.150876,5.06667
4843.12,0.000893629,0.00414719,7.21607e+06,0.031466,0.621767,5.06667
53806.2,0.015357,0.00686199,5.5763e+06,1.19084,0.114472,5.06667
1636.44,0.00140196,0.00774715,623580,0.220295,0.331716,5.06667
8554.53,0.00233073,0.00507523,1.03523e+07,0.482217,0,5.06667
8554.53,0.00233073,0.00507523,1.03523e+07,0.482217,0,5.06667
37.8939,8.34568e-05,0.00118016,5644.63,0.00711258,0.598155,5.06667
1.59874,0.000159911,0.0017026,735.759,0.00558701,0.160144,5.06667
1481.7,0.000427194,0.00381353,667561,0.00736442,0.391798,5.06667
1481.7,0.000427194,0.00381353,667561,0.00736442,0.391798,5.06667
2574.45,8.90052e-05,0.00356614,2.77705e+06,0.00231613,0.621799,5.06667
13.8842,0.000167264,0.00200828,5022.98,0.00241286,0.193077,5.06667
5135.08,0.00164685,0.00555385,610985,0.0472672,0.352994,5.06667
3517.98,0.00224013,0.00582559,4.26162e+06,0.416529,0,5.06667
1103.56,0.000684463,0.0033122,1.48872e+06,0.0382436,0.58456,5.06667
277.975,0.00289525,0.00423447,43137.5,0.17231,0.352944,5.06667
155.232,0.00146826,0.00480654,112485,0.07515,0.381733,5.06667
95.1525,0.00202018,0.00705939,18660.4,0.0442765,0,5.06667
1032.64,0.00031152,0.0036597,1.49251e+06,0.0186851,0.769111,5.06667
15407.2,0.000210124,0.00283671,2.2852e+07,0.00354708,0.671883,5.06667
3480.65,0.000407662,0.00347837,4.26672e+06,0.070749,0.02958,5.06667
513.717,0.000425047,0.00319286,210462,0.0769072,0.0143406,5.06667
32.4154,0.000240145,0.00116164,4716.3,0.0188078,0.643569,5.06667
137.108,0.00081975,0.00295588,138903,0.0838117,0.421745,5.06667
7.11734,0.000269693,0.00223787,4100.44,0.0343607,0.224697,5.06667
7.54785,0.000529334,0.00336346,2791.14,0.0564949,0.223536,5.06667
891.162,0.000514129,0.00381603,1.22946e+06,0.0241523,0.625727,5.06667
27.3239,0.00035316,0.00313847,19518.7,0.00842232,0.595809,5.06667
382.674,0.000507446,0.00394154,413248,0.0157028,0,5.06667
422.814,0.000583871,0.004234,373823,0.0149625,0,5.06667
