MSE,Frobenius Error,Elementnorm Error,Max Error (abs),Max Error (rel),Cost Reduction,% Derivatives
76.4068,0.000809284,0.0491406,11603.5,0.00180532,0.638783,0.6
4330.56,0.00125616,0.0101601,3.4834e+06,0.0734445,0.272042,3.50769
13659.5,0.00244933,0.0131226,2.03129e+07,0.0438989,0.40238,4.58462
46277.2,0.0106439,0.0127617,4.64815e+06,0.606353,0,7.9641
33.4183,0.00037876,0.018787,9266.35,0.00149784,0.57624,1.01026
7.20414,0.000631398,0.00887355,2666.74,0.0103486,0.330401,2.03077
167.662,0.000905984,0.0112476,241132,0.0155047,0.446097,2.83077
299.039,0.00101004,0.0115817,439996,0.0111234,0.0821476,4.29744
33.5837,0.000424667,0.0225401,6685.59,0.00149781,0.556156,1.01026
7363.28,0.000935001,0.0134656,9.01489e+06,0.00388213,0.145795,2.03077
1200.19,0.00446181,0.0149651,67213.6,0.102452,0,3.38974
1200.19,0.00446181,0.0149651,67213.6,0.102452,0,3.38974
30.9983,0.00046522,0.0247245,5846.19,0.00154629,0.332851,0.866667
32.7057,0.00067332,0.0212927,36101,0.0031374,0.29673,2.5641
117.318,0.00140943,0.0115236,133731,0.0126563,0.0726548,3.43077
39.4954,0.00119214,0.00944527,27125.2,0.0451708,0.125655,3.68205
1633.64,0.000760214,0.0413562,1.57473e+06,0.00210126,0.806577,0.866667
432.022,0.00479424,0.0284942,27244.6,0.0801718,0.196485,4.09744
93149.6,0.00282124,0.0242728,1.39544e+08,0.0373776,0.382781,2.42564
11504,0.00371116,0.0171295,1.65565e+07,0.499984,0,7.61538
53.8133,0.000790921,0.0503236,5305.03,0.00179695,0.7979,0.733333
20.1427,0.000570779,0.0119256,17850.6,0.101698,0.528544,3.5641
40.4757,0.00145064,0.0195811,4591.55,0.0249253,0.210988,4.10769
69.1124,0.00190718,0.020605,1139.71,0.0135736,0.247348,5.46154
6166.82,0.000363692,0.0224979,3.86057e+06,0.00154117,0.681999,0.733333
1683.24,0.00126931,0.0205044,604176,0.020437,0.2095,2.23077
1438.27,0.00275416,0.0225019,537345,0.0325384,0.492608,3.50769
33671.8,0.0026021,0.0160218,2.69483e+07,0.138488,0,6.22564
48.186,0.000336383,0.0163679,7002.96,0.00149764,0.430857,1.27692
2110.31,0.000913992,0.028053,1.17121e+06,0.00453193,0.0376633,2.17436
66.7918,0.000965547,0.00870108,44377.6,0.0185975,0.229072,3.7641
52.6423,0.0014067,0.0111797,21373,0.0262293,0,4.49744
4063.32,0.00226264,0.0135733,2.1536e+06,0.0268237,0.660065,1.13333
54.5841,0.000751917,0.0144944,6264.42,0.022884,0.328865,2.43077
661.338,0.00436834,0.0342854,14775.5,0.0691005,0,0.953846
4.27968,0.000860015,0.0273425,2557.64,0.00635678,0.16675,0.830769
63.3391,0.000784545,0.051043,7477.97,0.0017948,0.470715,0.866667
626.703,0.00102915,0.0352428,633000,0.00219985,0.0481154,2.49744
209.327,0.00115278,0.0109133,285077,0.0398494,0.259292,5.83077
2203.92,0.00243721,0.0152865,1.66532e+06,0.107333,0,4.3641
54.2812,0.000768527,0.0489642,6785.61,0.00179492,0.57599,0.866667
8.01222,0.0008112,0.00938886,823.401,0.00818539,0,2.49744
16.1895,0.000870732,0.00893725,8516.33,0.00962847,0.464321,3.49744
66.8737,0.00201294,0.0147797,12864.7,0.0239197,0.178874,1.7641
49.2623,0.000514968,0.030423,7198.39,0.00156481,0.365307,0.866667
1373.81,0.000758442,0.0220762,1.15731e+06,0.00402071,0.872353,2.7641
60.7254,0.00196732,0.0138248,2274.19,0.0187581,0.0418776,4.49744
1196.94,0.00250551,0.00907491,1.43509e+06,0.0436431,0.576539,6.3641
42.1764,0.000434593,0.0224858,8780.37,0.00150442,0.280127,0.866667
77.4879,0.0008189,0.012387,79835.7,0.109394,0.112709,2.63077
84.2419,0.0014837,0.0154727,3493.07,0.0221726,0.142918,3.5641
925.37,0.00170872,0.0177844,894876,0.08504,0.295904,7.89744
183.188,0.000447033,0.0102305,233417,0.00185928,0.280396,1.26667
34.2919,0.0021768,0.0430495,5225.96,0.0191737,0.103683,1.51795
3178.01,0.00199894,0.046111,1.0637e+06,0.0256181,0.0167332,1.34359
2860.08,0.00646824,0.0312111,603040,0.154966,0.123965,2.17436
512.702,0.000829486,0.0462479,765477,0.00188124,0.645447,0.6
