MSE,Frobenius Error,Elementnorm Error,Max Error (abs),Max Error (rel),Cost Reduction,% Derivatives
7420.83,0.0116556,0.00944752,2.08088e+06,0.289941,0.571828,8.1641
220.57,0.000989452,0.00213446,72829.1,0.0476749,0.188655,13.6256
173169,0.00849179,0.00388019,2.49779e+08,0.552936,0.291168,14.3846
13866.8,0.0163309,0.00369928,5.55039e+06,17.4772,0,14.7692
1944.36,0.00853938,0.00411869,51739,0.28558,0.871221,5.33333
90675.2,0.0216981,0.00426639,4.13234e+07,4.95387,0.0507659,7.88205
92694.5,0.0339626,0.0106673,9.01505e+06,3.80104,0.136836,9.78974
4265.77,0.00170979,0.00786359,4.04337e+06,0.0915328,0.118933,15.4974
3486.82,0.0142186,0.00676973,67536.4,0.359928,0,5.3641
7988.59,0.0260331,0.00589647,302770,0.860835,0.222565,12.0564
17245.8,0.00612834,0.0064391,9.183e+06,0.271731,0.577732,15.4205
4898.54,0.00309298,0.00744693,3.12648e+06,0.547961,0.532266,15.0821
1695.98,0.00598143,0.00337191,65799.8,0.261984,0.231162,6.11282
33527.1,0.0194773,0.0070691,4.70209e+06,0.779995,0.157075,7.54872
553.792,0.00441821,0.00783739,78600,0.134976,0.517767,13.7128
4977.04,0.00237204,0.00509995,5.97471e+06,0.0906317,0.163775,19.4462
4274.22,0.0120077,0.00708451,286697,0.510399,0,12.7179
950.387,0.00262065,0.00664393,201668,0.297143,0.336072,13.1538
232554,0.0431211,0.0054643,5.09274e+07,4.83168,0.472627,12.9282
8189.03,0.0115944,0.00457345,7.65428e+06,13.9781,0.239547,16.5179
3564.43,0.0121059,0.00597053,82933.4,0.271915,0.327994,5.3641
92830.7,0.119414,0.00345096,5.81996e+07,56.6288,0,27.2205
41246.9,0.00554347,0.00545387,3.57006e+07,3.17286,0.409463,12.9385
41246.9,0.00554347,0.00545387,3.57006e+07,3.17286,0.409463,12.9385
1041.53,0.000904631,0.00495813,505275,0.115889,0.654348,6.1641
12602.7,0.00596006,0.00531784,1.34893e+06,0.552299,0.407579,8.62051
35218.1,0.0174526,0.00675039,5.1995e+06,4.45233,0,9.01538
13913.2,0.00714746,0.00607358,5.09069e+06,0.443536,0.64903,11.8513
2731.9,0.00838285,0.00587379,58470.5,0.28396,0.412905,5.29744
337104,0.0226519,0.00338693,1.42747e+08,7.79113,0.622383,10.4872
2632.91,0.00480052,0.00352445,533773,0.611941,0.0182812,12.6154
387.067,0.00128146,0.00358147,256172,0.0961017,0.339867,14.2872
4968.91,0.00645122,0.0121182,2.29186e+06,0.280739,0.683331,7.05641
334.229,0.00122858,0.00657036,218814,0.0602554,0.759007,11.6205
434767,0.00362646,0.00587159,6.51504e+08,0.377173,0,14.4154
434767,0.00362646,0.00587159,6.51504e+08,0.377173,0,14.4154
3680.06,0.0120798,0.00609406,93306,0.253383,0.355715,5.3641
5962.99,0.00475184,0.00402537,998494,0.309142,0.543564,13.8205
3107.22,0.00176548,0.00279976,979908,0.0716315,0,14.1436
22184,0.0046293,0.00277093,2.41273e+07,0.469774,0,26.0564
3916.02,0.0199552,0.00714854,57698.2,0.270146,0.81797,17.4667
8392.53,0.00294572,0.00357047,5.81199e+06,0.958649,0.431076,15.3385
30104.1,0.00227401,0.00306333,4.35894e+07,0.354609,0.484962,16.1179
1926.16,0.00117184,0.00333319,734205,0.0915321,0,14.2103
3887.07,0.0160437,0.00695175,77451.4,0.246992,0.389302,10.1846
4015.48,0.0021687,0.00404289,1.28487e+06,0.315121,0.466203,15.1692
919.419,0.00209934,0.00306696,214516,0.0833945,0.231113,17.9692
4769.67,0.00163359,0.00413669,3.90163e+06,0.0888614,0.330393,18.5333
1834.45,0.00827807,0.00400157,68034.1,0.311032,0.323658,5.83077
34095.1,0.0028068,0.00455509,2.98382e+07,0.1988,0.569665,9.13333
858.321,0.00145901,0.00745966,585489,0.0539955,0.421185,14.4462
337864,0.0248634,0.00597768,1.03627e+08,13.5274,0.307324,13.1897
1400.63,0.0077076,0.00345055,51332,0.279101,0.410156,5.9641
7921.13,0.00866862,0.00418965,1.11583e+06,0.314721,0.240043,7.38462
6415.37,0.00090208,0.00554494,4.99911e+06,0.0394581,0.215232,10.2872
6904.16,0.00186193,0.00703462,7.11958e+06,0.15292,0.0692908,25.1179
4430.01,0.00720232,0.014578,1.10714e+06,0.263247,0.517276,5.95385
81112.7,0.00165408,0.00741209,1.14579e+08,0.0844344,0.693075,12.3949
47981.7,0.0311772,0.00614791,2.03494e+07,29.7517,0.54581,16.8564
276.488,0.00267687,0.00645278,152776,0.122708,0.572707,14.6256
2755.46,0.0141028,0.00808303,71389.5,0.330617,0.457895,5.3641
3436.83,0.00264539,0.00639673,4.09973e+06,0.463404,0.119248,10.759
1382.5,0.00222167,0.00664448,1.54489e+06,0.178341,0.118177,12.3231
8689.05,0.00155378,0.00673281,4.20561e+06,0.182489,0.250306,12.8359
3407.81,0.0143983,0.00673731,74349.2,0.263977,0.496989,5.49744
2855.13,0.00125733,0.00324562,429098,0.0805556,0.158497,11.4359
8150.29,0.00579393,0.0044978,1.01816e+06,0.392885,0.26729,13.1026
32233,0.00173164,0.00398688,2.69095e+07,0.133812,0.244895,14.6462
2584.26,0.0104266,0.00574538,69566.5,0.230804,0.72756,9.47692
12487.5,0.00216344,0.00306311,7.9328e+06,0.480142,0.273547,12.5128
415.305,0.00119209,0.00309604,186700,0.0988663,0.0784637,15.0154
415.305,0.00119209,0.00309604,186700,0.0988663,0.0784637,15.0154
8068.39,0.00017108,0.0139605,5.97979e+06,0.00223725,0.943552,5.70256
303.326,0.000524357,0.0049322,36262.3,0.109225,0.504752,7.55897
17205.2,0.00249091,0.0107584,1.26088e+07,0.367908,0.293759,11.841
6950.01,0.00222638,0.0111288,2.24241e+06,0.0825189,0.391614,9.42564
2403.18,0.00877437,0.00501644,70739.8,0.246154,0.464932,5.5641
23159.5,0.00207265,0.00420225,2.37686e+07,0.348024,0.552417,13
44389.8,0.00264082,0.00416053,4.5723e+07,0.370423,0.511244,14.7128
723.384,0.00164143,0.00468463,487055,0.0958456,0.211945,15.0667
3336.61,0.00632898,0.0125871,1.16264e+06,0.189403,0.724157,20.5128
10131.7,0.00289823,0.00483512,1.14008e+07,0.550611,0.636458,15.7487
64843.6,0.00300694,0.00467433,9.69491e+07,0.149333,0.543442,17.4103
25511.8,0.00262446,0.00512374,3.29933e+07,0.103913,0.218811,19.0051
6886.35,0.0241287,0.00736049,1.69848e+06,0.322506,0.669556,5.3641
661.281,0.0032813,0.00475083,62469.5,0.16709,0.70294,9.35385
423.247,0.00474378,0.00459719,45171.8,0.34519,0.37845,6.3641
94.8482,0.000550676,0.00432071,49140.7,0.0856516,0.0538687,7.28718
902.247,0.00333149,0.00292082,43031.3,0.150705,0.388386,5.4
6703.61,0.00623388,0.00463627,695690,0.46902,0.0793948,6.69231
5915.07,0.000660829,0.00515431,1.95737e+06,0.0463079,0.568799,6.59487
75608.8,0.0389558,0.00870153,4.66984e+06,2.95269,0.703772,6.38462
2127.9,0.0081841,0.0045949,68407.9,0.234437,0.390277,10.4308
10244.8,0.0102171,0.00454535,1.40165e+06,0.306539,0.238682,9.67692
35372.1,0.00468114,0.00694097,7.56755e+06,1.1119,0.22863,11.9333
66869.9,0.00258282,0.00712654,8.35387e+07,0.27767,0.563111,15.8
3440.11,0.0107024,0.0125409,1.09653e+06,0.267229,0.557802,7.09744
14988.5,0.00420581,0.00454577,1.91498e+07,0.212161,0.435732,20.0821
57347.9,0.0133993,0.00486564,1.98832e+07,2.66128,0.603995,18.8
16985.1,0.00198528,0.00468905,2.49278e+07,0.108292,0,16.1949
