MSE,Frobenius Error,Elementnorm Error,Max Error (abs),Max Error (rel),% Derivatives
4.18889e-07,6.56445e-08,2.06114e-05,0.000772375,8.54234e-05,50.05
3.27012e-08,2.29337e-08,1.81491e-06,2.98349e-05,1.395e-05,50.05
1.02672e-08,1.30919e-08,7.67577e-07,1.50373e-05,9.5898e-06,50.05
1.77953e-08,1.60649e-08,5.60843e-07,2.53563e-05,1.25905e-05,50.05
1.02841e-05,1.08726e-06,2.96309e-05,0.00695764,0.000609997,50.05
18636.3,0.00684617,0.00133917,1.83127e+07,0.743739,50.05
2591.38,0.00200181,0.000795168,2.50664e+06,2.23086,50.05
863.05,0.00124255,0.000854091,1.33743e+06,1.45788,50.05
404.024,0.00292642,0.000931297,404092,4.57826,50.05
4.18889e-07,6.56445e-08,2.06114e-05,0.000772375,8.54234e-05,50.05
3.27122e-08,2.30319e-08,6.99812e-07,2.98567e-05,1.39606e-05,50.05
0.000132692,2.8903e-06,0.000147434,0.103784,0.00102376,50.05
6024.03,0.00638908,0.00160792,1.35866e+06,1.11907,50.05
7178.71,0.00132197,0.0014216,7.20421e+06,1.96331,50.05
8657.71,0.000180211,0.00149902,1.73127e+07,0.00747223,50.05
164.555,0.00138006,0.00111142,164057,1.08207,50.05
99059,0.00737257,0.000742468,9.90868e+07,11.7441,50.05
0.416032,0.000248689,0.00101935,121.509,0.0265625,50.05
4.18889e-07,6.56445e-08,2.06114e-05,0.000772375,8.54234e-05,50.05
2.63643e-05,2.30293e-06,3.68537e-05,0.0079038,0.000711998,50.05
33167.3,0.0193198,0.00316235,1.93229e+07,4.89782,50.05
18587.1,0.00277573,0.000889303,1.66743e+07,1.72064,50.05
109729,0.0058842,0.00115926,1.70416e+08,8.14244,50.05
5456.68,0.00651079,0.000696852,5.26247e+06,4.62858,50.05
13257.7,0.0108907,0.000688617,1.30032e+07,11.5249,50.05
38874.7,0.000210679,0.000867084,5.74482e+07,0.0256754,50.05
426.914,0.00188405,0.0010597,230083,1.42262,50.05
4.18889e-07,6.56445e-08,2.06114e-05,0.000772375,8.54234e-05,50.05
2.63643e-05,2.30293e-06,3.64564e-05,0.0079038,0.000711998,50.05
33167.2,0.0193197,0.00316233,1.93229e+07,4.89782,50.05
51296.3,0.0216793,0.000959799,4.19097e+07,39.1129,50.05
17835.9,0.00118654,0.000675672,1.72965e+07,1.42823,50.05
1504.85,0.0012717,0.000864767,1.78339e+06,0.537168,50.05
1504.85,0.0012717,0.000864767,1.78339e+06,0.537168,50.05
1420.03,0.00193508,0.000639722,688221,1.44488,50.05
1364.71,0.000669505,0.000559108,1.46233e+06,0.559574,50.05
4.18889e-07,6.56445e-08,2.06114e-05,0.000772375,8.54234e-05,50.05
3.27122e-08,2.30319e-08,7.03408e-07,2.98567e-05,1.39606e-05,50.05
0.000132689,2.89029e-06,0.000147423,0.103796,0.00102378,50.05
6024.04,0.00638908,0.00160792,1.35866e+06,1.11906,50.05
12361.8,0.00937714,0.00149296,1.04275e+07,11.7171,50.05
14932.8,0.00162974,0.00122241,2.89989e+07,0.807485,50.05
2761.48,0.00724647,0.0011509,2.76199e+06,12.3176,50.05
92980.7,0.000209914,0.00111354,1.85955e+08,0.0331311,50.05
2109.21,0.00181942,0.00134139,2.56141e+06,1.66153,50.05
4.18889e-07,6.56445e-08,2.06114e-05,0.000772375,8.54234e-05,50.05
2.63643e-05,2.30293e-06,3.6459e-05,0.0079038,0.000711998,50.05
33127.4,0.0191462,0.00316185,1.93229e+07,4.89782,50.05
163865,0.000117913,0.000758386,3.24741e+08,0.0117669,50.05
9008.63,0.00930048,0.00054665,9.00926e+06,16.843,50.05
139.817,0.000254656,0.000600115,273891,0.0773959,50.05
3226.46,0.00928691,0.000431857,2.09515e+06,8.39747,50.05
1625.38,0.0024924,0.00084016,2.3132e+06,1.2653,50.05
8422.36,0.00147717,0.00107681,1.56184e+07,0.964219,50.05
4.18889e-07,6.56445e-08,2.06114e-05,0.000772375,8.54234e-05,50.05
2.63643e-05,2.30293e-06,3.64843e-05,0.0079038,0.000711998,50.05
33167.2,0.0193197,0.00316236,1.93229e+07,4.89782,50.05
970.625,0.00276189,0.00101009,526644,1.48838,50.05
62190.4,0.0164551,0.000837626,4.50581e+07,21.4662,50.05
2836.29,0.000529143,0.000826795,4.92125e+06,0.650741,50.05
1126.91,0.00032506,0.000900147,2.25286e+06,0.0268443,50.05
0.436482,0.000290638,0.000953168,118.647,0.0218365,50.05
13090.2,0.00174329,0.00101699,2.55202e+07,0.660328,50.05
4.18889e-07,6.56445e-08,2.06114e-05,0.000772375,8.54234e-05,50.05
2.63643e-05,2.30293e-06,3.64566e-05,0.0079038,0.000711998,50.05
33167.2,0.0193197,0.00316233,1.93229e+07,4.89782,50.05
4216.21,0.00615049,0.000908759,3.9013e+06,6.1262,50.05
8129.58,0.0118202,0.000886481,5.28667e+06,7.13129,50.05
1483.31,0.000804472,0.000970891,2.4555e+06,0.701493,50.05
2187.36,0.00292262,0.000759857,2.90983e+06,2.08724,50.05
2315.1,0.00391956,0.000756051,2.31527e+06,4.71949,50.05
0.123345,0.000151552,0.000630018,66.9442,0.0166711,50.05
4.18889e-07,6.56445e-08,2.06114e-05,0.000772375,8.54234e-05,50.05
2.63643e-05,2.30293e-06,3.64839e-05,0.0079038,0.000711998,50.05
33167.2,0.0193198,0.00316236,1.93229e+07,4.89782,50.05
0.666845,0.000186827,0.000881838,144.532,0.0155247,50.05
83089,0.00424718,0.000887901,3.43387e+07,3.05395,50.05
99.0892,0.000413999,0.00109825,99449.8,0.209304,50.05
859.71,0.00318027,0.000950928,847979,2.69475,50.05
859.71,0.00318027,0.000950928,847979,2.69475,50.05
859.71,0.00318027,0.000950928,847979,2.69475,50.05
4.18889e-07,6.56445e-08,2.06114e-05,0.000772375,8.54234e-05,50.05
3.27012e-08,2.29332e-08,5.77134e-06,2.98349e-05,1.39499e-05,50.05
1.02669e-08,1.30831e-08,1.5588e-06,1.50367e-05,9.58885e-06,50.05
1.7784e-08,1.59677e-08,7.0621e-07,2.53563e-05,1.25901e-05,50.05
2.76009e-09,8.39776e-09,5.416e-07,3.09145e-06,4.26074e-06,50.05
1.01406e-05,1.0718e-06,2.90831e-05,0.00694391,0.000597396,50.05
17060.7,0.0104321,0.0015059,7.0194e+06,1.21084,50.05
0.585341,0.000211326,0.00107858,737.538,0.0205275,50.05
922.044,0.000497135,0.000898031,916744,0.258209,50.05
4.18889e-07,6.56445e-08,2.06114e-05,0.000772375,8.54234e-05,50.05
2.63643e-05,2.30293e-06,3.64566e-05,0.0079038,0.000711998,50.05
34812.2,0.0201838,0.00320981,1.93229e+07,4.89782,50.05
29976.5,0.0114522,0.00102994,3.40121e+07,19.3354,50.05
5685.01,0.0106413,0.00100212,5.99669e+06,14.478,50.05
39018.2,0.00100331,0.000758662,5.78694e+07,0.915594,50.05
260.376,0.000190821,0.000696788,268737,0.0307911,50.05
23048.9,0.0127243,0.000941899,1.71927e+07,10.6252,50.05
15990.2,0.000260976,0.000857692,3.04963e+07,0.0280048,50.05
4.18889e-07,6.56445e-08,2.06114e-05,0.000772375,8.54234e-05,50.05
