MSE,Frobenius Error,Elementnorm Error,Max Error (abs),Max Error (rel),Cost Reduction,% Derivatives
4.63314e-05,1.59859e-06,0.00050587,0.0105561,0.000249303,0.00914851,5.05
4.63342e-05,1.6118e-06,0.000104376,0.0105563,0.000249283,0.00510031,5.05
4.63402e-05,1.61789e-06,9.97581e-05,0.0105571,0.000249023,0.00267477,5.05
576.062,0.00725185,0.00191042,42308.8,0.335106,0.00518592,5.05
0.0701665,1.94476e-05,0.000932656,49.4521,0.00153339,0.0541065,5.05
1739.3,0.00170455,0.00296423,2.01867e+06,0.112626,0.0265759,5.05
12228.9,0.000604423,0.00522227,6.78606e+06,0.0159645,0.0477068,5.05
35217.3,0.00101486,0.0046927,4.7115e+07,0.0734274,0.293434,5.05
46954.3,0.00180208,0.00386014,4.44917e+07,0.0635476,0.247331,5.05
4.63314e-05,1.59859e-06,0.00050587,0.0105561,0.000249303,0.0103011,5.05
4.63342e-05,1.6118e-06,0.000104379,0.0105563,0.000249283,0.00574958,5.05
4.63402e-05,1.61789e-06,9.97584e-05,0.0105571,0.000249023,0.00301723,5.05
576.062,0.00725185,0.00191051,42308.5,0.335105,0.00561127,5.05
0.0701212,1.94534e-05,0.000933371,49.4528,0.00153339,0.0581372,5.05
34038.9,0.000935567,0.00316565,6.35882e+07,0.110405,0.0237489,5.05
10845.3,0.000838412,0.00391894,6.43001e+06,0.140714,0,5.05
10845.3,0.000838412,0.00391894,6.43001e+06,0.140714,0,5.05
10845.3,0.000838412,0.00391894,6.43001e+06,0.140714,0,5.05
4.63314e-05,1.59859e-06,0.00050587,0.0105561,0.000249303,0.0127229,5.05
4.63342e-05,1.6118e-06,0.000104376,0.0105563,0.000249283,0.00711873,5.05
4.63402e-05,1.61789e-06,9.97578e-05,0.0105571,0.000249023,0.00374088,5.05
576.062,0.00725185,0.00191053,42308.5,0.335106,0.00643174,5.05
0.0701363,1.94511e-05,0.000932992,49.4504,0.00153339,0.0578487,5.05
3490.5,0.000253952,0.00194086,4.97172e+06,0.00824668,0.0344974,5.05
22752.5,0.00044639,0.00316082,2.21227e+07,0.0142196,0.266587,5.05
1663.98,0.000297825,0.0024241,2.91374e+06,0.0143148,0,5.05
172924,0.000293363,0.00257836,2.93822e+08,0.0143709,0,5.05
4.63314e-05,1.59859e-06,0.00050587,0.0105561,0.000249303,0.00991325,5.05
4.63342e-05,1.6118e-06,0.000104378,0.0105563,0.000249283,0.00553093,5.05
4.63402e-05,1.61789e-06,0.000100116,0.0105571,0.000249023,0.00290185,5.05
576.063,0.00725187,0.00191047,42308.3,0.335107,0.00548209,5.05
0.0701084,1.94551e-05,0.000933607,49.4497,0.00153339,0.0565667,5.05
6609.76,0.000461957,0.00225641,1.03678e+07,0.0195596,0.0156962,5.05
2385.88,0.00580063,0.0027607,2.01432e+06,0.567384,0.170245,5.05
2544.63,0.0163421,0.00295522,569084,1.84912,0,5.05
9649.49,0.00170417,0.00375992,1.81914e+07,0.384311,0,5.05
4.63314e-05,1.59859e-06,0.00050587,0.0105561,0.000249303,0.0099566,5.05
4.63342e-05,1.6118e-06,0.000104377,0.0105563,0.000249283,0.00555536,5.05
4.63402e-05,1.61789e-06,9.97574e-05,0.0105571,0.000249023,0.00291474,5.05
576.063,0.00725187,0.00191042,42308.8,0.335107,0.00550067,5.05
0.0701457,1.94503e-05,0.000932878,49.4513,0.00153339,0.0561687,5.05
8882.41,0.000243226,0.00216093,4.13584e+06,0.00380637,0.0857003,5.05
1359.14,0.000321231,0.00182691,2.15839e+06,0.0129499,0,5.05
1359.14,0.000321231,0.00182691,2.15839e+06,0.0129499,0,5.05
1359.14,0.000321231,0.00182691,2.15839e+06,0.0129499,0,5.05
4.63314e-05,1.59859e-06,0.00050587,0.0105561,0.000249303,0.00921215,5.05
4.63342e-05,1.6118e-06,0.000104377,0.0105563,0.000249283,0.00513612,5.05
4.63402e-05,1.61789e-06,9.97581e-05,0.0105571,0.000249023,0.00269364,5.05
579.619,0.00725244,0.00191421,42308.7,0.335107,0.00523346,5.05
0.0145956,7.67656e-06,0.000193278,11.697,0.00137347,0.00323955,5.05
0.0302409,4.21257e-05,0.0013234,20.498,0.00177822,0.245201,5.05
3092.81,0.000538494,0.00509814,2.06447e+06,0.00748944,0.293355,5.05
3910.76,0.0158425,0.00428091,530973,4.4285,0,5.05
46306.9,0.000680536,0.00470908,8.35795e+07,0.013998,0.127791,5.05
4.63314e-05,1.59859e-06,0.00050587,0.0105561,0.000249303,0.0116655,5.05
4.63342e-05,1.6118e-06,0.000104377,0.0105563,0.000249283,0.00652011,5.05
4.63402e-05,1.61789e-06,9.97568e-05,0.0105571,0.000249023,0.00342424,5.05
576.063,0.00725187,0.00191046,42308.6,0.335107,0.00609076,5.05
0.0701324,1.94516e-05,0.000933094,49.4453,0.00153339,0.0565271,5.05
5066.63,0.000274063,0.00189211,3.9648e+06,0.0158033,0.0347032,5.05
98573.4,0.113012,0.00289361,1.39537e+07,11.922,0,5.05
139564,0.00816357,0.00269661,2.56211e+08,2.65877,0.0820889,5.05
139564,0.00816357,0.00269661,2.56211e+08,2.65877,0.0820889,5.05
4.63314e-05,1.59859e-06,0.00050587,0.0105561,0.000249303,0.0117923,5.05
4.63342e-05,1.6118e-06,0.000104379,0.0105563,0.000249283,0.00659182,5.05
4.63402e-05,1.61789e-06,9.97576e-05,0.0105571,0.000249023,0.00346215,5.05
576.062,0.00725185,0.00191039,42308.7,0.335106,0.00613623,5.05
0.0702454,1.9437e-05,0.000931319,49.4506,0.00153339,0.0573679,5.05
0.836542,0.000251378,0.00259206,363.812,0.00756198,0.129279,5.05
6440.96,0.000972575,0.00406574,6.17931e+06,0.0946373,0.058469,5.05
4603.29,0.000845699,0.00395457,4.51185e+06,0.100483,0.0728395,5.05
4603.29,0.000845699,0.00395457,4.51185e+06,0.100483,0.0728395,5.05
4.63314e-05,1.59859e-06,0.00050587,0.0105561,0.000249303,0.00986584,5.05
4.63342e-05,1.6118e-06,0.000104377,0.0105563,0.000249283,0.00550421,5.05
4.63402e-05,1.61789e-06,9.97583e-05,0.0105571,0.000249023,0.00288776,5.05
579.62,0.00725246,0.00191421,42308.4,0.335108,0.00546361,5.05
0.0145667,7.67632e-06,0.000193263,11.6815,0.00137342,0.00336487,5.05
0.030262,4.21842e-05,0.00132321,20.5237,0.00177805,0.225002,5.05
4788.07,0.000585115,0.00491389,3.73941e+06,0.0102022,0.294061,5.05
6034.1,0.00063416,0.00512137,1.1325e+07,0.0072677,0.368903,5.05
2717.38,0.000707298,0.00573526,4.53614e+06,0.0115117,0.152635,5.05
4.63314e-05,1.59859e-06,0.00050587,0.0105561,0.000249303,0.0106139,5.05
4.63342e-05,1.6118e-06,0.000104378,0.0105563,0.000249283,0.00592604,5.05
4.63402e-05,1.61789e-06,9.97579e-05,0.0105571,0.000249023,0.00311038,5.05
576.062,0.00725185,0.00191049,42308.7,0.335106,0.00572965,5.05
0.0701981,1.94428e-05,0.000932086,49.4535,0.00153339,0.0566809,5.05
4941.19,0.000193106,0.00185233,4.20617e+06,0.00499168,0.272574,5.05
9380.47,0.000564788,0.00360201,8.72959e+06,0.0106492,0.204227,5.05
675.795,0.000403671,0.00250077,1.34945e+06,0.0151221,0.119812,5.05
45042.5,0.00072198,0.00253628,9.00773e+07,0.0527375,0,5.05
4.63314e-05,1.59859e-06,0.00050587,0.0105561,0.000249303,0.00933763,5.05
4.63342e-05,1.6118e-06,0.000104377,0.0105563,0.000249283,0.00520674,5.05
4.63402e-05,1.61789e-06,0.000100118,0.0105571,0.000249023,0.00273088,5.05
576.063,0.00725188,0.00191052,42308.6,0.335107,0.00526759,5.05
0.0701526,1.94491e-05,0.000932821,49.4475,0.00153339,0.0585663,5.05
7361.66,0.000411313,0.00280449,8.82383e+06,0.0196702,0.0644873,5.05
21019.6,0.0152584,0.00382176,3.22464e+06,0.90726,0.32186,5.05
21019.6,0.0152584,0.00382176,3.22464e+06,0.90726,0.32186,5.05
21019.6,0.0152584,0.00382176,3.22464e+06,0.90726,0.32186,5.05
4.63314e-05,1.59859e-06,0.00050587,0.0105561,0.000249303,0.00972794,5.05
