MSE,Frobenius Error,Elementnorm Error,Max Error (abs),Max Error (rel),Cost Reduction,% Derivatives
9.26064e-05,1.76977e-05,0.0115304,0.0117872,0.000263616,0.00914571,0.153846
0.000160509,6.67514e-05,0.0250576,0.0117873,0.000263617,0.00515746,0.153846
9.69722e-05,2.5029e-05,0.00974179,0.0117882,0.00026317,0.00267478,3.70769
234.952,0.00846555,0.010572,26578,0.505017,0.00162261,4.58846
0.121528,0.000143165,0.0158959,64.8685,0.0194622,0.0701818,1.09231
1713.09,0.000909134,0.00766799,2.01879e+06,0.0370559,0.0548976,1.79615
12226.1,0.00152099,0.00984119,6.78399e+06,0.0333254,0.383083,3.40385
36844.8,0.00296463,0.00442299,4.70542e+07,0.771148,0.262646,9.41923
163457,0.0895712,0.00454745,3.71579e+07,22.6465,0.146867,5.03846
9.26064e-05,1.76977e-05,0.0115304,0.0117872,0.000263616,0.010298,0.153846
0.000160509,6.67514e-05,0.0250575,0.0117873,0.000263617,0.00581401,0.153846
9.69722e-05,2.5029e-05,0.00974177,0.0117882,0.00026317,0.00301725,3.70769
234.952,0.00846554,0.0105724,26577.9,0.505016,0.00181093,4.58846
0.121485,0.000143131,0.0158848,64.8413,0.0194623,0.0745314,1.09231
34021.1,0.0008593,0.00679823,6.35863e+07,0.034706,0.0201269,1.36923
7543.59,0.00590995,0.0107964,5.71023e+06,1.05469,0,3.33462
7543.59,0.00590995,0.0107964,5.71023e+06,1.05469,0,3.33462
7543.59,0.00590995,0.0107964,5.71023e+06,1.05469,0,3.33462
9.26064e-05,1.76977e-05,0.0115304,0.0117872,0.000263616,0.012719,0.153846
0.000160509,6.67514e-05,0.0250576,0.0117873,0.000263617,0.00719849,0.153846
9.69722e-05,2.5029e-05,0.00974174,0.0117882,0.00026317,0.0037409,3.70769
234.952,0.00846555,0.0105718,26577.9,0.505016,0.00219837,4.58846
0.121506,0.000143156,0.015891,64.8644,0.0194619,0.0747078,1.09231
3489.49,0.000678966,0.00660653,4.97123e+06,0.00833985,0.0491112,3.78846
17762.8,0.00314539,0.00747043,1.6003e+07,2.92238,0.2891,2.57692
1664.81,0.000865326,0.0086733,2.91418e+06,0.0981928,0,3.40385
172887,0.00162207,0.00860819,2.9366e+08,0.0649417,0,2.82308
9.26064e-05,1.76977e-05,0.0115304,0.0117872,0.000263616,0.00991022,0.153846
0.000160509,6.67514e-05,0.0250575,0.0117873,0.000263617,0.0055929,0.153846
9.69722e-05,2.5029e-05,0.00974214,0.0117882,0.00026317,0.00290187,3.70769
234.952,0.00846555,0.0105725,26577.8,0.505015,0.00175072,4.58846
0.12147,0.000143118,0.0158811,64.8345,0.0194617,0.0768109,1.09231
158521,0.0775106,0.00393097,1.01413e+07,4.64761,0,9.67692
2232.39,0.00542476,0.00387358,2.01447e+06,0.296205,0.0872457,4.07692
1089.86,0.00318654,0.00669139,411057,0.0156916,0.281019,4.79231
750.431,0.00265133,0.00802286,253477,0.482799,0,2.95385
9.26064e-05,1.76977e-05,0.0115304,0.0117872,0.000263616,0.00995355,0.153846
0.000160509,6.67514e-05,0.0250576,0.0117873,0.000263617,0.0056176,0.153846
9.69722e-05,2.5029e-05,0.00974184,0.0117882,0.00026317,0.00291476,3.70769
234.953,0.00846555,0.010572,26578,0.505018,0.00176033,4.58846
0.121521,0.000143167,0.0158928,64.8777,0.019462,0.074046,1.09231
8815.32,0.0010237,0.00540283,4.13925e+06,0.0215112,0.0377015,1.96538
1357.04,0.00106047,0.00800841,2.15644e+06,0.0305067,0,2.96923
1357.04,0.00106047,0.00800841,2.15644e+06,0.0305067,0,2.96923
1357.04,0.00106047,0.00800841,2.15644e+06,0.0305067,0,2.96923
9.26064e-05,1.76977e-05,0.0115304,0.0117872,0.000263616,0.00920934,0.153846
0.000160509,6.67514e-05,0.0250577,0.0117873,0.000263617,0.00519367,0.153846
9.69722e-05,2.5029e-05,0.00974178,0.0117882,0.00026317,0.00269366,3.70769
237.406,0.00853093,0.010575,26577.9,0.505017,0.00159981,4.58846
0.0415312,7.44892e-05,0.00784464,27.8185,0.00859213,0.00402147,1.08077
0.599868,0.00090064,0.0177149,21.6252,0.0134652,0.195669,4.67308
3092.8,0.00240067,0.0193048,2.06435e+06,0.0348118,0.270797,1.55385
568.962,0.0019889,0.0115853,589570,0.0667113,0.166453,2.41923
84206.1,0.027908,0.0170325,6.14066e+07,6.27796,0,1.62692
9.26064e-05,1.76977e-05,0.0115304,0.0117872,0.000263616,0.011662,0.153846
