MSE,Frobenius Error,Elementnorm Error,Max Error (abs),Max Error (rel),Cost Reduction,% Derivatives
0.00463837,8.73781e-07,6.71238e-05,1.94792,0.000208372,0.392069,50.1
1012.43,0.000104084,0.00351498,448011,0.0157926,0.352236,50.1
2239,0.000136947,0.00298933,820609,0.0110027,0.206868,50.1
4907.18,0.000209943,0.00225912,2.15967e+06,0.0520276,0.0226691,50.1
0.00658602,8.68473e-07,9.51721e-05,4.72234,0.000289627,0.433124,50.1
1735.53,0.00016981,0.0054413,666482,0.0191897,0,50.1
8058.92,0.00027637,0.00211725,1.9502e+06,0.0354726,0.145847,50.1
1054.33,0.000153562,0.00206198,295123,0.0131139,0.109109,50.1
39.752,4.01156e-05,7.7312e-05,18940.7,0.0171921,0.426726,50.1
75.3679,7.33008e-05,0.00140615,32877,0.0216696,0.347893,50.1
89.1375,5.08398e-05,0.000909148,76433.3,0.00654272,0.229107,50.1
421.191,0.000148968,0.00123854,154207,0.0548718,0.10862,50.1
348.946,0.000105304,0.000273049,31436.2,0.012315,0.444067,50.1
700.957,5.5894e-05,0.00243788,460562,0.00513584,0.116947,50.1
577.534,0.000108929,0.00213586,155482,0.0188969,0,50.1
1662.85,5.71991e-05,0.00163315,1.59044e+06,0.00611984,0.0431009,50.1
0.00328656,6.00107e-07,6.13749e-05,2.26014,0.000194262,0.437443,50.1
201.776,0.000109726,0.00882868,97296.1,0.0151264,0.438601,50.1
455.985,0.000122493,0.00239401,112795,0.00774275,0.189439,50.1
1298.22,9.27807e-05,0.00249027,468742,0.0116064,0.171826,50.1
66.0963,4.26933e-05,0.000368799,42712.4,0.00927327,0.622662,50.1
582.247,0.000123822,0.000549919,234207,0.0223759,0.375568,50.1
2273.68,0.000168626,0.00121863,524961,0.0201567,0.214588,50.1
277.949,0.000155852,0.00175763,89558,0.0262956,0.0348009,50.1
0.00266249,6.28933e-07,4.20487e-05,1.12056,0.00016285,0.550762,50.1
797.927,0.000256737,0.00305682,101674,0.0302785,0.308505,50.1
2074.51,0.000168443,0.00144051,568738,0.0276685,0.0223521,50.1
989.331,0.000167722,0.00135156,186403,0.0144783,0.080518,50.1
0.00400159,5.87818e-07,7.72681e-05,2.87448,0.000207438,0.48859,50.1
301.308,0.000109502,0.00628283,148183,0.0168113,0.47474,50.1
104.966,0.000152824,0.00263797,23694.6,0.00903845,0.215828,50.1
55352.2,0.000169289,0.00224815,5.41685e+07,0.017645,0.0735395,50.1
974.213,1.87712e-06,0.000190679,950788,0.000245097,0.437691,50.1
121.419,0.000121163,0.00669034,79123.4,0.00839233,0.151733,50.1
401.391,9.37523e-05,0.00247463,380233,0.0058013,0.0314281,50.1
5260,0.000114062,0.00290499,5.18673e+06,0.00725494,0.0915491,50.1
0.0457327,1.46367e-06,7.33359e-05,16.5315,0.000204993,0.46421,50.1
385.066,0.000135727,0.00071922,171159,0.0587722,0.332294,50.1
116.61,3.54899e-05,0.00118994,94658,0.00200564,0.267068,50.1
45504.7,0.000371616,0.00102908,2.1538e+07,0.152424,0,50.1
0.0012548,4.99878e-07,6.57353e-05,0.485653,0.000135395,0.402403,50.1
268.43,0.000147837,0.0117973,103896,0.0137107,0,50.1
7222.07,0.000277053,0.00457414,2.47789e+06,0.0588733,0.0639738,50.1
1285.62,0.000172823,0.00238277,399009,0.0148249,0,50.1
0.00530523,8.8755e-07,7.27634e-05,3.02647,0.000278762,0.539673,50.1
1672.97,0.000193231,0.00412145,716489,0.0357263,0.177959,50.1
895.829,8.62484e-05,0.00182991,879779,0.00114114,0.249684,50.1
591.34,0.000138892,0.00158548,156679,0.0175936,0.103548,50.1
86.3635,5.9525e-05,0.000139432,33555.4,0.0119979,0.26699,50.1
0.692295,1.39032e-05,0.00025252,208.304,0.00218666,0.160214,50.1
45.9392,5.04064e-05,0.000767262,9842.44,0.00646892,0,50.1
45.9392,5.04064e-05,0.000767262,9842.44,0.00646892,0,50.1
0.0196437,1.09078e-06,6.41026e-05,16.1763,0.000221889,0.530293,50.1
198.083,8.57416e-05,0.00148687,53260.1,0.0128243,0.204546,50.1
179.539,9.10214e-05,0.00174681,63692.6,0.0135362,0.0965889,50.1
703.019,7.60998e-05,0.00180579,394943,0.0103145,0.146273,50.1
322.455,2.57686e-06,8.78226e-05,321516,0.0014091,0.504712,50.1
5379.85,0.000226029,0.0036855,1.71625e+06,0.0373009,0.107953,50.1
441489,0.000576094,0.00196135,2.18362e+08,0.286243,0,50.1
25372.2,0.000125924,0.00203695,2.52508e+07,0.00446227,0,50.1
0.00306614,7.47164e-07,5.54643e-05,1.63671,0.000203649,0.577546,50.1
162.162,6.02199e-05,0.00411817,79179.3,0.00874321,0.116,50.1
766.191,0.00010328,0.00434241,308699,0.011594,0.110097,50.1
892.286,6.90062e-05,0.00247106,390610,0.00416765,0.171271,50.1
102.449,4.12535e-06,0.000482176,97157,0.000329705,0.422347,50.1
23.1847,0.000122967,0.00376704,8130.7,0.00130717,0.414696,50.1
646.521,0.00016233,0.00264152,309073,0.0223171,0.216765,50.1
217.186,0.000144907,0.00261098,59174.4,0.00621105,0.297303,50.1
0.0110852,1.18122e-06,5.34812e-05,8.24033,0.000331244,0.687402,50.1
496.978,0.000115039,0.000933935,93250.3,0.0158892,0.20774,50.1
156.46,0.000131177,0.000852503,27304.6,0.0184662,0.307598,50.1
260.114,0.000159382,0.000902636,63562.3,0.0166215,0.27013,50.1
258.62,0.000235125,0.000460336,20201.6,0.0105738,0.332825,50.1
632.21,0.000123049,0.000870742,400291,0.0160151,0.166101,50.1
455.819,8.03748e-05,0.00120696,193089,0.00276175,0,50.1
455.819,8.03748e-05,0.00120696,193089,0.00276175,0,50.1
0.00579614,9.87258e-07,5.89607e-05,3.27909,0.000242226,0.530881,50.1
777.356,8.71889e-05,0.00441321,615528,0.0071605,0.0697376,50.1
642.882,9.08889e-05,0.0018617,341137,0.0103253,0.103148,50.1
4328.87,7.64334e-05,0.00138748,3.29318e+06,0.0115803,0.205514,50.1
174.837,5.81989e-05,0.000105431,114576,0.020307,0.328075,50.1
174.607,7.42052e-05,0.00302976,49347.8,0.00489366,0.449985,50.1
1323.34,0.000156715,0.00349622,371805,0.0270673,0.265895,50.1
1196.69,0.000147382,0.00280795,411990,0.0308698,0,50.1
66.0475,4.04703e-05,0.000115352,22188,0.0121146,0.461935,50.1
1093.68,0.00023859,0.0066635,296026,0.0223187,0.0868292,50.1
18474.4,0.000314061,0.00230004,1.61416e+07,0.0313091,0.0659895,50.1
2694.74,0.000249866,0.00206923,1.14855e+06,0.0475129,0.00798119,50.1
0.00153301,5.5457e-07,5.626e-05,0.694106,0.000149441,0.493175,50.1
2517.85,9.32496e-05,0.0038672,2.34377e+06,0.00539871,0.405184,50.1
679.288,0.000112478,0.00207594,626380,0.00412002,0.0665182,50.1
2378.52,0.00018251,0.00192761,1.01627e+06,0.0188972,0.208978,50.1
992.161,1.76319e-06,0.000124551,992010,0.000695868,0.0533407,50.1
946.966,1.11173e-06,0.000125255,946834,0.000340202,0.966809,50.1
946.966,1.11173e-06,0.000125255,946834,0.000340202,0.966809,50.1
946.966,1.11173e-06,0.000125255,946834,0.000340202,0.966809,50.1
0.00196912,7.20527e-07,7.69529e-05,0.791043,0.000135119,0.460754,50.1
674.169,0.000103179,0.00702836,433485,0.00312402,0.227498,50.1
1167.19,0.000163141,0.00261932,495713,0.0287188,0.0650665,50.1
3597.49,0.000260285,0.00219814,964634,0.0390306,0,50.1
