MSE,Frobenius Error,Elementnorm Error,Max Error (abs),Max Error (rel),Cost Reduction,% Derivatives
1.88257,0.000127327,0.0460795,10.3749,0.00044569,0.459178,0.767742
1948.1,0.000253809,0.0222009,1.79484e+06,0.000818581,0.330964,1.24194
2422.87,0.000250513,0.010467,819049,0.000846239,0.0622585,5.95484
10007.8,0.000449847,0.00536382,8.63644e+06,0.00313937,0,8.58065
0.654314,9.24847e-05,0.0142099,3.82762,0.000290978,0.4633,0.735484
2155.35,0.00030022,0.0216252,666404,0.00105755,0.0164028,1.2
153331,0.00653202,0.0103291,6.80858e+06,0.0485825,0,5.40323
6684.33,0.000645942,0.00543606,469640,0.0224107,0.0368368,8.20645
80.2625,5.12516e-05,0.00281612,75715.4,0.000258002,0.501554,0.8
156.816,0.0003524,0.00914102,131506,0.00145628,0.326831,1.98065
778.41,0.000411808,0.00625143,38450.5,0.00767867,0,2.91613
854.599,0.000323405,0.0057948,614749,0.00126321,0.128156,5.10645
632.846,0.000209005,0.0163617,31323.7,0.000646122,0.488407,0.683871
723.232,0.000218259,0.0132432,460163,0.00168646,0.145467,3.74839
1154.98,0.000233056,0.00952471,622410,0.00351534,0.15866,4.6129
1747.24,0.000325469,0.0130667,1.58994e+06,0.0121603,0.0506552,4.50323
0.0358109,2.02275e-05,0.00222892,2.88105,0.000203154,0.437799,0.774194
403.672,0.000241382,0.0282323,388997,0.000464606,0.0915403,0.858065
2355.99,0.000766308,0.00924829,287734,0.00489034,0,9.70645
1712.68,0.000264701,0.00800642,468919,0.00409695,0.143237,10.7742
81.7742,9.34993e-05,0.0151666,42784.4,0.00028902,0.682536,0.893548
1181.97,0.000652376,0.0102277,939875,0.00604891,0.232068,3.00323
6065.54,0.00124572,0.0227912,2.10424e+06,0.0108663,0,6.79677
259.435,0.000345341,0.00590551,88363.4,0.0260792,0.0565176,9.71935
0.0669334,2.82518e-05,0.00366657,4.86248,0.000235889,0.55837,0.774194
1285.71,0.000203884,0.0229748,105728,0.000506063,0.241633,1.20645
2927.37,0.000419061,0.0102165,569076,0.00224842,0.0116707,3.92258
1973.03,0.000481001,0.00874761,404526,0.00421687,0.190014,4.23871
0.0356606,2.36503e-05,0.00238207,2.6915,0.000195737,0.485517,0.651613
602.805,0.000214497,0.0190018,591798,0.000453982,0.130763,0.970968
159.405,0.000237664,0.00672865,23318.8,0.00154099,0.12609,9.28387
55806.7,0.000270523,0.00550868,5.41679e+07,0.00871522,0,12
975.029,7.18005e-05,0.00530477,950908,0.000280296,0.452715,0.858065
157.631,0.000277895,0.0131601,79210.2,0.00315299,0.0690912,2.01935
423.759,0.000266122,0.00976857,383321,0.000591738,0.16192,2.05806
5335.91,0.000296204,0.00918037,5.18591e+06,0.0020566,0.0205588,3.56452
0.476057,6.6017e-05,0.0020597,47.1902,0.000239531,0.64897,0.551613
740.996,0.000180396,0.0106851,683061,0.0016839,0.177173,1.93226
118.544,0.000215015,0.00525829,94374.9,0.00191457,0.471743,2.89032
136625,0.00165072,0.00434178,8.46583e+07,0.0493252,0,5.61935
0.429476,7.90506e-05,0.0149186,4.10329,0.000273513,0.415977,0.858065
796.83,0.000367815,0.0262048,414656,0.0128749,0,1.09355
13695.3,0.000264266,0.0122548,9.9105e+06,0.00147306,0.0347022,2.80645
1724.37,0.000391129,0.00593572,522944,0.00422719,0,4.50968
1.04287,0.000136349,0.0258151,8.78467,0.000499333,0.518194,0.729032
3202.41,0.000310523,0.0141274,2.8637e+06,0.00204707,0.266778,1.97097
916.658,0.000351055,0.0084719,881112,0.00142842,0.229817,3.79355
1167.58,0.000263955,0.007571,627102,0.00162608,0.0357587,6.39677
139.779,0.000114399,0.0129113,33802.2,0.000325913,0.311531,0.683871
7.14819,0.000266363,0.0124288,495.933,0.00265618,0.033793,1.94194
155.691,0.000208215,0.00672196,18890,0.00389909,0,4.05806
155.691,0.000208215,0.00672196,18890,0.00389909,0,4.05806
0.183008,4.82465e-05,0.00241646,13.8435,0.000233383,0.459473,0.729032
364.751,0.000130594,0.00577319,212905,0.000629535,0.177728,1.35161
364.302,0.000364888,0.00479388,253402,0.0053558,0.206792,4.99677
6623.61,0.000779538,0.00481336,504893,0.0180324,0,5.00968
325.61,0.000119828,0.0212387,320556,0.000369411,0.466222,0.980645
8815.14,0.000320133,0.00959358,6.41893e+06,0.000979416,0.0869869,1.98065
879123,0.000461263,0.00762692,8.73536e+08,0.00216234,0,3.69677
25468.3,0.000496306,0.00616387,2.5211e+07,0.00221756,0,5.37419
0.548079,7.80611e-05,0.00811589,5.60258,0.000240598,0.564741,0.725806
337.813,0.00022445,0.0239048,316915,0.000727295,0.048778,0.970968
1316.1,0.000359868,0.0170365,307523,0.0129523,0,2.83226
947.322,0.000231287,0.0133071,390808,0.00133753,0.218744,3.56774
103.467,0.000101227,0.00850083,97136.3,0.000350535,0.287039,0.93871
35.1044,0.000273206,0.00912469,8122.9,0.000792009,0.30889,1.87742
1295.49,0.000309595,0.00646835,1.2091e+06,0.00141874,0.151079,4.46452
577.101,0.00037466,0.00855457,236367,0.00254618,0.125827,4.30645
0.274202,4.99929e-05,0.00816991,19.2553,0.000356356,0.666377,1.40645
769.313,0.000182534,0.0105547,93573.4,0.000622934,0.051473,1.61935
285.37,0.000186726,0.00823887,108966,0.00105762,0.235818,2.92903
581.002,0.000276726,0.0115299,102998,0.00146808,0.330882,2.76129
393.392,0.000219995,0.0122795,20203,0.00115434,0.231534,1.02903
945.992,0.000606196,0.0080054,391129,0.0032966,0.395504,5.49355
7700.64,0.00194051,0.00569023,170319,0.0266302,0,8.62258
7700.64,0.00194051,0.00569023,170319,0.0266302,0,8.62258
0.322213,8.29574e-05,0.00430831,2.34981,0.000211456,0.550656,0.858065
849.349,0.000244169,0.0227425,615754,0.000629327,0.337387,1.23226
1140.05,0.000353777,0.00771427,340294,0.00675688,0,3.54194
4761.45,0.000274642,0.00665378,3.29236e+06,0.00275392,0.148187,4.07419
256.498,0.000136992,0.0359312,132745,0.000332406,0.479124,0.767742
228.976,0.00049642,0.0102383,68020.8,0.00291407,0.341862,2.57419
2689.82,0.000442953,0.0140695,1.48667e+06,0.0021546,0,2.8129
2093.5,0.00051653,0.00866718,1.65267e+06,0.00268901,0,6.16774
129.638,9.24306e-05,0.038677,88762.2,0.000289213,0.403775,0.941935
1497.91,0.000239356,0.0161038,295779,0.0010458,0.236705,2.06774
23711.1,0.00227579,0.00765097,1.6141e+07,0.0449605,0,5.0871
5165.03,0.000406898,0.00646373,4.53757e+06,0.00190419,0,5.86129
0.0340724,2.29074e-05,0.0027448,1.33956,0.000188494,0.494417,0.693548
286358,0.0117407,0.0171303,2.92382e+06,0.121873,0,1.50323
776.721,0.000340434,0.00676203,626068,0.00284309,0,3.28387
2901.44,0.000391022,0.0060032,1.01574e+06,0.00445353,0.0614876,3.33226
8445.07,0.000846316,0.000710059,919026,0.0506018,0,1
958.343,0.000386599,0.00302975,947634,0.000777758,0.0419434,0.845161
958.343,0.000386599,0.00302975,947634,0.000777758,0.0419434,0.845161
958.343,0.000386599,0.00302975,947634,0.000777758,0.0419434,0.845161
2.82091,0.000173252,0.0681247,14.2393,0.000490592,0.319132,0.687097
3174.24,0.00112172,0.0187761,440577,0.00503265,0,1.95484
2185.88,0.00028343,0.00950013,1.98257e+06,0.00119195,0.087731,4.09355
6277.73,0.000366429,0.00656162,3.83573e+06,0.00182509,0,6.48065
