MSE,Frobenius Error,Elementnorm Error,Max Error (abs),Max Error (rel),Cost Reduction,% Derivatives
31.5387,2.50599e-05,0.000191529,1655.73,0.0025647,0.320046,20.1
1745.4,7.26453e-05,0.00242193,458873,0.0105029,0.0189429,20.1
299.982,5.03548e-05,0.00202696,114498,0.00453795,0,20.1
639.775,8.35654e-05,0.00235516,161916,0.00396827,0.0205926,20.1
55.5293,5.62583e-06,0.000125119,13568.2,0.00255523,0.422133,20.1
544.92,8.75456e-05,0.000637428,107965,0.0101743,0,20.1
544.92,8.75456e-05,0.000637428,107965,0.0101743,0,20.1
544.92,8.75456e-05,0.000637428,107965,0.0101743,0,20.1
31.4428,3.76081e-05,0.00107127,1706.28,0.00294612,0.258555,20.1
1260.22,9.72809e-05,0.00550675,578419,0.00482052,0,20.1
606.593,0.000101613,0.00315102,173915,0.00277958,0,20.1
3728.69,9.33665e-05,0.00324656,2.35638e+06,0.00662473,0.103165,20.1
89.7663,9.41211e-05,0.000489915,2928.02,0.00373988,0.309447,20.1
320.585,3.17642e-05,0.00237872,232686,0.000278935,0.0279472,20.1
12.6861,2.86015e-05,0.00204116,3297.19,0.000306028,0.0655005,20.1
141.048,5.14321e-05,0.00305022,41564.7,0.00354925,0.00256323,20.1
3706.53,0.000246349,0.00417444,248510,0.0144923,0.015058,20.1
3706.53,0.000246349,0.00417444,248510,0.0144923,0.015058,20.1
3706.53,0.000246349,0.00417444,248510,0.0144923,0.015058,20.1
3706.53,0.000246349,0.00417444,248510,0.0144923,0.015058,20.1
205.951,5.33055e-05,0.00445733,57023.1,0.00675357,0.166048,20.1
620.803,6.15151e-05,0.00310441,451987,0.0027273,0.26432,20.1
3854.65,4.68416e-05,0.00330975,3.61409e+06,0.00057799,0.113728,20.1
224.344,7.56503e-05,0.0030858,79669.5,0.00299278,0.173154,20.1
110.968,0.00014564,0.000470584,3416.16,0.00342211,0.414334,20.1
22.1844,2.94665e-05,0.000342461,9689.29,0.00184652,0.168377,20.1
22.1844,2.94665e-05,0.000342461,9689.29,0.00184652,0.168377,20.1
22.1844,2.94665e-05,0.000342461,9689.29,0.00184652,0.168377,20.1
79.2801,0.000134772,0.000486036,3291.84,0.00279812,0.290617,20.1
267.929,2.47809e-05,0.00161748,232317,0.00123155,0.118963,20.1
36.454,2.75786e-05,0.00218588,25550.5,0.000800218,0.124274,20.1
2226.08,9.66047e-05,0.00321544,550926,0.0137096,0.0320745,20.1
7.35319,9.48746e-07,7.02334e-05,3756.11,8.32311e-05,0.388158,20.1
1014.23,0.000104722,0.00326593,452807,0.00283037,0.0546533,20.1
1735.66,0.000158177,0.0027112,164485,0.00519219,0.00692386,20.1
961.499,4.47852e-05,0.00227399,511721,0.00313143,0.0152167,20.1
202.96,0.000175174,0.000446355,5897.48,0.00572244,0.367716,20.1
1.1205,9.05722e-06,0.000459198,267.97,0.000216462,0.00596645,20.1
43.7779,2.43558e-05,0.000866931,5914.3,0.00214259,0.124879,20.1
14.8277,2.06613e-05,0.000984188,5200.19,0.00151356,0,20.1
126.695,0.000160996,0.00041316,3072.26,0.00349907,0.232947,20.1
237.014,1.41866e-05,0.000759264,227892,0.000220906,0.0530541,20.1
2.7643,1.45171e-05,0.0010682,639.299,0.000254181,0.078431,20.1
226.837,6.30365e-05,0.000916685,53454.9,0.010116,0.112415,20.1
67.3571,2.96252e-05,6.22179e-05,16870.7,0.00595657,0.334195,20.1
64.1955,2.75246e-05,0.000790227,31081.6,0.00316594,0.107845,20.1
29.3473,2.23911e-05,0.00172472,21482,0.000498138,0.038091,20.1
65.6724,6.14668e-05,0.00120739,12020.8,0.00311704,0.0514131,20.1
56.6515,8.95115e-07,6.32825e-05,11956.1,9.52997e-05,0.301743,20.1
69.9385,2.37066e-05,0.000356763,16212.8,0.00355222,0.150835,20.1
290.795,4.60599e-05,0.000661383,38282.2,0.00300745,0.0717914,20.1
331.905,7.78594e-05,0.000973435,37517.4,0.00482619,0.0632602,20.1
1056.66,4.32663e-05,0.000245475,232409,0.00890164,0.102966,20.1
142.712,8.1379e-06,0.000544617,122686,0.000780106,0.119881,20.1
84.0341,2.64753e-05,0.000261649,27450.1,0.00507936,0.155013,20.1
525.848,1.81098e-05,0.00034409,72631,0.00299067,0.057367,20.1
138.158,6.93488e-05,0.00160782,18394.9,0.00630746,0.191579,20.1
923.474,0.000106683,0.00138742,223551,0.0125014,0.0752405,20.1
5454.96,0.000152929,0.00336344,1.95384e+06,0.0157156,0,20.1
5454.96,0.000152929,0.00336344,1.95384e+06,0.0157156,0,20.1
133.635,0.000162586,0.000432027,4182.04,0.00380102,0.222034,20.1
71.3059,2.61713e-05,0.00122577,39930.4,0.000912492,0.051587,20.1
71.3059,2.61713e-05,0.00122577,39930.4,0.000912492,0.051587,20.1
71.3059,2.61713e-05,0.00122577,39930.4,0.000912492,0.051587,20.1
121.452,0.000127613,0.000379298,8489.35,0.00531681,0.387359,20.1
178.701,4.063e-05,0.00129572,89679.1,0.00153631,0,20.1
2078.06,4.36624e-05,0.00152319,1.30175e+06,0.0020009,0,20.1
6502.04,9.13094e-05,0.00154319,5.11832e+06,0.00662651,0,20.1
62.0132,0.000102284,0.000357017,2454.58,0.00246666,0.313848,20.1
77.9633,4.72117e-05,0.00198673,10729.5,0.00249863,0.229499,20.1
1042.52,6.32679e-05,0.00335673,363905,0.00200308,0.236593,20.1
10217.6,0.000181045,0.00317819,2.2129e+06,0.0223323,0,20.1
159.568,0.000157678,0.000404545,4538.61,0.00404032,0.345873,20.1
48635.2,3.41113e-05,0.00198119,4.8603e+07,0.00284841,0.0980094,20.1
53.5692,4.98996e-05,0.00189388,6197.7,0.00400855,0.098164,20.1
30.4791,3.42997e-05,0.00120695,6748.08,0.000896271,0.0572,20.1
97.1654,0.000176838,0.000584815,1196.06,0.00290404,0.386911,20.1
1743.09,0.000128464,0.00213489,422430,0.0154756,0,20.1
66565,4.27867e-05,0.00234901,6.61058e+07,0.0015201,0.052834,20.1
591.888,5.79215e-05,0.00232702,152389,0.0013455,0,20.1
86.0828,0.000115308,0.000631668,2524.23,0.00287281,0.312716,20.1
916.73,2.84974e-05,0.00333629,642025,0.000499158,0.151814,20.1
265.551,4.72854e-05,0.00213852,145434,0.00166938,0.0465891,20.1
8547.49,7.12799e-05,0.00289865,7.50725e+06,0.00587225,0,20.1
1218.73,8.05738e-05,0.00441276,161331,0.00776334,0.0379265,20.1
360.931,4.04471e-05,0.00191041,165080,0.000735138,0.322429,20.1
922.52,7.8675e-05,0.00207785,632008,0.00149718,0.00678253,20.1
922.52,7.8675e-05,0.00207785,632008,0.00149718,0.00678253,20.1
30.9593,1.76257e-05,0.00057292,6206.82,0.00240482,0.26646,20.1
2628.97,0.000109213,0.00398799,771247,0.0140885,0.103918,20.1
368.605,6.7319e-05,0.00263219,55763.3,0.00377496,0.112589,20.1
1215.91,5.96635e-05,0.00267984,916136,0.00119634,0,20.1
108.841,8.2393e-05,0.000281273,5333.5,0.00374053,0.39172,20.1
16.7179,2.01946e-05,0.000915582,3314.37,0.00140317,0.0263623,20.1
189.816,3.75305e-05,0.00147553,86568.7,0.00103601,0.0188844,20.1
6952.37,0.000121573,0.00145853,1.7219e+06,0.0283039,0.00537967,20.1
160.254,0.000206662,0.000427464,2307.36,0.00407275,0.435613,20.1
1.4338,9.44697e-06,0.000211035,188.396,0.000644603,0.125404,20.1
1.4338,9.44697e-06,0.000211035,188.396,0.000644603,0.125404,20.1
1.4338,9.44697e-06,0.000211035,188.396,0.000644603,0.125404,20.1
