MSE,Frobenius Error,Elementnorm Error,Max Error (abs),Max Error (rel),Cost Reduction,% Derivatives
35.6745,4.07314e-05,0.00515423,1679.4,0.000108942,0.369144,0.534545
758.133,7.77951e-05,0.00721222,717462,0.000216231,0.148395,0.650909
250.699,0.000111188,0.00681671,114562,0.000739478,0,1.26545
536.799,0.000151689,0.00566551,163506,0.00117134,0.0757957,2.06
123.887,0.000125057,0.00682029,12679.9,0.00300172,0.387755,0.629091
494.584,7.51397e-05,0.010133,222875,0.000313315,0.00777834,0.930909
494.584,7.51397e-05,0.010133,222875,0.000313315,0.00777834,0.930909
494.584,7.51397e-05,0.010133,222875,0.000313315,0.00777834,0.930909
46.9559,3.94866e-05,0.00670313,2969.39,0.00011882,0.219709,0.730909
1057.52,8.65112e-05,0.0155595,568238,0.000266587,0.0242284,0.858182
566.058,0.000143843,0.00674334,173338,0.00104009,0,2.39818
3597.69,0.000127975,0.00627681,2.35641e+06,0.00300186,0.00570322,3.56182
137.714,4.90162e-05,0.00631665,3715.81,0.000114563,0.340071,0.578182
326.192,0.000102644,0.00649221,232616,0.000667128,0.196784,0.770909
38.8117,9.3881e-05,0.00555105,1855,0.00136674,0.00686916,1.04727
108.501,7.52601e-05,0.0054158,41614.2,0.000292972,0.0034837,1.11818
3820.31,4.89355e-05,0.0242524,248507,0.000148112,0.544742,0.618182
3820.31,4.89355e-05,0.0242524,248507,0.000148112,0.544742,0.618182
3820.31,4.89355e-05,0.0242524,248507,0.000148112,0.544742,0.618182
3820.31,4.89355e-05,0.0242524,248507,0.000148112,0.544742,0.618182
178.379,6.50701e-05,0.032049,57017.8,0.000118129,0.349322,0.578182
565.083,9.01269e-05,0.00696444,451730,0.000410797,0.0127957,1.16182
3861.08,8.6318e-05,0.00558714,3.61358e+06,0.000422997,0.0939812,2.18909
222.66,0.00012456,0.00509111,79495.1,0.000494546,0,2.75273
206.156,0.000707869,0.00143513,2992.16,0.00337168,0.421179,0.523636
56.2194,9.71134e-05,0.00399836,9682.78,0.00231471,0.241803,0.854545
56.2194,9.71134e-05,0.00399836,9682.78,0.00231471,0.241803,0.854545
56.2194,9.71134e-05,0.00399836,9682.78,0.00231471,0.241803,0.854545
344.612,0.00123834,0.00304981,2199.57,0.00279625,0.031987,0.667273
266.736,5.38853e-05,0.0116377,232378,0.000752154,0.0412746,1.21273
40.4657,9.34153e-05,0.00578644,25708.8,0.00095623,0.0624223,1.22909
1031.85,8.06193e-05,0.00595067,871447,0.000349918,0.16187,1.09273
7.65421,5.42335e-05,0.0106144,3716.63,0.000197157,0.279166,0.534545
2433.33,0.00061021,0.0242958,452797,0.00363196,0.0387183,0.534545
1188.33,0.000112789,0.012201,254126,0.000272642,0,0.581818
1015.11,8.49074e-05,0.00696298,511608,0.000203519,0.030646,1.34727
209.004,0.000311932,0.000571849,6128.6,0.00445533,0.147374,0.749091
3.89232,7.02022e-05,0.00459376,328.594,0.000453464,0.0549989,0.916364
61.6586,0.000115235,0.0028016,9324.07,0.00244829,0.0548467,1.14364
36.1692,0.000121636,0.00366382,5195.2,0.000980569,0.071152,1.18182
187.902,4.07902e-05,0.00258922,4559.9,0.00012391,0.256305,0.581818
282,0.000100604,0.00308913,227898,0.00289825,0.0147883,0.636364
3.3728,5.05429e-05,0.00328444,564.161,0.000210067,0.0796592,0.821818
110.846,6.39296e-05,0.0020516,83530.3,0.00113894,0.133724,1.35273
103.559,4.2005e-05,0.00384372,17840.9,0.000127442,0.270983,0.578182
150.961,0.000280145,0.00557761,31087.5,0.00271306,0,0.810909
34.6207,0.000101252,0.00651807,19871.1,0.000519082,0.209662,0.945455
33.5558,7.38072e-05,0.00498152,18652.5,0.00123503,0.00021346,0.858182
56.9213,3.52251e-05,0.005707,11957.4,9.77932e-05,0.32254,0.48
112.854,0.00021758,0.00907233,25334.2,0.00270626,0.0149663,0.616364
372.277,0.00015612,0.00647148,39014.4,0.00169401,0.0270945,0.852727
165.34,9.7713e-05,0.0048045,57305.7,0.000538403,0.106775,0.992727
1107.64,5.52547e-05,0.00489669,252638,0.000130513,0.330941,0.4
122.401,7.29212e-05,0.00247112,108753,0.000394586,0.165141,0.572727
