MSE,Frobenius Error,Elementnorm Error,Max Error (abs),Max Error (rel),Cost Reduction,% Derivatives
6178.01,0.00070699,0.0157691,4.11271e+06,0.00466114,0.303415,0.2
1259.44,0.00727982,0.0622716,93485.5,0.0243293,0.385987,0.2
961.843,0.00204827,0.0642874,841279,0.00542064,0.505805,0.2
341.998,0.00213435,0.0597233,59165.7,0.00510095,0.024573,0.2
922.022,0.00079223,0.0309241,471932,0.00249742,0.557765,0.2
261.075,0.00192146,0.0532896,78533.4,0.00518398,0.384542,0.2
874.392,0.00176991,0.0263431,201590,0.00658443,0,0.2
874.392,0.00176991,0.0263431,201590,0.00658443,0,0.2
1.712,0.000429172,0.0302996,75.4734,0.0015962,0.746796,0.2
15.1332,0.00155715,0.053773,466.345,0.00319108,0.475191,0.2
14.2705,0.00179839,0.0810425,638.967,0.00252108,0,0.2
18.7934,0.00195247,0.070269,3139.91,0.00496669,0,0.2
4279.73,0.000481806,0.0248496,720743,0.00152142,0.471773,0.2
4090.05,0.00224411,0.0292321,3.29037e+06,0.00748329,0.241918,0.2
144.717,0.00137955,0.031354,85014.7,0.00326154,0.234681,0.2
60.064,0.0016263,0.0396318,6592.91,0.00314489,0.195526,0.2
201.239,0.000584353,0.0254366,94926.6,0.00148467,0.702384,0.2
194.338,0.00157344,0.0422404,134272,0.00297967,0.0404566,0.2
59.4985,0.00160559,0.0476018,20712.6,0.00434393,0.0653099,0.2
132.519,0.00163573,0.0437385,101599,0.00480807,0,0.2
383.33,0.00054231,0.0298002,188478,0.00175647,0.769572,0.2
91.7614,0.00143219,0.0426224,76970.5,0.00369856,0.00569803,0.2
14.6511,0.00144922,0.0477943,2275.85,0.0037889,0.046171,0.2
94.7946,0.00148069,0.0524993,23116.4,0.00383123,0.0122368,0.2
306964,0.00227035,0.0410507,9.612e+06,0.0116453,0.692973,0.2
71973.4,0.00360004,0.0376497,1.07159e+07,0.0192304,0,0.2
1454.3,0.00308582,0.0266851,1.25942e+06,0.0105692,0,0.2
1454.3,0.00308582,0.0266851,1.25942e+06,0.0105692,0,0.2
199.813,0.000472481,0.024744,197554,0.00176437,0.661096,0.2
2097.25,0.00134225,0.040325,427924,0.0024083,0.212788,0.2
970.656,0.00152296,0.0460014,413583,0.00314078,0.205158,0.2
961.341,0.0019618,0.0729597,934745,0.00486007,0,0.2
403.334,0.000598454,0.0225149,209583,0.00227395,0.855374,0.2
118.119,0.00182807,0.05031,87238.1,0.00570248,0.0485984,0.2
360.448,0.00185656,0.0487705,146417,0.00530472,0,0.2
715.258,0.00238005,0.0561401,492714,0.00555573,0,0.2
359.227,0.000504508,0.0271829,148518,0.00221169,0.771539,0.2
323.122,0.00150661,0.0461948,148317,0.00268756,0.0518816,0.2
10512.3,0.0015764,0.0519855,1.02238e+07,0.00461104,0.00237715,0.2
47.2783,0.00178652,0.0471325,12749,0.00556768,0.0838406,0.2
585.231,0.000931586,0.0363871,203417,0.00268256,0.625228,0.2
158.811,0.00188148,0.0542187,72591.2,0.00437112,0.163757,0.2
185.473,0.0018905,0.0551577,74019,0.00579855,0.124173,0.2
131.167,0.00204486,0.0597704,81603.7,0.00635938,0,0.2
177.387,0.000696445,0.0344179,90229.7,0.0021166,0.832626,0.2
5339.63,0.00410008,0.0434317,4.09812e+06,0.00945871,0,0.2
3184.88,0.00380397,0.0389022,2.2207e+06,0.00844857,0,0.2
9360.5,0.00224413,0.0369107,7.14122e+06,0.00560953,0.00551944,0.2
1234.32,0.000711769,0.027162,347402,0.00223601,0.790486,0.2
285.151,0.00167346,0.0479564,89433.8,0.00395685,0.0131427,0.2
233.679,0.00199157,0.0410224,132484,0.0113943,0.490883,0.2
233.679,0.00199157,0.0410224,132484,0.0113943,0.490883,0.2
123.712,0.00403725,0.0647136,50955.5,0.0148799,0.56012,0.2
2637.77,0.0115982,0.0529101,927144,0.0612071,0.62933,0.2
