MSE,Frobenius Error,Elementnorm Error,Max Error (abs),Max Error (rel),% Derivatives
152.375,2.46992e-05,0.000612742,205946,0.00348714,20.05
153.986,3.45561e-05,0.00069797,278925,0.00219371,20.05
1.45598,0.000146223,0.00193021,310.468,0.0114177,20.05
2969.01,0.000387993,0.00240947,5.73576e+06,0.0296884,20.05
144.502,0.0003351,0.00290365,21720.6,0.0274664,20.05
6384.88,0.000340696,0.000757276,1.24356e+07,0.0362885,20.05
5054.46,0.000448885,0.00109434,9.78801e+06,0.0468638,20.05
69.2132,0.000185883,0.000775711,48359.2,0.0185063,20.05
0.161682,9.44702e-06,0.000385794,201.56,0.00141801,20.05
341.227,0.00033846,0.000729932,270166,0.0224557,20.05
38.6149,0.000211376,0.0011134,17816.3,0.0272194,20.05
2729.23,0.000971947,0.00163767,3.16835e+06,0.138336,20.05
0.0818977,6.01326e-06,0.000457669,103.911,0.00132728,20.05
28.9412,0.000106643,0.000556733,19815.6,0.0210592,20.05
1714.72,0.000171075,0.000974093,3.23102e+06,0.00973102,20.05
376.585,0.000533277,0.00230352,163562,0.0469899,20.05
9.26824,2.5179e-05,0.000766013,1736.53,0.00544259,20.05
245.314,0.000234857,0.000769622,219585,0.0427215,20.05
62.0126,8.90375e-05,0.000726334,35214.4,0.00817255,20.05
115.411,0.000192595,0.00108751,36128.6,0.0238781,20.05
5.21405,3.28633e-05,0.000625948,2800.81,0.00456761,20.05
12638.9,0.000362408,0.000763788,1.62312e+07,0.124266,20.05
6676.65,0.000616357,0.000845312,4.25022e+06,0.10215,20.05
3479,0.000362503,0.00102361,1.91141e+06,0.0768455,20.05
3561.04,0.00099838,0.000896947,1.07247e+06,0.120065,20.05
3561.04,0.00099838,0.000896947,1.07247e+06,0.120065,20.05
138.579,0.000280336,0.001257,179833,0.0133899,20.05
989.643,0.000455787,0.00151631,546029,0.044513,20.05
108.284,1.43392e-05,0.000407663,208346,0.0060448,20.05
4239.97,0.000321322,0.000566749,7.82733e+06,0.0428661,20.05
371.219,0.000323949,0.000715064,58606.3,0.0429935,20.05
53.6976,0.000159131,0.000682423,29225.6,0.0249991,20.05
0.437924,1.577e-05,0.000456356,283.297,0.00286839,20.05
0.176214,3.61428e-05,0.000235233,60.7786,0.00163721,20.05
3181.22,7.78609e-05,0.000843526,2.32052e+06,0.00781084,20.05
3677.23,0.000654115,0.00133187,1.18624e+06,0.167279,20.05
6.99051,3.83014e-05,0.000604287,1992.77,0.00783995,20.05
14.2632,0.000111022,0.000756721,10823.1,0.00708517,20.05
35142.3,0.00634676,0.00145058,1.84195e+07,3.23241,20.05
30.033,0.000330785,0.00162496,10495.8,0.0244061,20.05
1.10018,1.10509e-05,0.000388114,1522.37,0.00327486,20.05
48.4947,0.000107013,0.000502912,11412.8,0.0212516,20.05
55.8879,8.17221e-05,0.000681163,34130.5,0.00136673,20.05
5.57837,9.35486e-05,0.000599875,9959.96,0.00238201,20.05
0.0339284,3.34669e-06,0.000331884,24.033,0.00090111,20.05
107.903,0.00016793,0.000807082,69007.1,0.0275184,20.05
1536.23,0.00116876,0.000800426,782645,0.568912,20.05
84.0703,0.000278416,0.00106147,53758.4,0.0455244,20.05
0.188602,3.73202e-06,0.00037779,187.126,0.00214668,20.05
1887.45,2.57069e-05,0.000206579,3.60827e+06,0.001445,20.05
392.395,5.61536e-05,0.000474832,424709,0.0102617,20.05
172.969,5.96588e-05,0.000436765,246640,0.00267221,20.05
199.961,0.000219922,0.000441522,65167,0.0426193,20.05
8455.81,0.000358119,0.00104043,1.64143e+07,0.0427361,20.05
338.575,0.000353957,0.00135022,311508,0.042198,20.05
49945.2,0.000226047,0.00123086,9.60209e+07,0.0161326,20.05
235.144,0.00031927,0.000626724,125246,0.124064,20.05
615.408,0.000862617,0.00113577,62338,0.0450996,20.05
395.756,0.000397407,0.00124155,23906.1,0.059533,20.05
309.402,0.000326507,0.0010709,30023.5,0.0222412,20.05
2.59041,4.58254e-05,0.00064174,1608.44,0.00934063,20.05
175.568,0.000201712,0.000682084,290697,0.0325583,20.05
14.3272,0.000112668,0.000822555,24706.5,0.0041432,20.05
14.5603,0.000164041,0.00104565,9080.73,0.00897473,20.05
0.0401451,3.84231e-06,0.0004703,53.6731,0.0011598,20.05
12.5268,6.0375e-05,0.000333816,12844.6,0.0125818,20.05
38.1853,6.45108e-05,0.000360047,51970.5,0.0155589,20.05
0.420528,7.44708e-05,0.000566492,162.262,0.00448764,20.05
9.40258,7.21087e-06,0.00035601,18590.4,0.00139905,20.05
196.037,0.000329306,0.000714242,33785.9,0.0388099,20.05
856.03,0.000117982,0.000783062,1.50805e+06,0.013806,20.05
124.138,0.000169335,0.000562386,119246,0.0178769,20.05
627.189,1.54578e-05,0.000326133,1.03169e+06,0.00716272,20.05
296.257,0.000352172,0.000646933,100621,0.0783576,20.05
551.93,0.000179955,0.000615483,1.03981e+06,0.0524279,20.05
24.2483,0.000143057,0.000592932,34442.8,0.0208682,20.05
422.069,3.14316e-05,0.000512506,572660,0.00844706,20.05
266.411,0.000477441,0.000894591,99413.1,0.101065,20.05
274768,0.000467079,0.00107343,4.25393e+08,0.202634,20.05
52865.8,0.0002525,0.00102421,1.05695e+08,0.0292932,20.05
0.279134,6.93121e-06,0.0004765,356.594,0.00223468,20.05
119.188,0.000274792,0.00043593,45519.9,0.0528792,20.05
153.744,0.000212284,0.000903074,78045.6,0.0266995,20.05
142.933,0.000423729,0.00127066,26479.2,0.0576141,20.05
0.157089,3.31876e-06,0.000356669,275.807,0.00133865,20.05
0.135559,2.70935e-05,0.000209676,58.7539,0.00146072,20.05
526.085,2.68869e-05,0.000223824,1.05196e+06,0.00184124,20.05
0.708767,2.73812e-05,0.000242479,1142.91,0.00186361,20.05
0.495914,8.74818e-06,0.000467725,882.025,0.00436624,20.05
290.508,0.000282875,0.000579479,169383,0.019735,20.05
7524.89,0.00113534,0.000893704,1.21205e+07,0.206757,20.05
301.716,0.000450488,0.000734693,56614.4,0.0480772,20.05
0.134747,2.83886e-06,0.000373476,249.439,0.00206382,20.05
0.606088,2.50384e-05,0.000291489,579.958,0.00211256,20.05
27.6934,3.28212e-05,0.000365146,40881.5,0.00595359,20.05
391.735,0.000128057,0.000438418,558438,0.0216746,20.05
1622.06,0.000293815,0.000643966,849868,0.0849009,20.05
1622.06,0.000293815,0.000643966,849868,0.0849009,20.05
425.346,0.000194283,0.000848141,337150,0.0218037,20.05
8882.73,0.00162129,0.00134758,4.29212e+06,0.83486,20.05
