MSE,Frobenius Error,Elementnorm Error,Max Error (abs),Max Error (rel),% Derivatives
195.263,0.00193919,0.0214006,205300,0.0112116,0.4
170.367,0.00162566,0.0693822,279363,0.0148477,0.65
22.9717,0.00164747,0.066321,205.608,0.0134366,2.5
224.54,0.00323112,0.0248514,118022,0.0205677,8.8
167.995,0.000411556,0.0161942,21719.3,0.00199096,2.95
172.637,0.00149723,0.0143165,90494.5,0.037087,3.15
337.683,0.00100672,0.0108449,53824.3,0.00484417,3.35
94.9468,0.00125708,0.0214226,48326,0.00335979,2.7
2.34806,0.000352296,0.0232865,41.7888,0.00230851,1.6
295.386,0.00131727,0.0273511,268723,0.0028321,1.23077
25.5679,0.00104036,0.0144115,27702.1,0.0111017,4.30769
2121.34,0.00175864,0.00978846,3.162e+06,0.0141912,7.25769
3.3007,0.000341892,0.0202259,42.4618,0.002907,3.71538
40.5593,0.000961156,0.0148083,20707.5,0.00294647,1.38077
1728.36,0.00110462,0.00926913,3.22821e+06,0.0052668,3.23077
257.177,0.00101218,0.00739861,166771,0.0135371,7.29231
22.2167,0.000215952,0.0111032,3032.35,0.00134031,6.24231
235.532,0.00182954,0.0374285,219608,0.00441335,0.95
287.009,0.0026999,0.0295835,36018.4,0.0224804,0.85
431.082,0.00115915,0.0308411,106646,0.0118924,2.08077
7.67421,0.00033593,0.0141971,2792.1,0.00254156,0.980769
14519.3,0.00320125,0.0164103,1.38513e+07,0.150355,2.9
5724.39,0.00277941,0.0109096,3.03632e+06,0.103804,3.61923
3390.51,0.00105883,0.0128464,1.90916e+06,0.00454274,3.11538
2674.69,0.000744108,0.0116315,1.07333e+06,0.0122027,2.46923
2674.69,0.000744108,0.0116315,1.07333e+06,0.0122027,2.46923
215.867,0.00276304,0.0304046,179305,0.0223987,3.3
974.215,0.00183602,0.0228828,545441,0.0142046,3.35
120.522,0.00106902,0.0125685,207797,0.00315946,0.5
380.194,0.000767878,0.0150563,80209.5,0.00562088,2.9
261.983,0.000770764,0.0137159,65384.2,0.0060629,2.35
39.6847,0.000876402,0.0130858,31423.4,0.020818,2.35
1.08346,0.00025947,0.017867,284.823,0.00171066,1.9
4.75941,0.00121465,0.0290664,101.076,0.00227256,0.961538
3178.24,0.0012919,0.0388472,2.31423e+06,0.00527669,1.56154
2635.73,0.00103442,0.0165041,1.7996e+06,0.0129437,1.16538
12.4004,0.000331604,0.0170207,3447.13,0.00220912,0.511538
187.868,0.00276567,0.0168762,10385.7,0.0213782,2.38077
15036.9,0.000776509,0.00906711,2.87631e+07,0.0133578,3.68077
22.2838,0.000792528,0.00752169,15687.9,0.0164163,4.93462
1.64606,0.000181492,0.0128069,1710.01,0.00169425,4.53462
40.125,0.000771337,0.0198197,18637,0.00239913,0.5
59.1326,0.000788622,0.0189518,34659,0.00228497,0.55
15.3188,0.0013324,0.0249697,9959.41,0.00340219,1.25
0.788543,0.000207531,0.0166613,26.8353,0.00182182,0.7
99.4573,0.000693869,0.0130023,68935.7,0.00197742,0.65
706.477,0.00184274,0.0291363,1.22142e+06,0.0224604,1.45
90.8207,0.000980893,0.0112139,52892.5,0.00757378,3.47692
0.59681,0.000189359,0.0136625,193.397,0.00216537,2.46154
1890.57,0.00110437,0.0229931,3.60923e+06,0.00246377,1.11538
397.021,0.00118588,0.0280318,424133,0.002405,1.75769
177.118,0.00120192,0.0224609,245491,0.00339425,1.96154
109.978,0.00026124,0.00765455,101809,0.00598636,1.21154
8475.08,0.00199673,0.0411757,1.64084e+07,0.00862709,2.13077
709.429,0.00502497,0.0465597,304263,0.0590614,1.68077
49958,0.00177409,0.0385706,9.60213e+07,0.0331049,2.25769
102.354,0.000696081,0.0347589,195289,0.00209098,0.511538
709.437,0.0010489,0.0279115,61885.4,0.00237177,1.08077
1395.89,0.00459778,0.0372647,34915.6,0.02789,1.63077
369.822,0.00181334,0.023032,29862.5,0.0186975,1.68077
2.8647,0.000239152,0.00811806,1574.69,0.00430865,1.03077
275.124,0.0037055,0.0461739,286888,0.00959958,0.7
21.8519,0.0013174,0.0329697,24595,0.00318182,1.05
18.4401,0.00120716,0.0184079,9107.84,0.00309975,2.06154
0.957084,0.000286068,0.0175934,15.7486,0.00188807,0.35
40.8496,0.00108212,0.0181491,27930.3,0.00692856,1.33462
54.6008,0.0010128,0.0183417,50926.9,0.00380654,1.33462
12.2547,0.00126611,0.0288662,129.682,0.0108761,2.20769
