MSE,Frobenius Error,Elementnorm Error,Max Error (abs),Max Error (rel),% Derivatives
1.56154e+06,0.0019269,0.00865601,2.39949e+08,0.040989,20.5
77.3893,0.00581607,0.00879904,2775.17,0.124789,20.5
59.4107,0.00360686,0.0100775,5769.64,0.0560391,20.5
173.688,0.00639924,0.0100419,20070.9,0.179978,20.5
25782.9,0.00247399,0.00918881,5.15299e+06,0.045219,20.5
85.35,0.00597791,0.00928925,3853.74,0.226898,20.5
24.1246,0.00316472,0.00850056,1813.67,0.0668667,20.5
138.25,0.00437796,0.00986446,11363.7,0.0949483,20.5
4.82628,0.001154,0.0102301,73.189,0.01618,20.5
91.8827,0.00206955,0.00858425,13172.5,0.0219525,20.5
32.0203,0.00238252,0.00974602,3373.03,0.045595,20.5
17.4241,0.00197574,0.0113412,1073.04,0.0179186,20.5
23.9376,0.002517,0.0119745,586.005,0.0658373,20.5
41.6787,0.00288565,0.00936395,3529.99,0.0843359,20.5
38.9586,0.00263165,0.00905155,4078.65,0.0512457,20.5
167.291,0.00428586,0.00914487,20748.5,0.132805,20.5
89763.1,0.00223299,0.00630121,1.79492e+07,0.0373551,20.5
32.5686,0.00412525,0.0120074,1022.86,0.119348,20.5
122.045,0.00307632,0.00981942,19259.2,0.0802395,20.5
17.1921,0.00195017,0.00887873,2126.25,0.0276024,20.5
9.08835,0.0012248,0.00858287,431.052,0.023183,20.5
38.6386,0.00722674,0.00806192,2097.26,0.285577,20.5
79.4316,0.0038867,0.0121554,4367.8,0.0495296,20.5
37.8123,0.00893063,0.00849714,1383.21,0.383663,20.5
11.4387,0.00122241,0.00465563,1478.95,0.0772556,20.5
483.784,0.00203216,0.00559395,63464.4,0.0374447,20.5
691881,0.00197593,0.0102895,1.38362e+08,0.022097,20.5
90.7741,0.00211542,0.0118349,4774.14,0.0231476,20.5
747597,0.0012187,0.0103889,1.49518e+08,0.0218757,20.5
71.3423,0.00267274,0.00819483,4275.82,0.028718,20.5
93.5737,0.00346278,0.01002,2723.4,0.130786,20.5
74.2967,0.00278332,0.00952117,2517.26,0.035447,20.5
