MSE,Frobenius Error,Elementnorm Error,Max Error (abs),Max Error (rel),Cost Reduction,% Derivatives
1.56163e+06,0.00698074,0.025814,2.39965e+08,0.0396564,0.550304,1
149.065,0.00554522,0.0505171,8989.07,0.0184536,0.497822,1
388.82,0.00578559,0.0560916,64194.4,0.0190594,0.314454,1
111.037,0.00588512,0.0439063,10976.2,0.042029,0.19943,1
25809.1,0.00543614,0.0337931,5.15312e+06,0.0193942,0.0933728,1
171.053,0.00724711,0.0423592,23845.2,0.0631747,0,1
37.8898,0.00735302,0.0485246,1247.66,0.0256296,0.0727231,1
164.438,0.00772863,0.0265902,12042.6,0.0328508,0,1
11.6069,0.00788034,0.0244948,66.6757,0.029051,0,1
1.30592e+06,0.0197025,0.0366068,2.61151e+08,0.0960382,0,1
140.591,0.0078677,0.0339735,16864.3,0.0422397,0.267485,1
46.4884,0.00658937,0.04552,2457.98,0.0266834,0.0108063,1
52.5185,0.010464,0.0436611,493.05,0.0704934,0.377126,1
91.2385,0.0204197,0.0410697,3252.89,0.11834,0.293488,1
46.7354,0.0055052,0.0432015,3230.98,0.0173661,0,1
43.9307,0.00490845,0.0484452,2649.97,0.0128014,0,1
89866.9,0.00632175,0.0657057,1.79613e+07,0.0207798,0.395687,1
207.414,0.00440515,0.0308264,30226.3,0.0185369,0.736187,1
82.8329,0.00446001,0.0294541,2976.76,0.013684,0.156901,1
87.4475,0.00446233,0.0454041,5651.56,0.0213728,0.0513567,1
27.5087,0.00672224,0.0366095,433.134,0.0389798,0.0168892,1
129.288,0.0049939,0.0339707,5729.28,0.0176653,0.602655,1
626.922,0.00943223,0.0279233,114254,0.068222,0.0107178,1
59.7575,0.0037632,0.0292623,1763.72,0.00645306,0.298267,1
16.0499,0.00784132,0.0343532,1383.35,0.0552341,0.439994,1
490070,0.00449274,0.0550621,9.80007e+07,0.0177459,0.372134,1
61.5498,0.00558694,0.0473843,2419.06,0.0387521,0.101726,1
30.2721,0.00457877,0.0370147,612.728,0.0253024,0,1
747635,0.00961229,0.0444402,1.49523e+08,0.0388999,0.553758,1
57.9518,0.0048085,0.0447395,4839.34,0.0222033,0.0138475,1
61.4638,0.00726281,0.0500907,1693.57,0.0425868,0,1
191.487,0.0308392,0.0580429,908.873,0.201055,0,1
1.30862e+06,0.00871748,0.0555996,1.16086e+08,0.0284778,0.0385881,1
102837,0.0112987,0.0521305,2.05619e+07,0.0477106,0.0145303,1
96264.8,0.00593004,0.0239913,1.92442e+07,0.0424211,0,1
28.2059,0.00449534,0.0496446,374.733,0.0138004,0.126829,1
288631,0.00975282,0.0525479,5.77114e+07,0.0654153,0.70033,1
101.354,0.0058234,0.0298103,12641.9,0.023591,0.384688,1
98.0187,0.00449814,0.0420769,11409.1,0.0110211,0.214147,1
132.554,0.0071503,0.0420641,10895.1,0.0335198,0,1
384959,0.00475282,0.0341816,3.22784e+07,0.0242908,0.310827,1
63.5117,0.00695876,0.0443897,1906.24,0.0461663,0.217618,1
