MSE,Frobenius Error,Elementnorm Error,Max Error (abs),Max Error (rel),% Derivatives
187138,0.000744488,0.00366449,3.74225e+07,0.00473308,45
32.7722,0.00423735,0.00951552,4300.65,0.0265338,39.5
14.1522,0.00462499,0.0107099,248.382,0.0385453,43
205.38,0.0143901,0.0152821,20001.6,0.391364,34
8.13096,0.00209079,0.00489616,332.382,0.0445697,44.5
44.5535,0.00633512,0.0132899,5983.45,0.0350819,35.5
23.6617,0.00419632,0.0184191,1795.02,0.0525452,28
46.7298,0.0054832,0.016707,4894.73,0.0522294,27.5
2.7271,0.00103925,0.00503164,60.5567,0.0136677,38.5
97.756,0.00635669,0.0172684,13297.3,0.0531739,37
34.908,0.00456949,0.0177082,2862.54,0.0943606,37.5
22.6818,0.00667532,0.0237919,767.663,0.282967,24
12.0712,0.00113598,0.00492455,283.53,0.0193254,47.5
49.9491,0.00420127,0.0115138,2350.26,0.0283192,50
42.0891,0.00518634,0.0196489,2284.21,0.0342702,25
96.2668,0.015384,0.0195746,1946.89,0.217172,21.5
49867.1,0.00504738,0.0051955,7.97785e+06,0.593395,47.5
64.977,0.00630659,0.0172497,1019.15,0.119054,33
192.391,0.00918501,0.0263159,19322,0.0737628,21
24.675,0.00410383,0.0234051,2122.68,0.0342749,30
38.2919,0.00153696,0.0107271,425.078,0.0201006,38
33.5504,0.00956571,0.0128968,2099.89,0.117492,33
68.7549,0.00505869,0.0185878,1395.15,0.0530442,37.5
29.5759,0.00484902,0.0138155,2109.77,0.055571,42.5
6.25174,0.0013989,0.00679554,36.6298,0.0132234,15.5
228.09,0.00544638,0.00334611,16124,0.135186,55.5
141.557,0.00555623,0.0143927,3163.49,0.0419468,49
90.9092,0.00387154,0.0154838,3658.83,0.0412949,48.5
3.62014e+06,0.123424,0.0045664,1.31375e+08,2.88234,49
60.4182,0.00306924,0.0162702,4272.1,0.0142048,37.5
33.3562,0.0048783,0.0205392,2085.26,0.0543288,33.5
55.8241,0.00978236,0.0316939,1855.11,0.0780105,14.5
1.99812e+06,0.162133,0.006602,8.8913e+07,8.24408,27.5
38.8626,0.00601254,0.0283112,3051.74,0.028585,26.5
216.84,0.0146231,0.0114994,2687.7,0.111226,38
21.7256,0.00517135,0.0145484,2471.52,0.0451779,43
288545,0.00178651,0.00524369,5.77055e+07,0.0284871,43
31.1355,0.00838831,0.0191157,1111.74,0.0736659,34.5
179.961,0.00493909,0.0160133,24895.1,0.0313885,33.5
9.85739,0.00449738,0.0184368,426.578,0.0320303,41
122291,0.0231107,0.00505926,1.11238e+07,2.03932,51
258.233,0.0057375,0.0168979,38515.4,0.0700318,27
44.2258,0.00523856,0.0229664,2181.52,0.0445045,26
32.4046,0.0071714,0.0237058,821.235,0.0670123,26.5
563403,0.0639341,0.00889541,2.04458e+07,1.58861,32.5
41.1929,0.00364719,0.0119888,2056.53,0.0427041,42.5
141.788,0.00893848,0.0194535,1932.68,0.0993719,29
65.6101,0.00641555,0.0189244,3697.19,0.090142,26
5689.35,0.000327395,0.00305018,1.1378e+06,0.00577353,51
45.4418,0.00722581,0.0182877,1999.53,0.0380092,31
53.254,0.00541215,0.0272232,1879.18,0.0424969,30
49.8665,0.0061841,0.0240269,1019.86,0.0473047,24
10.3252,0.000962034,0.0146803,331.802,0.00860749,49
86.1684,0.00352906,0.0219105,8069.35,0.0208889,29.5
94.3281,0.00443775,0.0253569,912.889,0.0264565,28
61.5716,0.00465868,0.0140557,2003.99,0.0630294,37
625808,0.0327491,0.00300181,6.77862e+07,3.10994,59
32.7553,0.00675885,0.019966,2355.74,0.173608,29
97.5112,0.00881652,0.0187759,9770.6,0.0584077,36.5
31.8987,0.00492379,0.011271,2662.04,0.0497818,32
2.98541,0.00113727,0.0103619,73.6884,0.00806317,14.5
190054,0.00338723,0.00355203,3.80083e+07,0.0354576,62
37.8914,0.00552975,0.0111631,5609.79,0.0437175,41
42.333,0.0032278,0.00462116,3090.14,0.0314373,48.5
478916,0.00183624,0.00700746,9.57799e+07,0.0685794,42
1818.55,0.028214,0.028083,22013.8,0.274559,24
9475.19,0.0606847,0.0209998,114769,0.742441,39
98.2698,0.00296172,0.0153921,16737.3,0.0523239,48.5
2.06528e+06,0.0048259,0.00608543,3.4153e+08,0.788625,42
57.9034,0.00687226,0.0167952,5204.88,0.0430733,31
80.1332,0.0060006,0.0102315,13924.6,0.0700083,42
59.855,0.00761125,0.0141614,7792.55,0.148489,32.5
8.03705,0.000729998,0.00559327,495.9,0.012231,41
135.483,0.00653095,0.0207196,4669.96,0.0536324,27
29.0167,0.00387804,0.0106406,1535.98,0.0426344,43.5
85.8982,0.00491223,0.00644767,4706.01,0.11205,47.5
34938.6,0.00693393,0.00629455,6.98582e+06,1.22757,58.5
29.9704,0.00451971,0.00530052,1597.36,0.0485127,45
19.783,0.00477459,0.0144595,1839.89,0.0365485,42.5
39.6935,0.0057054,0.0110406,3488.2,0.0430024,44
2.44917,0.000165896,0.00126899,415.184,0.00516474,73.5
17.0318,0.00350073,0.0091401,294.678,0.0225391,45
59.623,0.00382383,0.00867916,4560.4,0.0483611,47
166.397,0.00440785,0.0237762,24168.7,0.0356472,38
3.65117,0.000701605,0.00404825,419.2,0.00483377,21.5
117950,0.00603639,0.0121404,2.35783e+07,0.0375097,11
