MSE,Frobenius Error,Elementnorm Error,Max Error (abs),Max Error (rel),Cost Reduction,% Derivatives
187147,0.0025847,0.00717258,3.7425e+07,0.0336666,0.574171,37.5
8.22497e+07,0.00144189,0.00677584,1.64499e+10,0.0208759,0.444142,45
42.2619,0.0025931,0.00904943,5092.75,0.0508409,0.0121696,37
13.7667,0.00257485,0.00678325,554.717,0.0754209,0.565727,40
5.16444,0.00078572,0.00336366,143.874,0.0206943,0.428468,52.5
31.7393,0.000948302,0.00463254,2782.98,0.0141461,0.162623,50.5
22.9245,0.00261395,0.00657713,1416.8,0.0683254,0.343315,45
12.0189,0.00138404,0.00446747,638.335,0.049265,0.176675,49.5
2.27899,0.000565683,0.00377029,66.0436,0.0053229,0.254487,30.5
12.4432,0.00146725,0.00415561,623.993,0.0206482,0.201345,44.5
71.1417,0.00240401,0.00798126,7149.78,0.0527903,0.0196911,46.5
71.1417,0.00240401,0.00798126,7149.78,0.0527903,0.0196911,46.5
13.1459,0.00146244,0.00520745,303.997,0.0188556,0.638321,36
18.3352,0.00220775,0.00819815,1243.07,0.0211606,0.60738,35.5
38.2578,0.00255166,0.00664127,2173.08,0.0168349,0.499681,34.5
65.5634,0.00255838,0.00682649,9663.61,0.0289452,0.604452,38.5
89761.7,0.00335666,0.0215417,1.7944e+07,0.0491325,0.337131,16
7.8593e+06,0.00584454,0.005901,1.57088e+09,0.227907,0.287894,48
16.7248,0.00270688,0.00595835,704.339,0.0809495,0.136161,43.5
159.168,0.00185705,0.0132095,20681.3,0.0139974,0.535087,35.5
23.956,0.00179791,0.0123488,411.564,0.0204064,0.410023,29
66.2878,0.00306938,0.00808684,4560.77,0.211285,0.481161,46.5
24.113,0.00119866,0.00605823,1619.42,0.00945315,0.440007,47.5
21.2393,0.00199788,0.00760932,928.773,0.0495533,0.501959,41
236.061,0.00549106,0.0132088,1509.76,0.0525408,0.286676,12.5
103.625,0.00185888,0.0051105,9318.53,0.0269041,0.10322,43
39.833,0.00276822,0.00613759,1711.81,0.0448912,0.559502,38.5
8.35798,0.00173774,0.00594748,335.066,0.0387808,0.180588,40.5
4.11676e+06,0.145696,0.00943763,1.33326e+08,2.90371,0.294217,29.5
58.0287,0.00270668,0.0059928,7874.26,0.0510905,0.392329,38.5
19.2801,0.00201411,0.00606167,845.74,0.0767797,0.0775246,44.5
125.056,0.00268259,0.00787331,23391.7,0.0974128,0.0761661,34
1.3088e+06,0.00284462,0.00871511,1.1612e+08,0.0174776,0.0855518,24
38.4738,0.00255092,0.00531236,1662.95,0.023364,0.039371,46
36.7283,0.00232725,0.00562382,2425.46,0.026977,0.26762,43.5
91.4289,0.00400007,0.00626421,2287.57,0.0512855,0.0179839,36
27.9798,0.00157461,0.00597106,673.667,0.0207634,0.813851,41
12.5131,0.00169826,0.00487602,1285.36,0.0221138,0.128758,47.5
5.57284,0.00193141,0.00331593,186.521,0.143763,0.183267,44.5
125.273,0.00175278,0.00770001,21075.1,0.00968077,0.0557744,29.5
70018.3,0.0146054,0.00428349,9.00126e+06,1.35716,0.470637,44
44.3176,0.00291078,0.00663193,4330.05,0.134162,0,37.5
49.4794,0.0052975,0.00646922,2635.88,0.188521,0.0868748,41.5
24.9664,0.00214216,0.00804804,2281.58,0.0377811,0.102261,39
1.95831e+06,0.209557,0.0146131,2.23766e+07,1.66193,0,14
2.12639e+06,0.0736989,0.00642822,3.40209e+08,9.53137,0,44
2.98478,0.00161818,0.00533704,121.555,0.0328846,0.656874,44
13.7511,0.00204046,0.00646162,572.684,0.0476258,0.453694,37.5
5691,0.000541832,0.00358459,1.13803e+06,0.0065332,0.282819,43
12.4777,0.00105323,0.00305306,1213.56,0.0121999,0.12338,48.5
31.8244,0.00203819,0.00781914,2661.12,0.0531456,0.0200223,37
44.8909,0.00238768,0.00647061,4756.77,0.0431791,0.0685638,34
16.9793,0.00128516,0.0148129,901.984,0.0117458,0.206521,38
79.9254,0.00347709,0.0165484,8864.91,0.104913,0.280866,26
83.3711,0.00748261,0.010336,1556.77,0.145331,0,34
122.634,0.00278247,0.0122021,19109.7,0.0391722,0.0213716,27
861823,0.0467166,0.0055001,6.77634e+07,3.74884,0.872738,51.5
78.1184,0.00316077,0.00431118,7176.27,0.184199,0.258394,51
40.3495,0.00381248,0.00654433,4000.54,0.119404,0.121167,45.5
51.0756,0.00701154,0.00745617,1126.12,0.121545,0.0356017,37.5
1.05885,0.000621318,0.00519034,72.6087,0.00841755,0.112456,13.5
123216,0.045447,0.00336283,8.62135e+06,2.13972,0.142112,38
49.1709,0.00198793,0.00789806,5517.26,0.0311129,0.0630689,37.5
131.145,0.00446609,0.0064808,8269.08,0.258343,0.052276,41
33.619,0.00320387,0.0084484,2312.56,0.0414131,0.710961,19.5
38.1487,0.00253952,0.0071992,1575.39,0.0305037,0,34
11.8051,0.00227414,0.00616726,645.366,0.0211705,0.172547,39
45.6522,0.00411739,0.00681605,4207.34,0.0716089,0.0412413,34.5
2.29714e+06,0.00168731,0.00704132,3.41301e+08,0.0212399,0.657653,45
22.6939,0.00186802,0.00563352,2140.25,0.0234879,0.218689,48
14.8194,0.00239446,0.00484316,2347.97,0.178582,0.396813,42.5
1.22479e+07,0.32772,0.00545776,1.3064e+09,27.159,0.141932,45
10.834,0.00247793,0.00992061,474.828,0.05835,0.777138,21
105.405,0.00515795,0.0060063,4012.42,0.497597,0.125607,33
28.264,0.00189198,0.00707883,1629.74,0.0369097,0.0960621,39.5
29.3267,0.00212552,0.00624632,2387.76,0.0461395,0,37.5
372410,0.0133691,0.00719602,5.89565e+07,1.63674,0.428613,53
67.8047,0.00138366,0.00527976,5137.22,0.0123126,0.221596,50
57.5347,0.00536974,0.00699523,2046.44,0.483661,0.342321,37
108.805,0.0107814,0.00715773,5620.39,0.649547,0.155261,42.5
2.76728,0.00042252,0.00289789,421.564,0.00669036,0.345491,47
12.27,0.00211239,0.00699308,614.659,0.0478026,0.36328,41
59.202,0.00255562,0.010629,3262.18,0.0243027,0.114043,36.5
98.0981,0.00308387,0.0102079,3854.28,0.0690094,0,26.5
4.91662,0.00224338,0.0131227,452.325,0.0310286,0.477074,11.5
97.6577,0.000444403,0.00467322,18845.6,0.00811353,0.375382,14.5
44.7499,0.00260317,0.0129958,5092.21,0.0244891,0.107211,24
46.1631,0.00267501,0.00958078,1985.24,0.0236325,0.0634021,35.5
1.18408e+06,0.000642676,0.00403314,2.36808e+08,0.0153493,0.572632,47
40.1605,0.00661694,0.00293288,806.464,0.108652,0.448169,52.5
9.12167,0.00447062,0.00658862,230.773,0.0396469,0,36.5
