Cost reduction,Optimisation time (ms),Number iterations,Average num dofs,Average percent derivs,Average time derivs (ms),Average time BP (ms),Average time FP (ms)
0.710551,602.608,5,10,30.53,351,49,168
0.0686856,635.005,5,10,29.6925,372,49,172
0.23083,646.077,5,10,25.905,353,52,196
0.184529,469.448,4,10,25.8667,257,38,134
0.123653,457.51,4,10,26.88,249,37,134
0.195317,451.494,4,10,26.35,252,36,126
0.771437,453.792,4,10,35.9733,272,36,113
0.27403,530.342,4,10,26.2025,331,36,126
0.0743885,440.999,4,10,26.2933,242,36,125
0.238595,578.62,5,10,26.3275,333,45,159
0.0662688,452.239,4,10,27.2367,250,36,129
0.026343,357.608,4,10,24.7,158,36,128
0.0217451,462.681,4,10,29.1333,261,36,128
0.199968,418.424,4,10,30.7267,241,36,108
0.252381,581.44,5,10,27.0925,340,46,157
0.199987,448.839,4,10,26.3567,250,37,125
0.119397,435.046,4,10,25.0533,236,36,125
0.16075,583.452,5,10,27.195,339,46,160
0.644281,541.314,4,10,34.4975,359,36,112
0.121958,370.697,4,10,28.09,173,36,127
0.104738,432.443,4,10,24.0667,233,36,126
0.0688387,441.716,4,10,26.43,242,36,127
0.111953,479.959,4,10,32.56,282,36,124
0.0354366,371.682,4,10,30.35,181,36,119
0.713584,344.501,4,10,31.755,165,36,110
0.415797,456.447,4,10,36.9533,274,36,113
0.327264,741.794,6,10,30.566,456,54,191
0.241103,587.299,5,10,27.76,342,45,160
0.0775625,425.267,4,10,23.5333,225,36,127
0.101161,547.385,5,10,23.8575,306,46,158
0.682574,331.891,4,10,31.525,163,38,101
0.0923821,433.7,4,10,24.06,233,38,127
0.935347,819.491,6,10,34.9033,547,58,175
0.0570459,448.638,4,10,27.3233,249,36,126
0.550453,351.523,4,10,31.51,160,42,117
0.319879,488.14,5,10,33,265,45,144
0.175228,448.858,4,10,26.3267,250,37,125
0.0541131,371.768,4,10,28.44,173,36,127
0.236884,583.34,5,10,27.0075,336,46,163
0.30282,429.762,4,10,31.4667,249,36,111
0.786647,452.517,4,10,36.2633,274,36,107
0.396992,433.274,4,10,32.52,254,36,110
0.778218,338.899,4,10,31.66,159,38,111
0.175537,483.097,4,10,25.4533,259,39,146
0.0594573,451.431,4,10,26,244,37,131
0.316167,593.303,4,10,32.31,387,40,128
0.281583,482.357,4,10,30.7933,275,36,131
0.270302,432.026,4,10,30.23,245,37,116
0.0343835,442.448,4,10,25.9333,244,37,124
0.485745,442.116,4,10,32.63,254,37,118
0.824796,462.603,4,10,37.04,282,37,110
0.668582,369.633,4,10,31.475,178,39,119
0.0198524,368.411,4,10,28.39,174,38,122
0.27081,687.692,6,10,25.026,396,56,192
0.298067,466.026,4,10,28.1033,264,37,127
0.628297,674.309,6,10,30.934,404,55,174
0.669212,492.368,5,10,31.28,259,47,151
0.310363,484.993,4,10,31.1433,282,38,127
0.287446,485.858,4,10,30.9733,282,38,130
0.658491,429.028,4,10,31.2267,248,37,110
0.0716666,468.243,4,10,27.76,255,45,131
0.310605,619.586,5,10,31.12,371,45,164
0.0810408,442.325,4,10,25.81,240,37,127
0.0489631,368.522,4,10,26.56,168,38,127
0.117773,601.541,5,10,28.6725,348,48,165
0.0114497,364.305,4,10,25.58,160,38,129
0.790864,587.67,5,10,34.79,353,46,151
0.0507534,369.766,4,10,24.515,155,38,141
0.267892,615.251,5,10,31.115,373,45,156
0.187233,730.812,6,10,28.952,440,56,192
0.0540589,487.432,4,10,31.5633,284,37,128
0.0839506,361.125,4,10,24.98,158,37,129
0.159469,579.014,5,10,28.5625,340,45,155
0.0622825,437.561,4,10,24.6167,236,37,126
0.0917645,469.755,4,10,30.6833,268,37,127
0.110798,564.924,4,10,30.9575,364,37,124
0.297882,431.149,4,10,31.6467,251,37,110
0.0691062,336.948,4,10,30.015,158,36,111
0.0772601,442.748,4,10,25.7267,243,37,127
0.778958,567.155,5,10,32.78,337,49,145
0.54466,517.033,4,10,31.6075,330,36,116
0.0835186,377.26,4,10,26.95,171,37,134
0.0416059,382.271,4,10,28.825,177,43,126
0.173117,437.073,4,10,24.88,239,37,125
0.168439,626.49,7,10,32.5325,335,64,187
0.0188205,368.744,4,10,27.73,169,37,126
0.136447,441.942,4,10,25.8833,241,37,125
0.153131,426.081,4,10,29.6133,242,36,114
0.238784,742.105,6,10,29.974,453,55,192
0.204869,596.798,5,10,28.9775,352,47,159
0.122218,502.102,5,10,27.9333,261,47,157
0.077224,437.99,4,10,24.7033,235,39,126
0.0813361,575.529,5,10,26.575,334,46,155
0.0846998,358.443,4,10,25.345,159,37,127
0.246277,350.452,4,10,30.815,167,37,114
0.0625428,451.981,4,10,27.4433,252,36,127
0.105671,435.328,4,10,24.2233,230,37,127
0.256094,468.207,4,10,29.5133,266,37,128
0.118171,456.861,4,10,27.45,256,37,127
0.138232,461.056,4,10,29.09,264,36,124
