Cost reduction,Optimisation time (ms),Number iterations,Average num dofs,Average percent derivs,Average time derivs (ms),Average time BP (ms),Average time FP (ms)
0.943576,386.521,7,7,1.41224,102,63,177
0.956389,435.922,8,7,1.42619,117,74,195
0.952919,550.774,10,7,2.28381,152,93,254
0.953491,500.247,9,7,1.25608,135,83,234
0.943846,546.279,10,7,2.83238,156,92,245
0.939642,443.924,8,7,1.76786,118,74,202
0.930384,393.382,7,7,2.25986,108,64,178
0.937144,457.035,8,7,1.90714,122,75,215
0.949887,391.694,7,7,1.21769,99,65,182
0.927825,390.784,7,7,1.68571,104,65,178
0.926081,332.826,6,7,1.21111,87,58,148
0.951185,393.784,7,7,1.3551,104,64,182
0.956868,400.139,7,7,1.17279,101,66,189
0.964087,488.857,9,7,1.22222,128,85,229
0.955765,377.148,7,7,1.3102,99,65,167
0.932736,333.184,6,7,1.3873,88,55,148
0.95192,407.162,7,7,1.44898,102,66,197
0.936681,442.861,8,7,2.01905,120,77,202
0.924408,512.761,9,7,3.57249,150,87,226
0.921573,399.349,7,7,1.79864,103,65,187
0.920767,397.637,7,7,2.03401,106,65,185
0.95002,390.596,7,7,1.18095,98,65,183
0.934681,567.756,10,7,3.48571,159,94,265
0.949582,382.739,7,7,1.21769,99,65,174
0.945151,281.357,5,7,1.1581,72,46,125
0.945657,392.013,7,7,1.31156,101,66,178
0.954644,483.302,9,7,1.2455,128,87,220
0.947908,387.162,7,7,1.24898,99,64,180
0.944814,282.862,5,7,1.15238,72,47,126
0.915648,582.373,10,7,3.85429,171,94,267
0.945312,353.143,6,7,1.36032,87,56,168
0.94371,390.996,7,7,1.41224,100,65,181
0.934108,404.429,7,7,1.98095,115,66,179
0.950619,613.671,10,7,2.16095,157,93,311
0.94653,442.209,8,7,1.625,119,73,203
0.932803,339.907,6,7,1.26508,85,56,158
0.962044,493.008,9,7,1.24021,127,84,230
0.956048,457.326,8,7,1.91905,118,74,217
0.923203,338.728,6,7,1.79841,90,56,151
0.931359,585.984,10,7,3.97048,172,94,270
0.951354,499.144,9,7,2.4836,138,84,226
0.94497,284.69,5,7,1.14857,70,47,128
0.948603,390.36,7,7,1.22993,103,64,179
0.960075,492.251,9,7,1.78095,132,85,224
0.956953,501.305,9,7,1.23069,130,84,239
0.963592,547.574,10,7,1.23429,142,95,259
0.930288,524.693,9,7,2.88148,144,85,246
0.944203,387.035,7,7,1.26531,99,67,177
0.955463,443.035,8,7,1.50833,116,75,205
0.92495,337.324,6,7,1.57143,88,56,154
0.944043,387.724,7,7,1.2517,100,65,178
0.929421,389.014,7,7,1.43537,102,66,177
0.930957,335.295,6,7,1.48095,88,56,150
0.938285,441.45,8,7,1.43095,117,74,204
0.937036,514.466,9,7,3.36085,146,83,233
0.925467,341.39,6,7,1.36825,87,57,155
0.950496,443.589,8,7,1.48929,116,75,207
0.93812,388.091,7,7,1.2449,101,66,176
0.953736,337.728,6,7,1.1873,85,56,154
0.918311,468.303,8,7,3.72738,139,79,205
0.946772,455.887,8,7,2.15952,120,77,214
0.927523,418.397,7,7,2.54422,119,65,192
0.941929,388.244,7,7,1.21769,100,65,180
0.959359,438.812,8,7,1.22976,116,73,204
0.945705,567.645,10,7,2.98381,157,92,265
0.947242,337.188,6,7,1.2381,86,54,153
0.948066,497.735,9,7,2.13333,138,86,226
0.940028,336.647,6,7,1.23651,86,56,155
0.927695,280.778,5,7,1.24381,71,45,124
0.947059,386,7,7,1.21361,101,66,177
0.942141,449.631,8,7,1.68571,118,74,210
0.953443,441.717,8,7,1.21905,115,76,203
0.957713,553.302,10,7,2.1419,149,96,254
0.963581,542.204,9,7,1.46984,133,85,272
0.956928,494.068,9,7,1.95238,133,83,229
0.961122,557.676,8,7,1.20357,127,78,304
0.947548,484.611,8,7,1.99167,122,76,239
0.943006,333.822,6,7,1.18571,85,57,152
0.945046,391.645,7,7,1.45306,102,63,180
0.920915,554.797,10,7,2.93524,158,94,251
0.942733,331.294,6,7,1.19841,85,57,147
0.925291,458.792,8,7,3.10357,130,75,205
0.965532,561.667,10,7,1.41333,144,93,272
0.931779,337.855,6,7,1.32698,84,58,153
0.932546,392.9,7,7,1.68435,103,66,182
0.939422,390.147,7,7,1.26803,102,67,179
0.932639,333.847,6,7,1.60635,86,55,150
0.953892,447.9,8,7,1.20238,125,74,203
0.952231,455.439,8,7,1.45119,116,75,218
0.923508,337.244,6,7,1.22222,86,57,152
0.949265,393.921,7,7,1.38503,111,64,176
0.945518,443.586,8,7,1.66071,118,76,204
0.94148,386.151,7,7,1.23673,100,67,174
0.946926,444.177,8,7,1.64881,117,76,203
0.935083,559.217,10,7,3.3581,157,94,257
0.967673,555.524,10,7,1.34571,157,95,254
0.941831,503.453,9,7,2.09206,138,83,234
0.939993,342.954,6,7,1.1619,93,56,153
0.939433,340.038,6,7,1.2254,86,58,154
0.924558,452.626,8,7,2.22262,125,74,209
