Final cost,Final dist,Average dofs,Average optimisation time (ms),Average percent derivs,Average time derivs (ms),Average time BP (ms),Average time FP (ms),Average surprise
51.7925,0,0,4.05111,35.219,2.0638,0.422392,1.00544,0
57.1883,0,0,3.98016,34.339,2.02222,0.418037,0.992143,0
1629.97,0,0,3.91292,38.8806,2.04587,0.413463,0.906904,0
1685.67,0,0,3.92177,39.1395,2.03856,0.413332,0.926567,0
29.4222,0,0,4.0307,34.2459,2.04262,0.421704,1.00791,0
11.4323,0,0,4.21432,34.3299,2.14352,0.422827,1.07676,0
1503.88,0,0,3.87997,39.1875,2.01602,0.413925,0.909968,0
1841.46,0,0,3.94076,39.1068,2.03892,0.410595,0.950434,0
16.3311,0,0,4.07891,35.8983,2.08117,0.419775,1.01732,0
1674.17,0,0,3.96751,39.0825,2.0409,0.416272,0.967453,0
59.3,0,0,4.0255,35.3986,2.03533,0.418157,1.02464,0
985.897,0,0,4.51404,40.5444,2.36497,0.444181,1.11868,0
1725.65,0,0,3.97892,39.9017,2.07721,0.416552,0.93766,0
1819.45,0,0,3.99596,38.8015,2.06149,0.414632,0.97332,0
1396.09,0,0,3.83259,38.2421,1.9847,0.413939,0.900015,0
1730.67,0,0,3.89749,38.5405,2.01272,0.415877,0.934416,0
1662.47,0,0,3.89131,39.2734,2.02443,0.413999,0.913492,0
23.8301,0,0,4.06569,35.1061,2.07981,0.425125,0.999723,0
30.4748,0,0,4.0501,33.6229,2.05026,0.421491,1.01958,0
1645.61,0,0,3.84263,39.5447,2.00171,0.413584,0.893964,0
61.0332,0,0,4.01706,33.3138,2.03783,0.419799,0.997361,0
1762.24,0,0,3.92271,39.0877,2.02316,0.414694,0.941752,0
1624.61,0,0,3.88436,38.7682,2.00669,0.415549,0.919684,0
55.8197,0,0,4.03237,35.1819,2.06461,0.421872,0.9915,0
48.233,0,0,4.07829,35.2871,2.07699,0.425692,1.01588,0
1619.99,0,0,3.98613,38.2973,2.06172,0.422676,0.95133,0
26.4847,0,0,4.06409,34.3316,2.07493,0.425888,1.00321,0
23.6338,0,0,4.03737,34.1124,2.03926,0.425436,1.01546,0
8.62627,0,0,4.17517,34.7804,2.12969,0.424171,1.05012,0
1859.64,0,0,4.13486,39.8371,2.14665,0.429462,1.00417,0
21.5441,0,0,3.95207,33.7921,2.01487,0.422181,0.965155,0
1649.26,0,0,3.97656,38.4865,2.06266,0.414173,0.951883,0
28.533,0,0,4.03501,33.3767,2.04994,0.421256,1.00149,0
1657.13,0,0,3.87543,38.7508,2.02323,0.414888,0.901472,0
46.2396,0,0,3.93968,32.9693,1.99539,0.424951,0.968254,0
1851.85,0,0,4.02019,39.2113,2.08449,0.413254,0.974303,0
31.2004,0,0,4.1273,34.626,2.10029,0.429995,1.03307,0
1657.85,0,0,3.91218,39.4497,2.02891,0.411538,0.930105,0
130.944,0,0,3.96951,36.2135,2.03961,0.42486,0.953979,0
111.077,0,0,3.79355,34.9107,1.93928,0.417784,0.901161,0
106.785,0,0,4.01841,34.7194,2.06367,0.421232,0.976755,0
104.229,0,0,3.95316,34.9309,2.0164,0.417398,0.969622,0
1522.2,0,0,3.91956,39.6509,2.03773,0.41249,0.929414,0
1743.87,0,0,3.89848,39.4427,2.02867,0.414676,0.914043,0
56.2151,0,0,3.98941,34.5891,2.04311,0.41862,0.971602,0
70.1549,0,0,3.98932,34.3731,2.0175,0.425243,0.992145,0
1706.11,0,0,3.88098,39.3758,2.02302,0.413396,0.908374,0
