Optimisation time (ms),num dofs,% derivs,derivs time (ms),BP time (ms),FP time (ms),surprise,expected,new cost
5.151,0,23.0159,2.975,0.547,0.882,0,0,0
4.427,0,32.8571,2.338,0.551,0.839,0,0,0
4.734,0,34.9206,2.666,0.511,0.861,0,0,0
4.863,0,36.0317,2.851,0.541,0.766,0,0,0
4.334,0,38.5714,2.324,0.543,0.78,0,0,0
8.703,0,36.5079,2.634,0.936,4.444,0,0,0
4.33,0,37.619,2.212,0.559,0.828,0,0,0
4.524,0,36.3492,2.487,0.513,0.825,0,0,0
4.233,0,35.5556,2.232,0.542,0.76,0,0,0
4.443,0,36.6667,2.414,0.542,0.765,0,0,0
4.564,0,36.3492,2.509,0.565,0.805,0,0,0
9.115,0,34.9206,2.722,1.449,4.2,0,0,0
4.59,0,33.9683,2.637,0.555,0.696,0,0,0
4.477,0,33.9683,2.424,0.546,0.768,0,0,0
6.41,0,33.8095,4.301,0.552,0.836,0,0,0
4.578,0,32.6984,2.558,0.547,0.779,0,0,0
10.191,0,33.1746,3.944,1.781,3.674,0,0,0
4.341,0,31.1111,2.233,0.558,0.857,0,0,0
4.104,0,31.1111,2.171,0.531,0.77,0,0,0
4.397,0,30.6349,2.413,0.542,0.776,0,0,0
4.372,0,32.2222,2.319,0.548,0.743,0,0,0
4.286,0,30.3175,2.315,0.546,0.759,0,0,0
8.051,0,30.3175,2.687,1.657,2.965,0,0,0
4.419,0,31.4286,2.24,0.552,0.927,0,0,0
4.172,0,31.746,2.262,0.544,0.684,0,0,0
4.332,0,31.9048,2.401,0.544,0.702,0,0,0
4.186,0,31.746,2.281,0.552,0.698,0,0,0
4.299,0,31.9048,2.412,0.537,0.684,0,0,0
9.469,0,31.5873,2.747,1.65,4.395,0,0,0
4.361,0,31.1111,2.308,0.556,0.738,0,0,0
4.496,0,32.0635,2.201,0.548,1.072,0,0,0
4.078,0,30,2.185,0.529,0.711,0,0,0
4.32,0,30.3175,2.309,0.54,0.758,0,0,0
4.67,0,30.1587,2.524,0.539,0.879,0,0,0
9.938,0,30.1587,2.867,1.463,4.809,0,0,0
4.462,0,30.4762,2.32,0.564,0.836,0,0,0
