Commanded Joint 0 Position,Commanded Joint 1 Position,Commanded Joint 2 Position,Commanded Joint 3 Position,Commanded Joint 4 Position,Commanded Joint 5 Position,Commanded Joint 6 Position,Commanded Joint 0 Velocity,Commanded Joint 1 Velocity,Commanded Joint 2 Velocity,Commanded Joint 3 Velocity,Commanded Joint 4 Velocity,Commanded Joint 5 Velocity,Commanded Joint 6 Velocity,Commanded Joint 0 Torque,Commanded Joint 1 Torque,Commanded Joint 2 Torque,Commanded Joint 3 Torque,Commanded Joint 4 Torque,Commanded Joint 5 Torque,Commanded Joint 6 Torque,Actual Joint 0 Position,Actual Joint 1 Position,Actual Joint 2 Position,Actual Joint 3 Position,Actual Joint 4 Position,Actual Joint 5 Position,Actual Joint 6 Position,Actual Joint 0 Velocity,Actual Joint 1 Velocity,Actual Joint 2 Velocity,Actual Joint 3 Velocity,Actual Joint 4 Velocity,Actual Joint 5 Velocity,Actual Joint 6 Velocity,Actual Joint 0 Torque,Actual Joint 1 Torque,Actual Joint 2 Torque,Actual Joint 3 Torque,Actual Joint 4 Torque,Actual Joint 5 Torque,Actual Joint 6 Torque,EE ext force 0,EE ext force 1,EE ext force 2,EE ext force 3,EE ext force 4,EE ext force 5,joint ext torque 0,joint ext torque 1,joint ext torque 2,joint ext torque 3,joint ext torque 4,joint ext torque 5,joint ext torque 6,
0.00384574,-0.223331,-0.334885,-1.66678,-0.10079,-0.0931671,-0.382876,-0.00210472,0.0129656,-0.0135794,-0.152615,0.003289,0.193067,-0.00214403,0,0,0,0,0,0,0,0.0038484,-0.223322,-0.334782,-1.66522,-0.100751,1.47569,0.402545,-0.000437942,-0.00215869,-0.000823517,0.00130761,0.0080326,-0.00165544,0.000873762,0.0828892,-23.8622,2.1393,25.8322,0.306393,3.09258,-0.0429228,0.793805,-0.704981,0.376836,0.495495,0.827996,-0.130251,0.0270388,0.550561,-0.315295,-0.292522,-0.141663,-0.323537,-0.0193574,
0.00383228,-0.223208,-0.334952,-1.66742,-0.100779,-0.0923699,-0.382884,-0.00336706,0.0307475,-0.0167372,-0.161505,0.00275609,0.199306,-0.00203298,0,0,0,0,0,0,0,0.0038484,-0.223322,-0.334782,-1.66522,-0.100751,1.47569,0.402545,-0.000437942,-0.00215869,-0.000823517,0.00130761,0.0080326,-0.00165544,0.000873762,0.0828892,-23.8622,2.1393,25.8322,0.306393,3.09258,-0.0429228,0.62778,-0.716514,0.463168,0.476708,0.666926,-0.165024,-0.00259623,0.444466,-0.348344,-0.234252,-0.156941,-0.318951,-0.0195323,
0.0038457,-0.22335,-0.334786,-1.66521,-0.100681,-0.0951158,-0.382852,-4.54706e-05,-0.00145968,-7.11909e-05,0.000669061,0.0029265,-0.000336802,1.25594e-05,0,0,0,0,0,0,0,0.00385629,-0.223312,-0.334777,-1.66523,-0.100803,1.4757,0.402545,7.4594e-05,0.0011291,0.00135197,-0.000851683,-0.00265164,-0.000387123,0.00130618,-0.0202602,-24.0129,2.03615,25.983,0.703732,3.01293,-0.0429228,0.62778,-0.716514,0.463168,0.476708,0.666926,-0.165024,-0.00259623,0.444466,-0.348344,-0.234252,-0.156941,-0.318951,-0.0195323,
0.00384567,-0.223355,-0.334786,-1.66521,-0.100672,-0.0951167,-0.382852,-6.65219e-06,-0.00130136,-2.1741e-05,0.000609355,0.00231791,-0.000210982,8.91058e-06,0,0,0,0,0,0,0,0.00385629,-0.223312,-0.334777,-1.66523,-0.100803,1.4757,0.402545,7.4594e-05,0.0011291,0.00135197,-0.000851683,-0.00265164,-0.000387123,0.00130618,-0.0202602,-24.0129,2.03615,25.983,0.703732,3.01293,-0.0429228,0.775838,-0.83276,0.223474,0.603055,0.873365,-0.187513,-0.0246682,0.601269,-0.390159,-0.347729,-0.16074,-0.323209,-0.0205003,
0.00384574,-0.22336,-0.334786,-1.6652,-0.100664,-0.0951171,-0.382852,1.80815e-05,-0.00116351,8.26976e-06,0.000555454,0.00184508,-0.000119385,6.44206e-06,0,0,0,0,0,0,0,0.00385629,-0.223312,-0.334777,-1.66523,-0.100803,1.4757,0.402545,7.4594e-05,0.0011291,0.00135197,-0.000851683,-0.00265164,-0.000387123,0.00130618,-0.0202602,-24.0129,2.03615,25.983,0.703732,3.01293,-0.0429228,0.775838,-0.83276,0.223474,0.603055,0.873365,-0.187513,-0.0246682,0.601269,-0.390159,-0.347729,-0.16074,-0.323209,-0.0205003,
0.00384588,-0.223364,-0.334786,-1.6652,-0.100658,-0.0951174,-0.382852,3.32435e-05,-0.00104435,2.51915e-05,0.000506315,0.00147369,-5.54381e-05,4.76156e-06,0,0,0,0,0,0,0,0.00385629,-0.223312,-0.334777,-1.66523,-0.100803,1.4757,0.402545,7.4594e-05,0.0011291,0.00135197,-0.000851683,-0.00265164,-0.000387123,0.00130618,-0.0202602,-24.0129,2.03615,25.983,0.703732,3.01293,-0.0429228,-0.0147568,-0.404876,0.22061,0.274749,0.222531,-0.141271,0.0267787,0.214049,-0.307954,-0.214442,-0.143195,-0.295559,-0.0215355,
0.00384604,-0.223368,-0.334786,-1.6652,-0.100654,-0.0951174,-0.382852,4.1916e-05,-0.000941709,3.33856e-05,0.000461591,0.00117886,-1.38934e-05,3.62431e-06,0,0,0,0,0,0,0,0.00385629,-0.223312,-0.334777,-1.66523,-0.100803,1.4757,0.402545,7.4594e-05,0.0011291,0.00135197,-0.000851683,-0.00265164,-0.000387123,0.00130618,-0.0202602,-24.0129,2.03615,25.983,0.703732,3.01293,-0.0429228,-0.466509,-0.40039,-0.442313,0.35944,0.090145,-0.218241,-0.0373605,0.230923,-0.412663,-0.384052,-0.155355,-0.278571,-0.0211821,
0.00384623,-0.223371,-0.334785,-1.6652,-0.10065,-0.0951174,-0.382852,4.6222e-05,-0.000853479,3.58483e-05,0.000421072,0.000942443,9.69514e-06,2.86544e-06,0,0,0,0,0,0,0,0.00386084,-0.223344,-0.334778,-1.66564,-0.100804,1.47637,0.402545,0.00195235,0.00530397,0.00107462,0.00257124,-0.0178352,0.0133126,0.000262695,-0.0956386,-24.4136,2.03615,26.828,0.733944,3.14568,-0.0365141,-0.466509,-0.40039,-0.442313,0.35944,0.090145,-0.218241,-0.0373605,0.230923,-0.412663,-0.384052,-0.155355,-0.278571,-0.0211821,
0.00371546,-0.22329,-0.334882,-1.66509,-0.0990953,-0.0960138,-0.382851,-0.0123103,0.00219,-0.0109658,0.010081,0.185278,-0.10242,0.000436132,0,0,0,0,0,0,0,0.00386084,-0.223344,-0.334778,-1.66564,-0.100804,1.47637,0.402545,0.00195235,0.00530397,0.00107462,0.00257124,-0.0178352,0.0133126,0.000262695,-0.0956386,-24.4136,2.03615,26.828,0.733944,3.14568,-0.0365141,0.835773,-0.761357,-0.753677,0.697326,1.20103,-0.136753,0.0363533,0.907873,-0.375552,-0.654516,-0.13934,-0.259849,-0.0227486,
0.00373947,-0.223253,-0.334863,-1.66552,-0.0993605,-0.0951828,-0.382853,-0.0116642,0.00627533,-0.0101587,0.00918394,0.170766,-0.0917391,0.00035724,0,0,0,0,0,0,0,0.00386084,-0.223344,-0.334778,-1.66564,-0.100804,1.47637,0.402545,0.00195235,0.00530397,0.00107462,0.00257124,-0.0178352,0.0133126,0.000262695,-0.0956386,-24.4136,2.03615,26.828,0.733944,3.14568,-0.0365141,0.835773,-0.761357,-0.753677,0.697326,1.20103,-0.136753,0.0363533,0.907873,-0.375552,-0.654516,-0.13934,-0.259849,-0.0227486,
