Commanded Joint 0 Position,Commanded Joint 1 Position,Commanded Joint 2 Position,Commanded Joint 3 Position,Commanded Joint 4 Position,Commanded Joint 5 Position,Commanded Joint 6 Position,Commanded Joint 0 Velocity,Commanded Joint 1 Velocity,Commanded Joint 2 Velocity,Commanded Joint 3 Velocity,Commanded Joint 4 Velocity,Commanded Joint 5 Velocity,Commanded Joint 6 Velocity,Commanded Joint 0 Torque,Commanded Joint 1 Torque,Commanded Joint 2 Torque,Commanded Joint 3 Torque,Commanded Joint 4 Torque,Commanded Joint 5 Torque,Commanded Joint 6 Torque,Actual Joint 0 Position,Actual Joint 1 Position,Actual Joint 2 Position,Actual Joint 3 Position,Actual Joint 4 Position,Actual Joint 5 Position,Actual Joint 6 Position,Actual Joint 0 Velocity,Actual Joint 1 Velocity,Actual Joint 2 Velocity,Actual Joint 3 Velocity,Actual Joint 4 Velocity,Actual Joint 5 Velocity,Actual Joint 6 Velocity,Actual Joint 0 Torque,Actual Joint 1 Torque,Actual Joint 2 Torque,Actual Joint 3 Torque,Actual Joint 4 Torque,Actual Joint 5 Torque,Actual Joint 6 Torque,EE ext force 0,EE ext force 1,EE ext force 2,EE ext force 3,EE ext force 4,EE ext force 5,joint ext torque 0,joint ext torque 1,joint ext torque 2,joint ext torque 3,joint ext torque 4,joint ext torque 5,joint ext torque 6,
0.00160445,-0.234552,0.490853,-1.88406,0.137869,0.130747,0.493788,0.0058174,0.0212707,0.0254187,-0.15971,-0.0619727,0.235329,-0.00120371,0,0,0,0,0,0,0,0.00162208,-0.23468,0.490686,-1.88248,0.13815,1.6992,1.2792,0.00287846,-0.00440354,0.000825605,-0.00140145,-0.00631288,-0.000927092,-0.00111546,-0.171017,-21.9936,-4.25994,27.3993,1.21643,3.17864,0.14476,0.238868,0.349811,0.250214,-0.254053,0.308637,-0.00818395,0.0452727,0.235833,-0.0216989,-0.148746,0.0390161,-0.228276,0.110546,
0.0016388,-0.2344,0.49098,-1.88475,0.137528,0.131722,0.493783,0.00858906,0.0378236,0.0317696,-0.171478,-0.0851396,0.243639,-0.00128718,0,0,0,0,0,0,0,0.00162208,-0.23468,0.490686,-1.88248,0.13815,1.6992,1.2792,0.00287846,-0.00440354,0.000825605,-0.00140145,-0.00631288,-0.000927092,-0.00111546,-0.171017,-21.9936,-4.25994,27.3993,1.21643,3.17864,0.14476,-0.270163,0.555197,0.335824,-0.340539,-0.0638427,0.211406,0.252699,0.0313501,0.206566,-0.0723384,0.0776389,-0.223899,0.109907,
0.00164084,-0.23472,0.490707,-1.88248,0.138102,0.128376,0.493797,0.000889601,-0.00183285,0.000999863,0.000456869,-0.00152846,-0.00114487,-2.42412e-05,0,0,0,0,0,0,0,0.00162208,-0.23468,0.490686,-1.88248,0.13815,1.6992,1.2792,0.00287846,-0.00440354,0.000825605,-0.00140145,-0.00631288,-0.000927092,-0.00111546,-0.171017,-21.9936,-4.25994,27.3993,1.21643,3.17864,0.14476,-0.270163,0.555197,0.335824,-0.340539,-0.0638427,0.211406,0.252699,0.0313501,0.206566,-0.0723384,0.0776389,-0.223899,0.109907,
0.00164387,-0.234726,0.49071,-1.88248,0.138099,0.128373,0.493797,0.000758079,-0.00157511,0.000857528,0.000444294,-0.000935325,-0.000881667,-1.9362e-05,0,0,0,0,0,0,0,0.00162208,-0.23468,0.490686,-1.88248,0.13815,1.6992,1.2792,0.00287846,-0.00440354,0.000825605,-0.00140145,-0.00631288,-0.000927092,-0.00111546,-0.171017,-21.9936,-4.25994,27.3993,1.21643,3.17864,0.14476,0.251846,0.463791,0.305884,-0.293397,0.291593,0.0359995,0.0888125,0.214365,0.0221568,-0.10578,0.059873,-0.209628,0.110877,
0.00164647,-0.234731,0.490713,-1.88248,0.138097,0.12837,0.493796,0.000649424,-0.00136687,0.000743084,0.000418025,-0.000507132,-0.000666101,-1.51245e-05,0,0,0,0,0,0,0,0.00162208,-0.23468,0.490686,-1.88248,0.13815,1.6992,1.2792,0.00287846,-0.00440354,0.000825605,-0.00140145,-0.00631288,-0.000927092,-0.00111546,-0.171017,-21.9936,-4.25994,27.3993,1.21643,3.17864,0.14476,-0.155729,0.0749378,0.236318,-0.0550188,0.0220987,-0.0162551,0.0422806,0.0811661,-0.0587857,-0.118834,0.0399651,-0.209857,0.107538,
0.0016487,-0.234736,0.490716,-1.88247,0.138096,0.128368,0.493796,0.00055929,-0.0011962,0.000650475,0.000387457,-0.000203636,-0.000496931,-1.17191e-05,0,0,0,0,0,0,0,0.00162208,-0.23468,0.490686,-1.88248,0.13815,1.6992,1.2792,0.00287846,-0.00440354,0.000825605,-0.00140145,-0.00631288,-0.000927092,-0.00111546,-0.171017,-21.9936,-4.25994,27.3993,1.21643,3.17864,0.14476,-0.155729,0.0749378,0.236318,-0.0550188,0.0220987,-0.0162551,0.0422806,0.0811661,-0.0587857,-0.118834,0.0399651,-0.209857,0.107538,
0.00165064,-0.23474,0.490718,-1.88247,0.138096,0.128367,0.493796,0.000484006,-0.00105534,0.000574842,0.000356391,7.08418e-06,-0.000368228,-9.05879e-06,0,0,0,0,0,0,0,0.00161914,-0.234737,0.490681,-1.88277,0.138152,1.69975,1.2792,0.00596882,-0.0136189,0.00333436,-0.023212,-0.0203381,0.0478689,-0.000912616,-0.119442,-21.3667,-4.11315,26.5027,1.19171,3.10631,0.138352,-0.698339,-0.045059,-0.162307,-0.0359286,-0.229446,0.0719624,0.116874,0.00874586,0.0435263,-0.225394,0.0602529,-0.192195,0.108112,
0.00165232,-0.234744,0.49072,-1.88247,0.138096,0.128366,0.493796,0.000420647,-0.000938606,0.000512456,0.000326438,0.000149427,-0.00027318,-6.99469e-06,0,0,0,0,0,0,0,0.00161914,-0.234737,0.490681,-1.88277,0.138152,1.69975,1.2792,0.00596882,-0.0136189,0.00333436,-0.023212,-0.0203381,0.0478689,-0.000912616,-0.119442,-21.3667,-4.11315,26.5027,1.19171,3.10631,0.138352,-0.698339,-0.045059,-0.162307,-0.0359286,-0.229446,0.0719624,0.116874,0.00874586,0.0435263,-0.225394,0.0602529,-0.192195,0.108112,
0.00165379,-0.234747,0.490722,-1.88247,0.138097,0.128365,0.493796,0.000366928,-0.000841579,0.000460493,0.00029829,0.000241744,-0.000205396,-5.38825e-06,0,0,0,0,0,0,0,0.00161914,-0.234737,0.490681,-1.88277,0.138152,1.69975,1.2792,0.00596882,-0.0136189,0.00333436,-0.023212,-0.0203381,0.0478689,-0.000912616,-0.119442,-21.3667,-4.11315,26.5027,1.19171,3.10631,0.138352,0.497719,0.355017,-0.804231,-0.488387,0.800654,-0.0747216,-0.0208208,0.642268,-0.0329129,-0.528495,0.022454,-0.182146,0.107007,
0.00165508,-0.23475,0.490723,-1.88247,0.138099,0.128364,0.493796,0.000321073,-0.000760726,0.000416814,0.000272224,0.000297738,-0.000159301,-4.12819e-06,0,0,0,0,0,0,0,0.00161914,-0.234737,0.490681,-1.88277,0.138152,1.69975,1.2792,0.00596882,-0.0136189,0.00333436,-0.023212,-0.0203381,0.0478689,-0.000912616,-0.119442,-21.3667,-4.11315,26.5027,1.19171,3.10631,0.138352,0.39909,0.458043,-0.201991,-0.38792,0.491729,-0.00596177,0.0484447,0.365915,0.00228396,-0.238198,0.0392413,-0.134692,0.108183,
