Cost reduction,Final cost,Optimisation time (ms),Number iterations,Average num dofs,Average percent derivs,Total time derivs (ms),Total time keypoints (ms),Total time FD (ms),Total time interpolation (ms),Total time cost derivs (ms),Total time QP (ms),Total time FP (ms)
0.242665,28.5098,545.993,1,13,100,467.143,0.065,446.318,0,20.755,18.843,27.141
0.438063,25.8536,516.678,1,13,100,433.35,0.068,413.399,0,19.88,21.449,27.24
0.837708,6.41121,546.023,1,13,100,462.111,0.071,443.345,0,18.693,20.075,28.329
0.838167,6.56426,558.034,1,13,100,476.449,0.082,457.633,0,18.731,19.132,28.064
0,44.4091,650.799,1,13,100,425.972,0.07,404.077,0,21.821,169.161,25.595
0,40.6857,643.88,1,13,100,421.896,0.078,402.099,0,19.717,167.627,24.467
0,48.3197,493.098,1,13,100,421.199,0.07,401.215,0,19.911,18.578,23.733
0.578251,16.3055,541.124,1,13,100,459.537,0.068,440.377,0,19.089,21.607,26.396
0.499383,22.7798,525.147,1,13,100,442.366,0.068,423.428,0,18.866,22.644,27.773
0.0254049,42.5455,628.078,1,13,100,403.998,0.066,384.597,0,19.332,165.687,26.547
0.012914,42.7652,638.487,1,13,100,412.978,0.069,393.706,0,19.201,168.022,25.832
0.77618,9.35231,650.646,1,13,100,423.178,0.065,402.86,0,20.251,169.984,25.116
0.0202069,45.7499,639.554,1,13,100,411.642,0.07,392.631,0,18.936,169.652,26.301
0.7508,12.3206,484.373,1,13,100,409.899,0.065,390.864,0,18.967,20.405,23.475
0.740712,12.0716,538.936,1,13,100,457.937,0.07,438.995,0,18.869,22.418,25.358
0.188538,34.7905,551.596,1,13,100,472.09,0.068,452.858,0,19.161,20.497,25.753
0.853523,5.79199,569.812,1,13,100,470.799,0.071,451.794,0,18.931,36.487,28.452
0.624915,16.6619,543.226,1,13,100,462.992,0.067,443.918,0,19.004,19.766,26.974
0.25334,29.3391,495.807,1,13,100,419.691,0.07,400.675,0,18.943,19.7,24.512
0.629481,15.6428,575.898,1,13,100,462.913,0.067,442.146,0,20.696,51.816,27.065
0,39.374,690.128,1,13,100,448.592,0.076,429.751,0,18.763,180.405,27.739
0.68496,14.3487,568.318,1,13,100,458.496,0.072,439.227,0,19.194,45.168,29.798
0.455748,23.4906,583.665,1,13,100,494.569,0.074,471.706,0,22.784,21.749,31.554
0.107575,38.5549,550.941,1,13,100,473.86,0.071,454.589,0,19.196,15.306,27.42
0.58134,18.7432,502.869,1,13,100,422.166,0.071,402.845,0,19.248,23.609,24.91
0.506938,23.5806,490.684,1,13,100,408.842,0.069,388.859,0,19.911,22.725,25.251
0.320133,26.3939,501.303,1,13,100,414.782,0.08,395.809,0,18.89,21.829,31.171
0.5322,20.7386,660.264,1,13,100,421.203,0.069,401.684,0,19.447,179.234,27.051
0,43.3661,704.254,1,13,100,470.61,0.071,451.696,0,18.84,174.053,26.524
0.405907,23.8975,712.987,1,13,100,474.458,0.069,452.958,0,21.423,177.236,26.68
0.734209,12.5088,515.799,1,13,100,428.646,0.071,409.463,0,19.109,24.336,30.532
0,39.326,542.051,1,13,100,448.241,0.069,428.988,0,19.182,32.956,27.124
0.534405,19.968,497.528,1,13,100,420.365,0.077,401.067,0,19.218,19.068,25.186
0.574874,19.2065,502.447,1,13,100,417.793,0.079,398.454,0,19.257,20.329,30.623
0.397478,28.942,497.057,1,13,100,413.719,0.072,394.208,0,19.435,24.447,25.338
0.125688,37.4224,547.851,1,13,100,423.894,0.067,404.221,0,19.603,66.68,24.716
