Cost reduction,Final cost,Optimisation time (ms),Number iterations,Average num dofs,Average percent derivs,Total time derivs (ms),Total time keypoints (ms),Total time FD (ms),Total time interpolation (ms),Total time cost derivs (ms),Total time QP (ms),Total time FP (ms)
0,70.1046,159.645,1,9,1,4.028,0.003,1.609,0.076,2.337,147.52,1.637
0,46.786,135.174,1,9,1,4.353,0.001,1.968,0.072,2.309,126.777,1.618
0,50.8442,120.171,1,9,1,3.851,0.002,1.573,0.071,2.203,112.434,1.649
0.735065,41.6389,120.556,1,9,1,3.037,0.001,0.887,0.043,2.103,113.293,1.66
0,35.848,115.724,1,9,1,3.475,0.004,1.054,0.074,2.339,108.262,1.679
0,49.7031,146.864,1,9,1,3.461,0.002,1.222,0.05,2.184,139.502,1.657
0,38.8485,56.865,1,9,1,3.453,0.003,0.988,0.078,2.383,49.532,1.657
0,55.605,65.147,1,9,1,3.343,0.001,1.149,0.042,2.149,57.855,1.655
0,21.1866,196.798,1,9,1,3.114,0.001,0.874,0.038,2.199,189.591,1.647
0.541492,73.1263,51.163,1,9,1,3.303,0.001,0.936,0.076,2.288,43.276,1.832
0.122659,57.4971,130.012,1,9,1,3.272,0.001,1.094,0.05,2.125,122.478,1.693
0,25.4978,75.202,1,9,1,3.292,0.001,1.077,0.046,2.165,67.789,1.752
0,35.7983,72.626,1,9,1,4.345,0.002,1.106,0.085,3.15,64.165,1.675
0,62.6991,70.23,1,9,1,3.253,0.001,0.99,0.08,2.178,62.931,1.766
0.220611,135.358,56.59,1,9,1,3.273,0.001,1.012,0.061,2.197,48.933,1.637
0,29.8624,215.022,1,9,1,3.649,0.001,1.01,0.052,2.584,207.391,1.792
0.100371,122.505,98.483,1,9,1,3.639,0.002,1.065,0.057,2.513,90.401,1.754
0.477912,53.5489,72.469,1,9,1,3.51,0.001,1.178,0.051,2.278,64.418,1.7
0.0845062,105.031,75.201,1,9,1,3.323,0.001,1.148,0.042,2.13,67.546,1.7
0,47.5233,134.086,1,9,1,3.162,0.002,0.857,0.074,2.227,126.604,1.706
0,92.8628,97.601,1,9,1,3.123,0.001,0.812,0.052,2.255,90.674,1.64
0,31.6446,156.74,1,9,1,3.688,0.001,0.945,0.063,2.676,148.993,1.842
0,108.49,134.973,1,9,1,3.33,0.001,1.03,0.048,2.249,127.348,1.801
0.0429805,97.6327,154.339,1,9,1,3.495,0.001,0.927,0.08,2.485,146.452,1.742
0.508418,47.1013,124.821,1,9,1,3.323,0.001,1.023,0.044,2.253,117.116,1.757
0.562746,53.5763,120.032,1,9,1,3.235,0.002,0.774,0.05,2.407,112.352,1.742
0.503239,53.0049,68.544,1,9,1,3.375,0.001,1.037,0.054,2.282,60.679,1.724
0,53.4732,56.169,1,9,1,3.371,0.002,0.981,0.062,2.324,48.976,1.629
0,93.0628,139.466,1,9,1,3.47,0.002,1.166,0.065,2.236,131.594,1.736
