Iteration,Cost,Cost reduction,time (ms)
0,7.8130538368464775,0.0,30.335187911987305
1,7.7287015205558705,0.010796331121232017,212.77403831481934
2,5.768581557278524,0.26167390142970626,434.8280429840088
3,5.595775724816651,0.283791480044987,1062.821388244629
4,4.370462110948436,0.4406205048354752,1662.6763343811035
5,4.043113794382766,0.4825181191872272,3385.028123855591
6,3.8792277047135877,0.5034940516576127,4762.090444564819
7,3.8415796063912673,0.5083126666458739,6570.678472518921
8,3.840451848554162,0.5084570094164034,8353.503465652466
9,3.839888541169761,0.5085291076504823,10214.462280273438
