Task number Cost reduction,Final cost,Optimisation time (ms),Number iterations,Average percent derivs
0,0.6396429797952099,2.772377415161995,11.765729427337646,16,13.114754098360656
1,0.7527724825416763,1.9167765596488722,14.651463747024536,22,11.475409836065573
2,0.5085291076504823,3.839888541169761,10.214462280273438,10,14.754098360655737
3,0.6407590169564015,2.8284184395234275,10.371766328811646,13,11.475409836065573
5,0.7556267071054493,1.953700606517465,17.49725079536438,24,11.475409836065573
7,0.7486728641823416,1.9037964783083239,16.50273299217224,18,11.475409836065573
8,0.7381930701300459,1.9677926799599676,27.954425811767578,22,9.836065573770492
9,0.6907601406856139,2.306224109456569,16.417622327804565,21,11.475409836065573
10,0.7298358108951601,2.176414458209008,11.105170249938965,17,11.475409836065573
11,0.6310631873769721,2.9947891757521936,8.592158079147339,14,11.475409836065573
12,0.5049615588040997,4.048969823695003,15.285409688949585,11,14.754098360655737
14,0.7237455120135541,2.293878764418173,9.574371576309204,14,9.836065573770492
15,0.7508735894995464,1.8434204999569828,17.714231967926025,24,11.475409836065573
16,0.5961388034896329,2.965009749091661,8.04099154472351,10,11.475409836065573
17,0.7421701809074721,1.8780504082914677,18.14389681816101,19,11.475409836065573
19,0.7372359604593323,1.8839633606098698,11.156995058059692,17,9.836065573770492
