Task number Cost reduction,Final cost,Optimisation time (ms),Number iterations,Average percent derivs
0,0.7391868778044892,2.00654453503306,12.430500268936157,16,11.475409836065573
1,0.7688645526256283,1.7920133332481314,19.038124322891235,25,11.475409836065573
2,0.7632237399798494,1.8499456668245973,13.701274394989014,19,11.475409836065573
3,0.5490978597404997,3.550095863577375,17.739880561828613,10,14.754098360655737
4,0.7565434431698916,1.9315549699998422,17.12230372428894,24,11.475409836065573
5,0.768983039423986,1.846920220483898,19.97024965286255,26,13.114754098360656
7,0.7693402676771726,1.7472414375594303,21.88713812828064,30,13.114754098360656
8,0.7468897181760021,1.9024269527291353,12.632177352905273,17,13.114754098360656
10,0.7547169783562011,1.9759743747961942,16.27440595626831,20,13.114754098360656
13,0.752489822413019,2.0397688556550744,19.100423336029053,23,13.114754098360656
16,0.7452296448058917,1.870436163358134,13.80031132698059,19,11.475409836065573
17,0.7706299659038791,1.6707473468360028,10.691066980361938,18,11.475409836065573
18,0.7698624015533457,1.6631542164297501,15.790493726730347,21,11.475409836065573
19,0.7519631161048113,1.7783727261738096,15.499315023422241,17,11.475409836065573
