Iteration,Cost,Cost reduction,time (ms)
0,1038.833459677016,0.0,4361.391067504883
1,98.11666345110461,0.9055511135715535,12368.242979049683
2,95.03982549318387,0.9085129338029478,23517.642736434937
3,44.55628721952246,0.9571093067859255,25767.972707748413
4,17.6426306052568,0.9830168825995054,27441.05291366577
5,17.324748656228763,0.9833228815506047,30993.717193603516
6,12.48188401675716,0.9879847112157536,33263.51499557495
7,9.4749869526942,0.9908792050694631,37402.13680267334
8,7.27476173359838,0.9929971819199391,39327.23116874695
9,6.984830925006916,0.9932762745944104,41215.62075614929
10,6.838253596461006,0.9934173725992739,42584.05327796936
11,6.301587010390795,0.9939339776249121,43873.65102767944
12,6.211895053514654,0.9940203167354217,45705.739974975586
13,5.4894579006659665,0.9947157478905496,48220.96371650696
14,5.277654184664625,0.9949196340034085,49317.62886047363
15,4.825208830409622,0.995355166138074,50949.031829833984
16,4.737875973429592,0.9954392343360767,53094.39945220947
17,4.660501890933415,0.9955137160364642,55786.37790679932
18,4.643942892453261,0.9955296560298538,57960.78038215637
19,4.134660399069687,0.996019900629351,59327.69584655762
20,4.078033701543274,0.9960744105192654,61421.81301116943
21,3.992657250190871,0.9961565954455951,63757.86995887756
22,3.9806765997827838,0.9961681282377828,66238.69228363037
23,3.94759037710582,0.9961999776380583,69250.6468296051
24,3.935172696063633,0.9962119311238905,71003.30233573914
25,3.9111834775252396,0.9962350235823736,72925.02737045288
26,3.8113210430595172,0.996331152979762,74411.47184371948
27,3.808518749650867,0.9963338505184123,76285.52985191345
28,3.808518749650867,0.9963338505184123,81099.81775283813
