Iteration,Cost,Cost reduction,time (ms)
0,5.316338636846429,0.0,39.1542911529541
1,4.974639916114549,0.06427331742256548,219.27785873413086
2,4.290232523450841,0.19300992346195955,1638.1447315216064
3,3.9791285952246485,0.2515283793913837,2989.319086074829
4,3.8467191281760607,0.27643451801296925,3408.170461654663
5,3.2315538749696358,0.39214672056960154,3812.7987384796143
6,3.0855871167390903,0.41960297725326734,5214.610576629639
7,2.8579966672059642,0.4624125996418309,5648.314714431763
8,2.6329974586878477,0.5047348112027525,6108.139991760254
9,2.1779195306102546,0.5903346872007831,6560.414552688599
10,2.1584428761421637,0.5939982338253533,6920.78971862793
11,2.0042710663846575,0.6229978556118538,7384.262561798096
12,1.8883321452947768,0.6448058947548709,7773.931264877319
13,1.8849203839035347,0.645447644956334,8267.274618148804
14,1.8786286103921754,0.6466311236511921,8728.259563446045
15,1.8706288636492534,0.6481358710514946,9133.650064468384
16,1.866414808685523,0.6489285321763002,9658.02788734436
17,1.865790396579371,0.6490459837061604,10355.825662612915
