Iteration,Cost,Cost reduction,time (ms)
0,8.117349836846472,0.0,31.111717224121094
1,8.035225257753925,0.010117166408150191,210.7677459716797
2,6.155401342303543,0.24169815690796081,1269.2875862121582
3,5.378615311484207,0.33739269347866896,1666.3148403167725
4,3.4334948929220572,0.5770177506288254,2065.1307106018066
5,3.0213341386870405,0.6277930359767757,3796.5569496154785
6,2.936423926281743,0.6382533726767996,4445.099592208862
7,2.6985920325875883,0.6675525772785997,4912.7397537231445
8,2.60678159935777,0.6788629723059362,5588.608980178833
9,2.489426411445634,0.6933203001618128,6192.505836486816
10,2.3889631847119035,0.7056966580560735,6705.629825592041
11,2.298672321495376,0.7168198528217686,7211.220979690552
12,2.2959158111775415,0.7171594353669637,7636.45076751709
13,2.2939076441146633,0.7174068273240977,8639.173030853271
14,2.2939076441146633,0.7174068273240977,11631.707191467285
