Optimisation time (ms),num dofs,% derivs,derivs time (ms),BP time (ms),FP time (ms),surprise,expected,new cost
35.502,0,18.75,18.434,3.312,7.683,0,0,0
52.017,0,38.75,34.706,3.091,8.003,0,0,0
61.727,0,60,42.462,2.816,8.245,0,0,0
50.94,0,42.5,33.644,3.371,6.711,0,0,0
54.473,0,40,35.206,3.281,8.577,0,0,0
55.765,0,46.25,36.077,3.456,8.259,0,0,0
53.967,0,48.75,33.857,3.716,8.614,0,0,0
60.729,0,45,39.412,3.725,8.442,0,0,0
62.903,0,47.5,43.379,3.62,6.232,0,0,0
52.68,0,35,32.292,3.697,7.53,0,0,0
42.894,0,20,21.64,3.621,7.848,0,0,0
37.152,0,12.5,18.664,3.752,6.192,0,0,0
36.655,0,7.5,16.325,3.295,8.599,0,0,0
37.679,0,16.25,18.261,3.341,7.336,0,0,0
41.293,0,15,20.954,3.648,7.075,0,0,0
42.507,0,11.25,20.817,3.373,8.609,0,0,0
36.549,0,7.5,15.541,3.494,8.816,0,0,0
41.616,0,11.25,20.584,3.288,8.872,0,0,0
36.595,0,8.75,15.838,3.402,7.889,0,0,0
39.27,0,8.75,20.311,3.394,6.345,0,0,0
36.072,0,7.5,15.522,3.301,8.5,0,0,0
50.451,0,21.25,29.026,3.46,9.43,0,0,0
45.807,0,21.25,26.143,3.542,6.738,0,0,0
51.688,0,20,25.699,3.571,12.599,0,0,0
49.442,0,26.25,29.144,3.518,7.376,0,0,0
52.268,0,26.25,30.09,3.636,9.212,0,0,0
55.689,0,35,35.229,3.804,6.991,0,0,0
58.843,0,28.75,36.775,3.622,9.03,0,0,0
51.338,0,25,29.067,3.57,9.508,0,0,0
50.724,0,31.25,29.781,3.563,8.552,0,0,0
54.657,0,31.25,32.967,3.781,8.079,0,0,0
47.631,0,22.5,26.226,3.566,8.499,0,0,0
43.986,0,23.75,25.364,3.421,7.177,0,0,0
46.005,0,21.25,25.118,3.583,8.497,0,0,0
41.528,0,13.75,20.403,3.529,8.67,0,0,0
49.032,0,23.75,26.946,3.557,8.995,0,0,0
47.64,0,26.25,27.542,3.578,8.154,0,0,0
51.296,0,28.75,30.924,3.622,7.885,0,0,0
47.381,0,22.5,28.465,3.624,6.949,0,0,0
37.749,0,18.75,19.949,3.518,5.8,0,0,0
38.504,0,15,19.962,3.431,6.287,0,0,0
38.026,0,15,18.991,3.518,6.626,0,0,0
41.034,0,8.75,19.926,3.405,8.65,0,0,0
35.535,0,7.5,15.444,3.308,8.337,0,0,0
39.728,0,11.25,19.227,3.239,8.257,0,0,0
51.483,0,25,28.755,3.498,9.742,0,0,0
51.665,0,22.5,29.107,3.626,9.108,0,0,0
51.029,0,28.75,29.345,3.611,9.212,0,0,0
45.821,0,20,24.691,3.589,8.317,0,0,0
57.788,0,40,36.765,3.741,8.476,0,0,0
