Optimisation time (ms),num dofs,% derivs,derivs time (ms),BP time (ms),FP time (ms),surprise,expected,new cost
25.879,0,22.8571,15.367,3.206,3.879,0,0,0
20.391,0,4.71429,10.166,3.325,3.438,0,0,0
19.722,0,4.71429,9.63,3.429,3.47,0,0,0
19.441,0,6.64286,9.088,3.52,3.69,0,0,0
19.035,0,4.71429,8.609,3.58,3.665,0,0,0
18.548,0,2.85714,8.033,3.47,3.592,0,0,0
18.314,0,2.85714,8.065,3.662,3.492,0,0,0
19.339,0,2.85714,9.321,3.429,3.317,0,0,0
18.376,0,2.85714,8.471,3.302,3.386,0,0,0
18.417,0,2.85714,8.12,3.479,3.666,0,0,0
18.614,0,2.85714,8.715,3.272,3.372,0,0,0
18.848,0,2.85714,8.677,3.411,3.523,0,0,0
18.529,0,2.85714,8.186,3.614,3.537,0,0,0
19.052,0,2.85714,8.945,3.529,3.438,0,0,0
18.704,0,2.85714,8.212,3.568,3.587,0,0,0
18.076,0,2.85714,7.744,3.296,3.667,0,0,0
18.032,0,2.85714,7.984,3.308,3.575,0,0,0
18.607,0,2.85714,8.085,3.426,3.867,0,0,0
18.284,0,2.85714,8.146,3.355,3.561,0,0,0
19.124,0,2.85714,8.521,3.445,3.752,0,0,0
19.623,0,2.85714,8.932,3.528,3.899,0,0,0
23.558,0,9.42857,12.013,3.77,3.9,0,0,0
29.6,0,14.2143,17.242,3.706,4.532,0,0,0
31,0,14.2143,17.802,3.78,4.943,0,0,0
39.032,0,27.0714,24.756,4.321,5.153,0,0,0
36.03,0,31.8571,21.946,4.574,4.788,0,0,0
50.082,0,52.7857,34.986,4.435,5.479,0,0,0
41.408,0,50.4286,27.545,4.321,4.887,0,0,0
44.1,0,59.2857,29.658,4.42,5.03,0,0,0
56.296,0,58.3571,39.648,4.33,6.885,0,0,0
61.074,0,62.7857,43.647,4.493,6.889,0,0,0
63.796,0,53.7857,45.532,4.427,6.69,0,0,0
60.751,0,48.5714,41.232,4.534,7.982,0,0,0
62.068,0,35.7143,38.908,4.558,8.952,0,0,0
60.739,0,40,38.955,4.372,7.747,0,0,0
66.191,0,34.2857,44.586,4.219,8.404,0,0,0
47.448,0,18.5714,26.562,4.245,8.592,0,0,0
49.49,0,14.2857,28.409,4.131,8.442,0,0,0
50.674,0,15.7143,29.408,4.28,8.44,0,0,0
49.368,0,14.2857,28.458,4.411,8.186,0,0,0
46.028,0,14.2857,25.164,4.733,7.853,0,0,0
52.948,0,28.5714,33.453,4.213,7.62,0,0,0
42.021,0,18.5714,22.779,4.381,7.717,0,0,0
43.102,0,18.5714,24.294,4.137,7.607,0,0,0
55.712,0,48.5714,37.582,4.589,7.231,0,0,0
57.317,0,51.4286,40.462,4.417,6.483,0,0,0
48.602,0,34.2857,31.924,4.343,6.494,0,0,0
54.544,0,54.2857,38.368,4.482,6.092,0,0,0
39.998,0,28.5714,23.62,4.531,5.941,0,0,0
47.168,0,47.1429,31.497,4.387,5.934,0,0,0
40.773,0,24.2857,24.482,4.156,5.896,0,0,0
42.92,0,25.7143,25.103,4.033,7.934,0,0,0
37.04,0,27.1429,21.046,4.327,5.926,0,0,0
46.9,0,42.8571,30.977,4.359,6.044,0,0,0
46.532,0,31.4286,30.979,4.285,5.581,0,0,0
35.272,0,20,18.911,4.313,6.138,0,0,0
45.361,0,40,29.249,4.325,6.251,0,0,0
45.634,0,28.5714,28.848,4.621,6.275,0,0,0
59.921,0,54.2857,43.194,4.653,6.14,0,0,0
50.075,0,38.5714,32.384,4.516,7.046,0,0,0
59.816,0,51.4286,41.348,4.626,6.677,0,0,0
49.706,0,32.8571,32.223,4.841,6.624,0,0,0
39.333,0,17.1429,19.864,4.571,6.543,0,0,0
51.969,0,44.2857,34.667,4.381,6.469,0,0,0
53.773,0,44.2857,36.339,4.436,6.727,0,0,0
54.995,0,40,37.253,4.475,6.896,0,0,0
55.473,0,32.8571,36.555,4.157,6.996,0,0,0
51.639,0,44.2857,34.159,4.38,6.607,0,0,0
58.038,0,50,40.165,4.724,6.555,0,0,0
53.298,0,41.4286,35.259,4.579,7.258,0,0,0
54.592,0,41.4286,35.666,4.434,6.417,0,0,0
68.857,0,65.7143,51.365,4.662,6.73,0,0,0
71.086,0,54.2857,52.427,4.629,7.064,0,0,0
63.579,0,47.1429,45.811,4.521,6.737,0,0,0
55.285,0,38.5714,36.175,4.646,7.552,0,0,0
46.161,0,22.8571,27.925,4.19,6.673,0,0,0
45.469,0,27.1429,29.414,4.148,6.139,0,0,0
40.524,0,22.8571,24.92,4.085,5.427,0,0,0
