Optimisation time (ms),num dofs,% derivs,derivs time (ms),BP time (ms),FP time (ms),surprise,expected,new cost
262.037,0,100,219.34,23.731,16.251,0,0,0
291.884,0,100,250.551,21.534,16.219,0,0,0
294.485,0,100,252.143,23.022,15.677,0,0,0
295.79,0,100,256.191,20.641,15.444,0,0,0
284.435,0,100,242.221,22.784,16.112,0,0,0
307.754,0,100,266.209,22.025,15.99,0,0,0
283.49,0,100,238.27,25.504,16.347,0,0,0
293.039,0,100,249.529,23.815,16.06,0,0,0
286.097,0,100,241.458,24.95,16.185,0,0,0
290.292,0,100,249.614,21.358,15.898,0,0,0
288.045,0,100,246.972,22.159,15.302,0,0,0
296.063,0,100,251.139,23.242,18.251,0,0,0
305.195,0,100,264.064,22.009,15.339,0,0,0
289.089,0,100,240.716,27.999,16.977,0,0,0
288.366,0,100,246.236,22.273,16.247,0,0,0
281.511,0,100,239.276,22.58,16.229,0,0,0
281.374,0,100,238.33,23.342,16.364,0,0,0
283.603,0,100,241.481,21.671,16.853,0,0,0
281.516,0,100,237.419,23.768,16.322,0,0,0
293.467,0,100,253.335,20.809,15.683,0,0,0
290.551,0,100,247.411,24.28,15.55,0,0,0
276.411,0,100,234.324,22.208,16.439,0,0,0
280.329,0,100,238.924,21.721,16.191,0,0,0
277.129,0,100,234.536,22.957,16.194,0,0,0
295.379,0,100,253.861,22.626,15.374,0,0,0
281.769,0,100,236.917,26.009,15.588,0,0,0
278.912,0,100,236.068,23.203,16.087,0,0,0
290.41,0,100,249.707,21.496,15.643,0,0,0
274.685,0,100,233.736,22,15.682,0,0,0
280.048,0,100,237.906,22.551,16.151,0,0,0
280.229,0,100,237.256,23.321,16.187,0,0,0
286.331,0,100,247.005,21.534,14.319,0,0,0
277.411,0,100,236.123,21.25,16.656,0,0,0
278.82,0,100,237.051,22.17,15.979,0,0,0
279.15,0,100,238.082,21.531,16.128,0,0,0
282.426,0,100,239.991,21.731,17.294,0,0,0
281.932,0,100,240.319,21.004,17.148,0,0,0
287.163,0,100,245.302,22.501,15.802,0,0,0
288.189,0,100,246.158,22.461,16.07,0,0,0
287.703,0,100,245.158,21.747,17.205,0,0,0
287.681,0,100,246.63,20.949,16.501,0,0,0
