Final cost,Final dist,Average dofs,Average optimisation time (ms),Average percent derivs,Average time derivs (ms),Average time BP (ms),Average time FP (ms),Average surprise
83.7799,0.280646,0,269.436,100,220.3,32.395,13.9168,0
77.2555,0.269426,0,273.537,100,233.756,21.4831,15.2047,0
76.7386,0.270091,0,288.724,100,246.286,23.0469,16.0194,0
83.3639,0.282207,0,287.049,100,245.406,22.1493,16.1575,0
83.0873,0.281409,0,292.833,100,249.931,22.9242,16.4722,0
83.3329,0.282628,0,298.472,100,255.92,22.3534,16.5846,0
81.4368,0.278442,0,287.085,100,244.876,22.6374,16.1725,0
83.5999,0.282169,0,287.63,100,245.21,22.6584,16.2333,0
83.2914,0.281846,0,289.489,100,246.913,22.8525,16.276,0
82.3729,0.279323,0,286.306,100,243.358,23.3004,16.2506,0
80.6626,0.276583,0,286.896,100,244.47,23.0674,15.9737,0
78.5522,0.272551,0,289.792,100,247.154,22.7813,16.3898,0
82.3548,0.282983,0,299.566,100,256.684,22.9756,16.3498,0
77.2878,0.270513,0,292.566,100,249.637,22.9544,16.478,0
75.9328,0.269828,0,305.381,100,260.73,24.0362,16.8533,0
84.8148,0.28361,0,294.019,100,250.486,23.4875,16.5651,0
76.1662,0.267921,0,297.727,100,252.586,24.6136,16.8774,0
80.6715,0.278039,0,298.544,100,254.957,23.4494,16.57,0
82.9591,0.280837,0,295.267,100,252.53,22.6989,16.4528,0
80.7445,0.277881,0,297.271,100,252.801,24.3991,16.4933,0
82.2555,0.280729,0,301.93,100,258.274,23.3499,16.7156,0
76.2336,0.269975,0,302.87,100,258.915,23.2614,16.9999,0
76.9285,0.271004,0,289.932,100,247.64,22.4655,16.2909,0
76.3724,0.26874,0,285.336,100,243.187,22.8444,15.9125,0
76.0811,0.267992,0,287.775,100,245.358,22.7001,16.2567,0
78.462,0.273712,0,286.091,100,243.485,23.1386,16.0335,0
81.0471,0.277924,0,284.115,100,242.124,22.3719,16.2126,0
82.9514,0.282486,0,295.442,100,252.386,23.0695,16.4133,0
75.067,0.265185,0,282.86,100,240.917,22.6394,15.9317,0
81.8746,0.280854,0,292.478,100,249.148,23.074,16.6074,0
84.0392,0.283457,0,287.529,100,245.009,23.0165,16.09,0
81.8022,0.281025,0,298.195,100,255.738,22.3724,16.4181,0
85.1498,0.285683,0,292.293,100,248.663,23.5434,16.521,0
69.0208,0.254468,0,281.302,100,238.843,22.9559,16.0608,0
77.7869,0.272711,0,289.626,100,245.146,24.4265,16.5021,0
80.0278,0.275268,0,285.964,100,243.708,22.7593,16.1049,0
84.2987,0.283801,0,285.185,100,243.253,22.7095,15.8205,0
84.0517,0.282543,0,285.99,100,243.588,22.7847,16.1326,0
80.3904,0.276347,0,286.614,100,243.978,22.6974,16.3135,0
85.0241,0.284464,0,288.04,100,244.611,23.7583,16.1755,0
85.732,0.286251,0,285.141,100,242.482,23.1882,16.0573,0
76.3997,0.269528,0,294.12,100,251.625,22.7923,16.1728,0
78.1863,0.271756,0,283.148,100,240.539,22.6785,16.4154,0
84.8858,0.284469,0,285.858,100,243.584,22.6455,16.1448,0
83.1162,0.282716,0,296.487,100,253.456,22.9634,16.4362,0
82.7166,0.28153,0,293.484,100,250.077,23.3834,16.4094,0
74.1378,0.263823,0,285.695,100,243.496,22.6178,16.1079,0
76.9454,0.270565,0,285.923,100,243.735,22.6339,16.0963,0
81.102,0.276722,0,281.907,100,239.261,22.6304,16.4846,0
79.2515,0.275138,0,284.9,100,242.223,23.1502,16.0197,0
87.1135,0.288113,0,286.805,100,244.076,23.0775,16.1243,0
80.7923,0.2777,0,290.306,100,248.278,22.5643,16.0081,0
76.343,0.270369,0,303.387,100,259.905,23.472,16.3479,0
78.8871,0.276344,0,301.161,100,258.385,22.6459,16.4345,0
85.3562,0.284592,0,287.081,100,243.464,24.3594,15.877,0
80.5817,0.276085,0,286.702,100,244.628,22.4197,16.1162,0
82.7345,0.280931,0,288.535,100,245.279,23.6314,16.1133,0
82.5676,0.280458,0,291.069,100,248.196,23.0652,16.2612,0
77.9925,0.272614,0,285.991,100,243.395,23.0593,16.0807,0
87.7432,0.289811,0,290.558,100,245.849,25.1216,16.092,0
77.4302,0.271087,0,284.407,100,242.36,22.3772,16.1612,0
79.1837,0.273539,0,285.087,100,243.046,22.4539,16.064,0
80.4366,0.278677,0,300.877,100,258.401,22.2332,16.5792,0
76.0014,0.269174,0,292.808,100,249.876,22.499,16.7174,0
82.6297,0.280036,0,288.244,100,245.455,23.239,16.0201,0
83.2088,0.281358,0,285.076,100,243.331,22.1638,16.1092,0
80.2399,0.276901,0,283.948,100,240.532,23.5449,16.3565,0
77.7999,0.271966,0,282.825,100,240.095,22.7446,16.4048,0
83.6085,0.282572,0,288.937,100,245.456,23.6416,16.2389,0
79.8413,0.276146,0,294.911,100,252.114,23.3416,15.9713,0
82.6569,0.280089,0,293.322,100,249.637,23.194,16.7272,0
85.0833,0.285897,0,295.926,100,253.194,22.7619,16.356,0
82.5866,0.279865,0,288.012,100,245.387,22.9393,16.1169,0
84.5968,0.286355,0,297.964,100,250.342,27.8152,16.1738,0
85.4914,0.285805,0,287.421,100,245.055,22.7205,16.1677,0
83.8715,0.282018,0,285.356,100,242.765,22.7671,16.297,0
83.2926,0.281789,0,286.775,100,244.365,23.0065,15.9113,0
81.6138,0.278229,0,295.988,100,252.176,23.4427,16.6882,0
82.9051,0.28104,0,288.389,100,245.765,22.7491,16.2884,0
85.3275,0.284811,0,287.387,100,245.212,22.557,16.1288,0
78.8156,0.274903,0,302.559,100,259.451,22.9149,16.5178,0
82.9292,0.282686,0,296.968,100,251.148,26.2267,16.0827,0
81.8316,0.27896,0,291.313,100,247.778,23.6031,16.2651,0
81.4959,0.277614,0,285.122,100,242.715,22.8617,16.0543,0
76.8654,0.270959,0,286.906,100,244.836,22.6812,15.9196,0
75.4597,0.267887,0,286.668,100,244.193,22.6202,16.2884,0
80.5918,0.275951,0,286.19,100,243.645,22.8747,16.2111,0
80.3745,0.275839,0,286.278,100,244.262,22.3285,16.1641,0
86.2748,0.288933,0,304.547,100,261.83,22.3888,16.6332,0
76.799,0.268859,0,287.352,100,243.846,23.8284,16.146,0
87.1422,0.288202,0,285.92,100,243.68,22.7318,15.995,0
81.1198,0.278547,0,293.825,100,251.383,22.5626,16.2705,0
78.0916,0.273125,0,287.573,100,245.328,22.8492,15.9714,0
80.4285,0.276279,0,284.739,100,241.381,23.6892,16.1499,0
77.6113,0.271793,0,288.638,100,245.27,23.5633,16.2474,0
76.8589,0.269419,0,283.874,100,241.126,22.9935,16.1723,0
79.9287,0.273964,0,282.027,100,239.704,22.7323,16.0495,0
76.9008,0.269425,0,285.733,100,242.978,23.0966,16.1295,0
76.4474,0.270619,0,302.34,100,259.591,22.8327,16.2909,0
77.8095,0.273592,0,292.209,100,249.338,22.8554,16.4082,0
