Optimisation time (ms),num dofs,% derivs,derivs time (ms),BP time (ms),FP time (ms),surprise,expected,new cost
8.637,0,47,5.049,0.907,1.474,0,0,0
6.803,0,26,3.418,0.826,1.369,0,0,0
6.72,0,25,3.29,0.923,1.32,0,0,0
7.994,0,28,4.357,0.844,1.394,0,0,0
6.849,0,24,3.409,0.895,1.353,0,0,0
8.49,0,39,4.859,0.868,1.524,0,0,0
7.363,0,25,3.601,0.877,1.622,0,0,0
7.271,0,27,3.679,0.897,1.47,0,0,0
7.941,0,30,3.899,1.1,1.718,0,0,0
8.885,0,41,5.192,0.763,1.744,0,0,0
7.912,0,33,4.27,0.9,1.526,0,0,0
8.214,0,44,4.49,0.953,1.547,0,0,0
8.344,0,34,4.146,1.27,1.665,0,0,0
8.211,0,41,4.676,0.881,1.387,0,0,0
7.893,0,37,3.947,1.098,1.592,0,0,0
8.133,0,36,4.458,0.896,1.505,0,0,0
7.584,0,39,4.194,0.832,1.327,0,0,0
7.945,0,38,4.075,1.1,1.553,0,0,0
8.401,0,44,4.68,0.879,1.662,0,0,0
7.71,0,35,4.036,0.809,1.345,0,0,0
8.016,0,32,3.699,1.16,1.988,0,0,0
7.069,0,24,3.457,0.846,1.47,0,0,0
7.27,0,23,3.479,0.921,1.61,0,0,0
7.373,0,36,3.901,0.852,1.454,0,0,0
7.839,0,41,4.327,0.802,1.521,0,0,0
8.078,0,34,4.321,0.856,1.72,0,0,0
6.944,0,34,3.378,0.834,1.549,0,0,0
6.984,0,27,3.447,0.897,1.399,0,0,0
6.802,0,33,3.402,0.853,1.369,0,0,0
7.074,0,33,3.528,0.916,1.432,0,0,0
7.246,0,30,3.69,0.909,1.452,0,0,0
6.273,0,23,2.842,0.863,1.409,0,0,0
6.668,0,21,3.063,0.818,1.61,0,0,0
8.205,0,32,4.429,0.868,1.706,0,0,0
6.274,0,20,3.015,0.847,1.3,0,0,0
6.549,0,16,2.579,0.774,2.111,0,0,0
6.61,0,14,2.98,0.871,1.577,0,0,0
7.461,0,19,3.691,0.835,1.899,0,0,0
6.342,0,21,2.781,0.921,1.556,0,0,0
6.785,0,17,2.933,0.912,1.797,0,0,0
5.945,0,17,2.604,0.772,1.42,0,0,0
6.554,0,14,3.084,0.919,1.513,0,0,0
6.823,0,17,3.407,0.829,1.427,0,0,0
6.277,0,18,2.813,0.856,1.444,0,0,0
6.983,0,30,3.285,0.885,1.642,0,0,0
6.656,0,25,3.284,0.808,1.365,0,0,0
7.805,0,33,4.319,0.851,1.413,0,0,0
7.711,0,29,3.778,1.098,1.649,0,0,0
7.618,0,36,4.072,0.793,1.419,0,0,0
6.834,0,35,3.583,0.87,1.225,0,0,0
7.555,0,33,3.614,0.818,1.876,0,0,0
7.258,0,29,3.621,0.994,1.449,0,0,0
7.132,0,34,3.724,0.857,1.381,0,0,0
7.748,0,33,3.63,1.184,1.73,0,0,0
7.655,0,34,4.214,0.926,1.328,0,0,0
6.931,0,36,3.648,0.795,1.226,0,0,0
6.716,0,21,3.099,0.841,1.612,0,0,0
7.877,0,34,4.013,1.069,1.588,0,0,0
6.529,0,29,3.137,0.85,1.383,0,0,0
7.36,0,27,3.967,0.825,1.416,0,0,0
9.305,0,40,5.617,0.913,1.53,0,0,0
7.861,0,37,4.06,0.897,1.656,0,0,0
6.801,0,26,3.34,0.924,1.321,0,0,0
7.697,0,35,4.047,0.79,1.628,0,0,0
7.537,0,28,4.127,0.868,1.323,0,0,0
7.239,0,34,3.631,1.011,1.384,0,0,0
7.823,0,33,4.094,1.024,1.484,0,0,0
8.233,0,36,4.334,0.881,1.846,0,0,0
7.902,0,42,4.007,1.116,1.635,0,0,0
6.71,0,19,3.379,0.811,1.332,0,0,0
6.681,0,20,2.918,0.93,1.684,0,0,0
7.299,0,26,3.358,0.862,1.929,0,0,0
6.005,0,19,2.465,0.992,1.301,0,0,0
6.459,0,21,3.184,0.866,1.261,0,0,0
7.057,0,21,3.191,0.813,1.902,0,0,0
7.645,0,29,3.884,0.787,1.748,0,0,0
7.121,0,28,3.424,0.861,1.678,0,0,0
6.715,0,24,3.252,0.76,1.527,0,0,0
7.641,0,27,3.333,1.159,1.926,0,0,0
7.202,0,31,3.858,0.834,1.321,0,0,0
6.959,0,33,3.49,0.818,1.405,0,0,0
8.025,0,28,4.139,0.899,1.73,0,0,0
7.418,0,39,4.055,0.858,1.316,0,0,0
7.167,0,30,3.597,0.9,1.536,0,0,0
6.505,0,20,2.956,0.831,1.237,0,0,0
6.752,0,22,3.006,0.847,1.752,0,0,0
6.727,0,17,3.325,0.836,1.379,0,0,0
6.157,0,24,2.848,0.807,1.349,0,0,0
6.976,0,21,3.325,0.881,1.579,0,0,0
6.482,0,23,2.881,0.789,1.618,0,0,0
6.563,0,19,2.966,0.898,1.468,0,0,0
7.389,0,20,3.585,0.819,1.795,0,0,0
6.312,0,19,2.524,0.894,1.682,0,0,0
6.569,0,22,2.814,0.872,1.524,0,0,0
6.262,0,23,2.944,0.832,1.358,0,0,0
6.383,0,19,2.678,0.887,1.647,0,0,0
6.195,0,17,2.915,0.849,1.259,0,0,0
5.867,0,21,2.631,0.84,1.384,0,0,0
6.712,0,21,2.987,0.878,1.848,0,0,0
7.16,0,25,3.451,0.908,1.739,0,0,0
6.261,0,23,2.963,0.894,1.307,0,0,0
6.689,0,24,3.266,0.846,1.468,0,0,0
6.285,0,17,3.001,0.814,1.356,0,0,0
6.581,0,21,3.252,0.858,1.314,0,0,0
6.268,0,25,2.997,0.764,1.383,0,0,0
7.542,0,23,3.344,1.271,1.797,0,0,0
6.183,0,24,3.103,0.79,1.185,0,0,0
7.147,0,34,3.693,0.996,1.442,0,0,0
7.314,0,32,3.871,0.896,1.375,0,0,0
6.331,0,22,2.876,0.846,1.422,0,0,0
6.684,0,27,3.28,0.998,1.346,0,0,0
6.745,0,30,3.535,0.838,1.214,0,0,0
7.064,0,30,3.595,0.898,1.354,0,0,0
6.742,0,13,2.691,1.029,1.868,0,0,0
6.475,0,18,2.757,0.928,1.492,0,0,0
6.427,0,14,3.255,0.85,1.202,0,0,0
6.502,0,13,2.568,0.905,1.852,0,0,0
6.951,0,19,2.861,0.786,2.121,0,0,0
5.931,0,12,2.585,0.907,1.323,0,0,0
6.654,0,15,3.113,0.869,1.488,0,0,0
6.932,0,12,3.441,0.918,1.423,0,0,0
6.515,0,16,2.976,0.887,1.494,0,0,0
6.802,0,13,2.798,0.805,2.035,0,0,0
6.711,0,14,2.852,0.94,1.737,0,0,0
6.442,0,14,3.105,0.874,1.333,0,0,0
6.168,0,12,2.554,0.832,1.689,0,0,0
6.238,0,18,2.747,0.915,1.378,0,0,0
6.9,0,20,3.616,0.896,1.265,0,0,0
5.572,0,13,2.326,0.873,1.289,0,0,0
6.416,0,11,3.12,0.895,1.258,0,0,0
6.433,0,17,3.152,0.84,1.21,0,0,0
6.607,0,17,2.827,0.884,1.631,0,0,0
6.792,0,16,3.221,0.888,1.474,0,0,0
6.321,0,14,2.634,0.937,1.605,0,0,0
6.553,0,15,3.122,0.886,1.369,0,0,0
5.913,0,14,2.616,0.828,1.318,0,0,0
7.043,0,28,3.21,1.201,1.484,0,0,0
7.455,0,27,3.502,0.805,1.954,0,0,0
7.418,0,23,3.416,0.795,1.698,0,0,0
6.516,0,25,3.226,0.91,1.267,0,0,0
6.649,0,27,2.954,0.783,1.766,0,0,0
7.376,0,27,3.796,0.897,1.471,0,0,0
6.815,0,20,3.262,0.807,1.694,0,0,0
6.029,0,18,2.595,0.893,1.412,0,0,0
6.562,0,23,2.991,0.966,1.415,0,0,0
6.257,0,14,2.953,0.784,1.424,0,0,0
6.576,0,16,3.273,0.894,1.389,0,0,0
7.37,0,30,3.807,0.892,1.483,0,0,0
6.653,0,23,2.914,0.913,1.671,0,0,0
7.291,0,24,3.617,1.118,1.363,0,0,0
7.087,0,26,3.34,0.817,1.761,0,0,0
6.945,0,29,3.385,0.882,1.469,0,0,0
6.882,0,26,3.219,0.799,1.724,0,0,0
6.782,0,27,3.34,0.779,1.46,0,0,0
7.229,0,29,3.67,0.883,1.47,0,0,0
6.874,0,29,3.618,0.772,1.409,0,0,0
6.803,0,28,3.46,0.848,1.328,0,0,0
7.769,0,29,3.886,0.876,1.742,0,0,0
7.033,0,33,3.664,0.789,1.354,0,0,0
8.056,0,37,4.266,0.96,1.497,0,0,0
7.191,0,29,3.864,0.851,1.281,0,0,0
6.782,0,27,3.426,0.875,1.349,0,0,0
7.218,0,23,3.42,0.879,1.735,0,0,0
6.121,0,18,2.705,0.908,1.428,0,0,0
7.081,0,23,3.308,0.82,1.787,0,0,0
6.448,0,19,3.15,0.858,1.344,0,0,0
6.25,0,18,2.943,0.894,1.356,0,0,0
6.957,0,23,3.202,0.778,1.846,0,0,0
7.364,0,23,3.467,1.033,1.668,0,0,0
7.526,0,22,3.712,0.866,1.743,0,0,0
6.48,0,22,3.054,0.843,1.413,0,0,0
7.549,0,27,3.633,1.211,1.521,0,0,0
6.795,0,24,3.146,0.76,1.743,0,0,0
7.267,0,28,3.566,1.058,1.49,0,0,0
7.062,0,29,3.659,0.895,1.327,0,0,0
7.225,0,34,3.632,0.85,1.521,0,0,0
7.416,0,29,3.396,0.975,1.864,0,0,0
6.354,0,26,2.701,0.989,1.575,0,0,0
6.805,0,27,3.442,0.889,1.303,0,0,0
6.217,0,22,2.569,0.89,1.695,0,0,0
6.609,0,24,3.192,0.923,1.441,0,0,0
6.417,0,30,3.311,0.845,1.2,0,0,0
6.376,0,34,3.051,0.853,1.39,0,0,0
6.628,0,24,3.165,0.918,1.378,0,0,0
6.634,0,34,3.373,0.845,1.247,0,0,0
6.977,0,35,3.449,1.016,1.384,0,0,0
7.441,0,33,3.976,0.873,1.442,0,0,0
5.865,0,17,2.594,0.885,1.228,0,0,0
8.052,0,36,3.967,1.02,1.86,0,0,0
8.29,0,35,4.102,1.106,1.76,0,0,0
7.927,0,37,4.236,0.89,1.586,0,0,0
7.594,0,31,4.129,0.837,1.397,0,0,0
7.977,0,37,4.535,0.769,1.291,0,0,0
8.69,0,45,5.025,0.901,1.518,0,0,0
8.951,0,37,4.992,0.841,1.756,0,0,0
8.423,0,34,4.124,1.111,1.904,0,0,0
9.22,0,44,5.451,0.848,1.704,0,0,0
8.386,0,34,4.081,1.105,1.879,0,0,0
8.447,0,40,4.75,0.886,1.486,0,0,0
9.061,0,43,5.478,0.804,1.474,0,0,0
7.64,0,29,3.726,1.06,1.582,0,0,0
7.282,0,30,4.011,0.807,1.273,0,0,0
7.478,0,24,3.515,1.113,1.619,0,0,0
7.125,0,26,3.519,0.765,1.599,0,0,0
7.024,0,23,3.489,0.82,1.41,0,0,0
7.724,0,34,4.211,0.886,1.388,0,0,0
8.495,0,35,4.32,1.182,1.699,0,0,0
7.746,0,29,4.165,0.772,1.482,0,0,0
7.038,0,22,3.595,0.865,1.416,0,0,0
7.188,0,22,3.321,0.933,1.631,0,0,0
7.403,0,20,3.635,0.988,1.461,0,0,0
6.747,0,23,3.346,0.829,1.355,0,0,0
7.432,0,19,3.548,0.913,1.843,0,0,0
7.072,0,15,3.12,0.831,1.586,0,0,0
7.501,0,27,4.075,0.823,1.319,0,0,0
7.165,0,31,3.664,0.898,1.454,0,0,0
7.689,0,32,4.126,0.813,1.439,0,0,0
6.755,0,25,3.115,0.928,1.559,0,0,0
6.996,0,26,3.432,0.834,1.523,0,0,0
7.066,0,24,3.34,0.809,1.634,0,0,0
6.786,0,23,3.188,0.859,1.532,0,0,0
6.46,0,20,2.74,0.85,1.65,0,0,0
7.787,0,34,4.061,0.813,1.629,0,0,0
7.748,0,30,3.643,0.802,2.196,0,0,0
6.87,0,27,3.354,0.798,1.581,0,0,0
6.864,0,24,3.209,0.865,1.638,0,0,0
6.779,0,25,3.432,0.843,1.304,0,0,0
7.151,0,21,3.058,0.845,2.068,0,0,0
7.112,0,18,3.343,0.872,1.738,0,0,0
6.559,0,20,2.813,0.92,1.621,0,0,0
7.113,0,21,3.459,0.883,1.503,0,0,0
7.177,0,21,3.597,0.771,1.661,0,0,0
6.518,0,18,3.093,0.92,1.373,0,0,0
6.712,0,17,2.939,0.762,1.837,0,0,0
6.811,0,18,2.785,1.374,1.51,0,0,0
6.948,0,20,3.601,0.858,1.314,0,0,0
