Cost reduction,Final cost,Optimisation time (ms),Number iterations,Average num dofs,Average percent derivs,Total time derivs (ms),Total time keypoints (ms),Total time FD (ms),Total time interpolation (ms),Total time cost derivs (ms),Total time BP (ms),Total time FP (ms)
0.98353,0.655241,71.335,7,2,0.171429,15,0,2,0,9,4,32
0.765976,0.41721,65.517,7,2,0.2,15,0,2,0,7,0,31
0.774063,0.682786,56.822,7,2,0.114286,10,0,1,0,6,3,32
0,19.5842,45.28,7,2,0.0285714,3,0,1,0,1,5,26
0.679528,0.348041,63.456,7,2,0.171429,13,0,1,0,8,2,33
0.975082,0.755261,59.584,7,2,0.142857,10,0,0,0,7,2,31
0.943516,9.07406,52.97,7,2,0.0857143,7,0,1,0,4,3,30
0.838899,3.04558,64.933,7,2,0.171429,12,0,2,0,6,2,34
0.834967,20.1352,59.347,7,2,0.142857,10,0,0,0,6,1,32
0.850322,16.4709,62.847,7,2,0.171429,13,0,0,0,7,1,31
0.900821,15.9935,57.789,7,2,0.142857,10,0,0,0,6,2,30
0.684185,5.53025,52.698,7,2,0.0857143,6,0,0,0,3,5,30
0.852703,0.0465393,59.556,7,2,0.142857,10,0,0,0,6,3,31
0.697962,0.237163,63.844,7,2,0.171429,13,0,1,0,8,1,32
0.909848,12.0704,67.127,7,2,0.2,14,0,1,0,10,0,32
0.766764,34.6015,60.565,7,2,0.142857,11,0,1,0,5,2,31
0.636449,0.64403,60.056,7,2,0.142857,10,0,0,0,5,2,31
0.799074,0.433136,54.936,7,2,0.114286,8,0,1,0,5,3,28
0.590552,50.6769,48.453,7,2,0.0571429,4,0,0,0,2,6,29
0.643603,49.9097,48.378,7,2,0.0571429,4,0,0,0,3,4,28
0.774277,33.3263,46.309,7,2,0.0571429,4,0,0,0,3,4,28
0.914869,3.3338,57.136,7,2,0.114286,8,0,0,0,5,2,32
0,6.85655,45.128,7,2,0.0285714,2,0,0,0,1,5,27
0.964666,1.43491,66.705,7,2,0.2,14,0,0,0,9,0,33
0.816985,7.24146,61.021,7,2,0.142857,10,0,1,0,6,2,33
0.961636,0.973912,67.786,7,2,0.2,14,0,0,0,8,0,34
0.893849,16.4086,52.124,7,2,0.0857143,8,0,2,0,4,4,29
0.975707,0.983957,67.906,7,2,0.2,14,0,0,0,9,0,33
0.800844,32.0835,55.365,7,2,0.114286,9,0,1,0,6,3,30
0.903456,15.5183,59.088,7,2,0.142857,11,0,1,0,6,2,31
0.565509,0.0614144,53.751,7,2,0.114286,8,0,1,0,4,3,29
0.772014,0.171922,59.54,7,2,0.142857,10,0,0,0,5,3,31
0.956067,1.34859,67.886,7,2,0.2,15,0,1,0,8,0,34
0.428923,7.81678,49.15,7,2,0.0571429,5,0,1,0,2,3,29
0.726876,0.613726,62.145,7,2,0.171429,13,0,2,0,6,1,31
0.692972,0.852282,64.289,7,2,0.2,14,0,1,0,7,0,30
0.7748,9.10272,51.118,7,2,0.0857143,6,0,0,0,3,4,27
0.56692,3.1373,50.803,7,2,0.0857143,7,0,1,0,3,4,28
0.962736,1.49837,76.83,8,2,0.2,18,0,1,0,8,2,38
0.687055,47.6283,51.5,7,2,0.0857143,6,0,0,0,4,4,27
0.746816,39.0035,55.594,7,2,0.114286,8,0,0,0,4,3,30
0.52984,6.00167,55.933,7,2,0.114286,10,0,2,0,6,4,28
0.551024,13.2572,54.393,7,2,0.0857143,6,0,1,0,3,4,30
0.686991,2.56835,56.352,7,2,0.114286,8,0,0,0,5,3,31
0.743639,4.08518,59.507,7,2,0.142857,10,0,1,0,5,2,31
0.616121,11.3386,48.509,7,2,0.0571429,4,0,0,0,3,4,28
0.898084,16.3768,61.419,7,2,0.171429,12,0,0,0,8,1,28
0.248869,3.0791,61.026,8,2,0.1,8,0,0,0,5,4,32
0,128.816,45.971,7,2,0.0285714,2,0,0,0,2,6,29
0.89141,16.816,61.792,8,2,0.1,8,0,0,0,4,3,34
0.774474,33.5022,61.543,7,2,0.171429,12,0,1,0,7,1,30
0.741886,41.4898,63.609,7,2,0.171429,13,0,0,0,7,1,34
0.957872,1.72442,68.792,7,2,0.2,15,0,1,0,8,1,35
0.711797,10.1154,68.439,9,2,0.111111,10,0,0,0,5,4,38
0,25.7262,47.252,7,2,0.0285714,2,0,0,0,1,5,30
