Cost reduction,Final cost,Optimisation time (ms),Number iterations,Average num dofs,Average percent derivs,Total time derivs (ms),Total time keypoints (ms),Total time FD (ms),Total time interpolation (ms),Total time cost derivs (ms),Total time BP (ms),Total time FP (ms)
0.295846,0.965035,1417.52,7,31,1.07972,476,1,166,22,276,343,539
0.496468,0.952755,1899.52,9,31,1.33763,669,1,256,33,370,449,711
0.0768232,4.34555,1160.82,7,31,1.04286,306,1,149,11,140,350,449
0,9.54455,941.907,7,31,0.309217,98,1,46,3,46,350,438
0.312598,0.994566,1357.69,7,31,0.965438,414,1,151,19,234,342,540
0.568695,5.73884,1648.2,8,31,1.97258,598,1,284,22,282,389,599
0.372957,2.08573,1371.95,7,31,1.76544,443,1,233,14,188,346,526
0.399457,1.36359,1393.3,7,31,1.10461,435,1,168,21,234,352,545
0.33199,3.27407,1278.6,7,31,0.999539,351,1,140,14,188,357,512
0.315152,2.35367,1552.99,8,31,1.10444,511,1,195,21,282,390,589
0.485627,1.23509,1566.22,8,31,0.950403,483,1,165,24,283,393,624
0.0268884,3.10841,1124.03,7,31,0.413364,164,1,59,8,94,350,550
0.131321,1.08391,1393.34,7,31,0.959908,420,1,155,18,237,349,563
0.588407,1.1499,1718.45,7,31,3.00461,726,1,406,20,286,344,590
0.329497,2.51061,1347.48,7,31,1.03548,360,1,146,17,191,351,574
0.470664,1.4273,1402.9,7,31,1.38387,468,1,203,20,239,350,522
0.519559,1.90674,1948.96,8,31,2.74476,841,1,414,31,383,385,652
0.609207,1.43824,2111.69,10,31,1.87,786,1,359,28,384,488,767
0.0565278,14.4193,1277.03,7,31,0.986175,357,1,142,13,193,343,516
0,3.46723,1042.75,7,31,0.226728,86,1,32,4,48,370,530
0.310172,5.88114,1349.99,7,31,1.29954,408,1,194,15,192,358,520
0.153544,6.01914,1196.25,7,31,0.952995,300,1,140,9,144,349,486
0.416407,0.813546,1463.96,7,31,1.54516,485,1,217,20,241,361,552
0.843021,1.59644,2072.33,9,31,2.03513,874,1,391,29,434,433,697
0.347749,1.02714,1457.19,7,31,1.03779,487,1,165,23,288,338,560
0.378118,2.87353,1580.61,7,31,2.30876,644,1,322,23,289,339,535
0.755557,0.815473,1551.35,7,31,2.00323,599,1,275,19,290,340,547
0.489325,2.33426,1751.77,7,31,3.57419,789,1,465,19,291,343,553
0.531361,1.50508,1237.57,7,31,1.20323,331,1,171,11,144,346,500
0.475785,0.992717,1543.59,7,31,1.3447,539,1,214,23,290,361,575
0.00993416,1.29809,1131.43,7,31,0.333641,158,1,50,8,96,369,546
0.427291,1.08224,1983.66,9,31,1.37384,721,1,286,33,386,465,725
0.179181,2.53243,1233.09,7,31,0.895853,286,1,124,10,145,346,541
0.670281,3.98985,1487.68,7,31,2.13594,545,1,275,17,242,349,532
0.372475,3.23005,1481.1,7,31,2.39078,537,1,322,14,194,346,533
0.302348,1.51378,1170.46,7,31,0.463134,175,1,67,8,97,351,578
0.11121,3.37231,1158.77,7,31,0.439171,182,1,71,7,99,347,569
0.21551,1.22652,1221.72,7,31,0.641014,264,1,102,10,147,350,548
0.730334,1.03946,1431.9,7,31,1.38618,473,1,205,18,241,362,534
0.254262,12.5421,1363.14,7,31,1.48894,422,1,205,15,194,357,525
0,6.6893,998.497,7,31,0.440092,117,1,63,3,48,354,467
0.428058,1.67006,1400.02,7,31,1.67281,462,1,246,13,193,345,533
0.294154,4.00237,1680.62,7,31,2.14562,681,4,333,23,315,359,572
0,2.47348,997.872,7,31,0.329954,99,1,45,4,48,353,491
0.621089,1.19549,1716.94,7,31,2.26359,688,4,336,25,315,359,601
0.466159,0.99134,1481.27,7,31,1.13318,459,2,174,21,254,351,603
0.057642,9.03194,1283.45,7,31,0.831797,298,2,130,11,150,345,577
0.176643,2.32593,1266.5,7,31,0.653456,265,2,98,12,148,350,593
0.507739,2.74325,1715.79,7,31,2.43456,653,3,358,20,266,357,637
0.445958,1.19114,1272.52,7,31,0.681567,264,1,101,11,147,347,600
0.397672,1.7553,1198.95,7,31,0.567281,256,1,91,12,146,347,535
0.106667,1.25685,1625.17,7,31,1.45253,572,4,235,24,301,350,634
0.330295,2.23084,1482.54,7,31,1.8659,500,3,270,15,209,352,567
