Cost reduction,Final cost,Optimisation time (ms),Number iterations,Average num dofs,Average percent derivs,Total time derivs (ms),Total time keypoints (ms),Total time FD (ms),Total time interpolation (ms),Total time cost derivs (ms),Total time BP (ms),Total time FP (ms)
0.879815,3.07397,40.141,6,9,21,19,0,10,0,6,1,6
0.857474,3.24583,39.959,6,9,34,20,0,14,0,6,0,6
0.922494,2.43034,33.822,6,9,21.5,14,0,7,0,6,0,7
0.942769,2.11045,28.447,6,9,15.6667,12,0,7,0,4,0,6
0.890548,2.42129,36.252,6,9,22.3333,17,0,10,0,5,0,6
0.911243,3.21091,29.424,6,9,14.1667,12,0,7,0,4,0,7
0.817329,5.02395,35.057,6,9,20.8333,17,0,9,0,4,0,8
0.939229,1.6697,36.865,6,9,27.1667,19,0,11,0,6,0,6
0.944461,1.26907,39.17,6,9,28,20,0,12,0,6,0,6
0.874797,4.98201,33.187,6,9,25.3333,16,0,9,0,5,0,6
0.833648,3.93637,39.626,6,9,35.6667,21,0,14,0,6,0,6
0.900029,2.275,32.278,6,9,22.6667,14,0,9,0,4,0,6
0.832671,4.23024,32.939,6,9,21,16,0,9,0,6,0,6
0.842896,4.36422,29.424,6,9,15.3333,12,0,5,0,6,0,6
0.945868,2.25394,34.565,6,9,26.5,17,0,10,0,5,0,6
0.901689,2.42215,32.247,6,9,25.3333,15,0,9,0,4,0,6
0.45399,30.2077,29.88,6,9,16.8333,13,0,7,0,3,0,6
0.848361,4.95647,30.954,6,9,17.5,14,0,8,0,5,0,6
0.492135,20.9075,28.866,6,9,19.5,12,0,8,0,4,0,6
0.604587,9.5565,31.374,6,9,24.1667,14,0,10,0,4,0,7
0.816568,6.35191,25.964,6,9,12.1667,9,0,5,0,4,0,6
0.706353,7.56417,29.459,6,9,13.6667,11,0,6,0,5,0,6
0.937568,2.20656,35.679,6,9,24.6667,17,0,10,0,6,0,6
0.958498,1.35592,33.475,6,9,21.3333,15,0,10,0,5,0,7
0.887175,3.37668,28.927,6,9,18,12,0,8,0,4,0,6
0.64165,15.4234,32.013,6,9,14.3333,14,0,8,0,5,0,6
0.804683,4.78072,36.646,6,9,25.6667,19,0,11,0,5,1,6
0.947341,1.82627,28.358,6,9,13.6667,11,0,6,0,4,0,6
0.903268,2.83447,28.396,6,9,14.1667,11,0,7,0,3,0,8
0.872221,2.5969,37.876,6,9,26.6667,19,0,12,0,6,0,6
0.823256,3.30764,32.445,6,9,13,15,0,8,0,5,0,6
0.73441,6.36585,33.739,6,9,23.3333,17,0,11,0,5,0,6
0.933012,2.81661,27.664,6,9,16,10,0,7,0,2,0,6
0.901287,4.21194,29,6,9,16.8333,12,0,8,0,4,1,6
0.907542,2.66674,36.388,6,9,28.3333,19,0,13,0,6,0,6
0.943296,2.08034,33.882,6,9,19.5,15,0,9,0,4,0,6
0.929181,2.44349,35.938,6,9,27.8333,17,0,11,0,6,0,6
0.867816,5.03119,35.461,6,9,23.1667,16,0,9,0,7,0,6
0.709472,6.55476,34.641,6,9,23.6667,16,0,9,0,6,0,6
0.922452,2.72918,35.636,6,9,25.3333,18,0,11,0,6,0,6
