Cost reduction,Final cost,Optimisation time (ms),Number iterations,Average num dofs,Average percent derivs,Total time derivs (ms),Total time keypoints (ms),Total time FD (ms),Total time interpolation (ms),Total time cost derivs (ms),Total time BP (ms),Total time FP (ms)
0.995345,1.6395,10.164,1,2,0.4,1.354,0.016,0.388,0.014,0.933,0.428,2.359
0.885238,2.88797,13.492,1,2,0.4,2.624,0.031,0.811,0.033,1.747,0.69,3.194
0.70905,6.29952,8.401,1,2,0.4,1.905,0.015,0.666,0.019,1.203,0.572,2.328
0,12.516,6.421,1,2,0.4,1.736,0.01,0.783,0.017,0.924,0.441,2.021
0.873561,0.504724,6.515,1,2,0.4,1.304,0.01,0.298,0.013,0.981,0.356,2.224
0.98884,2.45542,6.101,1,2,0.4,1.474,0.009,0.411,0.016,1.035,0.422,1.989
0.93063,107.301,7.55,1,2,0.4,1.56,0.01,0.502,0.012,1.033,0.419,3.123
0.934866,3.6103,6.898,1,2,0.4,1.656,0.01,0.633,0.014,0.997,0.432,2.168
0.806466,216.66,6.762,1,2,0.4,1.352,0.013,0.374,0.015,0.948,0.456,2.323
0.548756,357.172,5.99,1,2,0.4,1.442,0.009,0.399,0.013,1.02,0.42,1.916
0.732462,378.156,6.589,1,2,0.4,1.889,0.009,0.718,0.012,1.148,0.43,1.968
0.0374499,14.6419,6.566,1,2,0.4,1.337,0.01,0.346,0.013,0.965,0.359,2.224
0.902278,0.0305973,6.668,1,2,0.4,1.422,0.009,0.433,0.014,0.965,0.437,2.284
0.87542,0.28635,6.408,1,2,0.4,1.52,0.009,0.43,0.013,1.066,0.429,2.187
0.619243,494.331,6.68,1,2,0.4,1.393,0.01,0.322,0.013,1.045,0.425,2.392
0.736418,376.465,6.605,1,2,0.4,1.422,0.011,0.339,0.014,1.056,0.455,2.087
0.880614,0.623792,7.098,1,2,0.4,1.592,0.01,0.549,0.015,1.015,0.439,2.305
0.709694,4.6937,6.505,1,2,0.4,1.575,0.009,0.529,0.014,1.021,0.432,2.008
0,521.902,5.742,1,2,0.4,1.34,0.009,0.304,0.013,1.012,0.417,2.005
0.686869,234.028,6.463,1,2,0.4,1.438,0.009,0.425,0.012,0.99,0.425,2.075
0.832547,241.299,6.996,1,2,0.4,1.739,0.01,0.345,0.013,1.37,0.386,2.542
0.978546,6.30455,6.383,1,2,0.4,1.522,0.009,0.339,0.013,1.158,0.358,2.289
