Cost reduction,Final cost,Optimisation time (ms),Number iterations,Average num dofs,Average percent derivs,Total time derivs (ms),Total time keypoints (ms),Total time FD (ms),Total time interpolation (ms),Total time cost derivs (ms),Total time BP (ms),Total time FP (ms)
0.333432,44.9423,4559.94,1,55,100,4017.48,0.55,3839.78,0,177.14,389.406,95.373
0.300222,43.736,4363.5,1,55,100,3817.5,0.579,3652.98,0,163.939,399.21,91.174
0.201636,49.5505,4412.18,1,55,100,3874.4,0.588,3708.1,0,165.712,400.425,80.689
0.299719,47.0023,4374.99,1,55,100,3838.1,0.612,3668.36,0,169.128,402.829,77.686
0.132454,60.4069,4623.47,1,55,100,4080.58,0.651,3907.15,0,172.783,399.251,79.962
0.0415366,68.296,4861.18,1,55,100,4293.15,0.64,4115.62,0,176.887,401.025,100.19
0.40165,38.7263,5108.41,1,55,100,4571.78,0.64,4377.2,0,193.939,405.051,71.844
0.363635,42.4976,5232.16,1,55,100,4692.54,0.627,4496.11,0,195.802,402.408,77.964
0.221023,53.7052,5375.38,1,55,100,4824.77,0.652,4629.74,0,194.374,400.974,88.325
0.283786,47.4543,5221.42,1,55,100,4690.09,0.618,4495.9,0,193.565,401.612,72.268
0.235159,49.4555,5242.52,1,55,100,4714.46,1.2,4515.98,0,197.272,398.623,73.18
0.280147,46.3901,5306.9,1,55,100,4778.44,0.612,4588.33,0,189.492,397.847,72.781
0.197154,53.8207,5413,1,55,100,4858.96,0.604,4665.55,0,192.802,400.015,94.589
0.199673,50.672,5204.57,1,55,100,4670.24,0.6,4476.56,0,193.079,401.059,77.003
0.255575,45.1925,5320.38,1,55,100,4788.37,0.625,4600.73,0,187.012,398.21,74.459
0.331433,45.603,5090.65,1,55,100,4548.07,0.596,4361.51,0,185.959,398.613,89.54
0.234495,46.6866,5141.96,1,55,100,4618.12,0.612,4429.27,0,188.227,392.559,74.442
0.313465,43.8697,5413.26,1,55,100,4864.77,0.602,4675.34,0,188.83,395.819,93.758
0.375546,41.521,5071.15,1,55,100,4529.05,0.612,4342.98,0,185.454,397.549,90.011
0.334521,42.5921,5123.44,1,55,100,4573.46,0.584,4387.71,0,185.161,398.561,94.392
0.324057,44.2308,5440.89,1,55,100,4904.87,0.603,4718.56,0,185.705,393.585,82.343
0.185595,50.797,5409.64,1,55,100,4872.54,0.599,4687.01,0,184.925,396.529,78.815
0.27666,44.5685,5220.93,1,55,100,4679.12,0.584,4492.25,0,186.281,394.057,89.699
0.3398,39.9816,5091.8,1,55,100,4553.44,0.602,4365.18,0,187.657,389.99,93.257
0.379014,37.2329,5151.26,1,55,100,4602.5,0.616,4416.12,0,185.752,401.818,91.207
0.209063,50.6961,5201.6,1,55,100,4660.08,0.586,4474.53,0,184.965,391.239,93.676
0.355457,41.565,5097.05,1,55,100,4571.99,0.602,4386.02,0,185.368,397.928,71.406
0.323353,45.3588,5239.69,1,55,100,4690.97,0.615,4506.6,0,183.749,399.805,91.745
0.332721,39.6447,5107.66,1,55,100,4564.5,0.616,4380,0,183.879,399.533,88.961
0.319886,45.6502,5336.22,1,55,100,4779.63,0.602,4593.63,0,185.397,400.692,95.057
0.42379,38.6908,5102.34,1,55,100,4575.63,0.582,4386.26,0,188.781,401.811,70.379
0.0316039,65.8011,5416.36,1,55,100,4857.55,0.607,4671.34,0,185.602,399.898,96.755
0.191643,57.3829,5232.94,1,55,100,4707.39,0.589,4517.26,0,189.542,390.585,76.622
0.288118,38.5663,5091.47,1,55,100,4550.77,0.589,4365,0,185.183,391.537,94.606
0.245567,48.2392,5257.51,1,55,100,4724.52,0.619,4539.51,0,184.386,392.843,80.038
0.298274,44.6841,5097.34,1,55,100,4572.52,0.595,4386.56,0,185.364,394.101,76.283
0.381073,41.7414,5071.17,1,55,100,4551.44,0.595,4366.45,0,184.399,393.923,71.566
0.341112,44.4993,5061.88,1,55,100,4519.67,0.617,4333.23,0,185.82,395.908,91.283
0.191829,53.0805,5162.12,1,55,100,4612.79,0.624,4424.58,0,187.581,395.465,95.519
0.36274,43.5635,5130.47,1,55,100,4580.82,0.616,4394.25,0,185.948,398.506,95.724
0.374233,43.0632,5091,1,55,100,4543.69,0.59,4355.08,0,188.019,402.28,90.47
0.336177,40.0165,5415.31,1,55,100,4857.1,0.602,4672.3,0,184.189,405.068,94.822
0.34576,40.6583,4959.15,1,55,100,4433.86,0.649,4246.62,0,186.584,398.104,71.636
0.404474,40.4543,5085.42,1,55,100,4541.07,0.599,4352.69,0,187.776,402.369,86.528
0.329545,45.2318,5242.9,1,55,100,4708.6,0.617,4520.22,0,187.76,399.753,74.018
0.198369,55.6021,5367.25,1,55,100,4812.55,0.605,4626.99,0,184.945,398.296,97.762
0.265966,42.7908,5197.43,1,55,100,4656.68,0.605,4464.82,0,191.251,390.607,93.006
0.229738,48.1965,5294.4,1,55,100,4759.4,0.629,4564.82,0,193.948,397.736,78.23
0.383402,39.9497,5196.93,1,55,100,4645.78,0.614,4450.48,0,194.682,401.169,92.539
0.239528,49.5194,5302.86,1,55,100,4767.59,0.618,4576.84,0,190.127,399.222,77.831
0.280121,52.2116,5292.07,1,55,100,4757.69,0.623,4563.56,0,193.506,400.823,75.992
0.349032,42.3167,5664,1,55,100,5111.86,0.6,4919.43,0,191.827,399.012,92.962
0.216071,48.2914,5657.32,1,55,100,5118.13,0.615,4927.21,0,190.306,394.636,82.329
0.278391,46.0067,5547.85,1,55,100,4992.77,0.616,4797.25,0,194.895,394.225,98.635
0.359247,44.0458,5227.22,1,55,100,4702.41,0.618,4508.82,0,192.972,395.646,74.001
0.266736,47.3997,5247.49,1,55,100,4696.23,0.625,4499.55,0,196.061,396.786,96.546
0.388244,40.3508,5273.57,1,55,100,4745.43,0.619,4553.29,0,191.514,397.003,74.14
0.256398,50.2651,5367.55,1,55,100,4817.68,0.624,4623.56,0,193.489,397.592,93.613
0.330051,41.2334,5200.56,1,55,100,4666.05,0.644,4474.32,0,191.081,402.872,74.971
0.0765399,67.9164,5424.7,1,55,100,4868.88,0.632,4673.25,0,194.999,399.26,95.544
0.369438,38.6351,5196.97,1,55,100,4668.4,0.647,4473.86,0,193.892,400.458,70.966
0.380236,39.1554,5230.59,1,55,100,4704.39,0.62,4509.6,0,194.169,399.547,70.25
0.335857,42.6221,5450.56,1,55,100,4914.84,0.646,4717.7,0,196.492,399.644,75.083
0.0947647,58.3043,5587.19,1,55,100,5043.45,0.616,4849.4,0,193.427,399.789,79.647
0.318562,45.1349,5255.78,1,55,100,4723.45,0.628,4529.88,0,192.935,397.616,76.658
0.395862,40.2564,5238.47,1,55,100,4688.09,0.642,4492.58,0,194.869,402.756,91.729
0.261903,46.9091,5170.72,1,55,100,4638.35,0.617,4445.95,0,191.777,402.075,73.486
0.289207,43.7504,5178.77,1,55,100,4643.21,0.623,4446.53,0,196.049,400.524,76.224
0.408864,39.4684,5252.42,1,55,100,4718.92,0.62,4525.68,0,192.62,402.116,73.925
0.330004,42.7518,5540.68,1,55,100,5001.57,0.642,4805.13,0,195.793,401.59,77.001
0.307266,46.4306,5377.32,1,55,100,4838.76,0.622,4646.08,0,192.06,403.229,74.391
0.205443,57.1557,5491,1,55,100,4943.5,0.609,4745.96,0,196.929,405.447,80.993
0.142125,59.6557,5406.35,1,55,100,4869.64,0.935,4674.13,0,194.569,398.718,77.945
0.169814,59.3751,5456.91,1,55,100,4895.18,0.626,4702.87,0,191.677,402.37,97.572
0.336275,45.4359,5239.4,1,55,100,4704.44,0.657,4510.15,0,193.633,401.49,75.655
0.223833,53.9406,5326.19,1,55,100,4781.41,0.663,4586.9,0,193.848,403.565,81.744
0.315917,45.4883,5206.91,1,55,100,4671.36,0.628,4477.42,0,193.306,399.891,77.682
0.197867,53.211,5450.3,1,55,100,4876.68,0.607,4684.89,0,191.18,409.568,103.489
0.378296,41.288,5338.54,1,55,100,4777.43,0.633,4586.18,0,190.621,403.457,99.825
0.212374,55.7008,5345.58,1,55,100,4788.92,0.64,4593.78,0,194.493,396.076,102.426
0.289338,45.3524,5665.23,1,55,100,5130.48,0.635,4936.48,0,193.366,393.693,78.433
0.267594,49.9024,5352.45,1,55,100,4813.12,0.631,4618.53,0,193.95,404.895,75.193
0.312928,44.8663,5480,1,55,100,4946.26,0.717,4751.09,0,194.447,391.815,81.077
0.234839,49.8902,5213.43,1,55,100,4661.28,0.622,4468.16,0,192.493,398.224,97.157
0.334447,40.193,5213.35,1,55,100,4684.68,0.625,4487.89,0,196.163,395.895,75.368
0.318153,40.3918,5268.55,1,55,100,4707.87,0.79,4515.48,0,191.598,397.447,95.338
0.306741,44.8002,5247.45,1,55,100,4726.6,0.638,4533.77,0,192.187,393.912,70.446
0.225557,50.4109,5316.35,1,55,100,4765.48,0.639,4568.99,0,195.849,398.615,95.071
0.165931,60.3807,5803.47,1,55,100,5239.27,0.621,5044.42,0,194.218,402.502,97.387
0.211365,49.5258,5381.89,1,55,100,4824.65,0.642,4634,0,190,404.792,93.191
0.337576,46.4698,5240.57,1,55,100,4688.16,0.608,4493.64,0,193.911,400.135,96.486
0.326968,43.2895,5544.52,1,55,100,4991.63,0.616,4798.71,0,192.302,398.403,91.902
0.313132,42.8925,5334.15,1,55,100,4780.1,0.628,4590.64,0,188.827,397.065,100.384
0.296348,45.0717,5202.37,1,55,100,4652.96,0.622,4458.64,0,193.699,401.936,90.996
0.236018,47.9837,5351.26,1,55,100,4799.58,0.631,4606.69,0,192.258,395.555,98.055
0.234401,48.0439,5316.02,1,55,100,4755.81,0.631,4561.64,0,193.535,405.5,96.261
0.349267,41.7899,5185.34,1,55,100,4661.6,0.625,4469.01,0,191.958,398.826,69.636
0.275145,44.2139,5225.16,1,55,100,4685.13,0.62,4491.69,0,192.816,406.342,76.586
0.224614,48.2257,5661.14,1,55,100,5113.94,0.645,4918.91,0,194.39,405.205,79.23
0.289027,45.0929,5452.27,1,55,100,4894.96,0.614,4700.67,0,193.676,397.346,100.142
