Cost reduction,Final cost,Optimisation time (ms),Number iterations,Average num dofs,Average percent derivs,Total time derivs (ms),Total time keypoints (ms),Total time FD (ms),Total time interpolation (ms),Total time cost derivs (ms),Total time BP (ms),Total time FP (ms)
0.407199,22.316,468.725,1,13,100,395.056,0.06,376.241,0,18.752,15.923,29.563
0.294732,32.448,446.487,1,13,100,368.42,0.064,350.248,0,18.106,15.832,33.955
0.218366,30.8779,496.876,1,13,100,419.09,0.069,400.789,0,18.23,15.872,32.107
0.210693,32.0158,497.659,1,13,100,420.532,0.065,402.24,0,18.224,15.605,32.205
0.0182952,43.5966,444.237,1,13,100,369.118,0.066,350.716,0,18.333,15.723,31.61
0.0396501,39.0725,451.662,1,13,100,377.711,0.063,359.687,0,17.953,15.729,30.534
0.468307,25.6912,451.614,1,13,100,378.971,0.066,360.456,0,18.447,15.786,29.526
0.291989,27.3728,497.77,1,13,100,421.226,0.064,401.771,0,19.388,15.566,31.902
0.27212,33.1211,486.972,1,13,100,409.61,0.066,391.232,0,18.31,15.83,32.994
0.062572,40.923,446.134,1,13,100,371.512,0.062,352.448,0,18.999,15.594,30.753
0,43.3247,451.738,1,13,100,378.212,0.068,359.924,0,18.218,15.849,30.656
0.123814,36.6113,463.04,1,13,100,386.921,0.063,368.696,0,18.16,16.102,31.68
0.0678215,43.5267,456.765,1,13,100,380.499,0.068,362.078,0,18.35,16.112,31.822
0.368541,31.2197,451.815,1,13,100,379.083,0.063,360.864,0,18.153,15.964,29.269
0.27725,33.6489,503.701,1,13,100,425.358,0.074,406.844,0,18.437,15.966,32.264
0.3306,28.6998,509.527,1,13,100,431.219,0.066,411.149,0,20.002,16.042,32.264
0.257037,29.3783,513.219,1,13,100,433.628,0.069,415.085,0,18.471,15.897,33.755
0.280202,31.9746,505.284,1,13,100,427.017,0.066,408.393,0,18.556,15.943,31.788
0.271778,28.6146,460.668,1,13,100,386.756,0.077,368.427,0,18.25,16.236,29.609
0.242143,31.9956,488.847,1,13,100,410.815,0.063,392.338,0,18.412,16.141,32.114
0.102002,35.3578,492.882,1,13,100,414.016,0.069,395.15,0,18.794,16.684,32.289
0.283626,32.6279,498.437,1,13,100,418.743,0.07,400.182,0,18.488,16.465,32.97
0.433298,24.4595,501.29,1,13,100,423.332,0.069,404.959,0,18.301,16.508,31.527
0.227321,33.3816,502.268,1,13,100,421.827,0.073,403.277,0,18.475,16.513,33.589
0.247371,33.6948,455.685,1,13,100,381.022,0.068,362.091,0,18.861,16.552,29.762
0.463047,25.6796,448.65,1,13,100,372.613,0.066,353.955,0,18.59,16.638,30.997
0.330492,25.9918,459.067,1,13,100,381.653,0.069,363.301,0,18.281,16.64,30.623
