Cost reduction,Final cost,Optimisation time (ms),Number iterations,Average num dofs,Average percent derivs,Total time derivs (ms),Total time keypoints (ms),Total time FD (ms),Total time interpolation (ms),Total time cost derivs (ms),Total time QP (ms),Total time FP (ms)
0.693278,20.6802,28924.7,6,55,100,25896.2,3.636,24826.2,0,1066.31,0,606.535
0.447208,34.5494,22512.3,5,55,80,19971.2,2.721,19187.5,0,780.937,0,465.753
0.745609,15.7888,53717.5,9,55,100,49125.4,6.295,47361.5,0,1757.55,0,941.038
0.609457,26.2129,40182.4,7,55,100,36654.6,4.725,35298.5,0,1351.35,0,710.7
0.856659,9.98076,57587.2,10,55,100,52257,6.898,50329.8,0,1920.27,0,1043.22
0.828429,12.2254,54149.5,9,55,100,49502,6.122,47758.2,0,1737.61,0,1022.54
0.685224,20.3729,26497.4,5,55,100,23952.6,3.194,22983.9,0,965.523,0,498.135
0.852437,9.85451,52365.6,9,55,100,47737.2,6.236,45997.1,0,1733.88,0,924.38
0.818486,12.5141,34993.3,6,55,100,31851.8,4.057,30692.4,0,1155.33,0,601.559
0.543983,30.2144,27576,5,55,100,25001.1,3.282,24036.9,0,960.963,0,500.862
0.730649,17.4165,45184.4,8,55,100,41210.7,5.406,39657.4,0,1547.9,0,744.184
0.800938,12.8283,43373.4,8,55,100,39331,5.435,37788.1,0,1537.43,0,700.34
0.197154,53.8207,12561.9,5,55,40,10003.5,1.356,9618.7,0,383.444,0,460.679
0.820232,11.3819,57341.1,10,55,100,52245.3,6.93,50313.9,0,1924.35,0,1040.47
0.437103,34.1723,23006.2,5,55,80,20464.8,2.697,19684,0,778.073,0,475.658
0.452244,37.3625,22054.2,5,55,80,19600.1,2.682,18826.7,0.005,770.697,0,422.296
0.633115,22.3756,38612.4,7,55,100,35053.9,4.916,33686.3,0,1362.6,0,694.531
0.883591,7.43855,58306.4,10,55,100,53170.5,6.87,51227.9,0,1935.61,0,1101.11
0.72145,18.5212,42713.3,8,55,100,38748.8,5.426,37197.4,0,1545.94,0,712.545
0.807156,12.3425,39461,7,55,100,35917.5,4.793,34558.6,0,1354.08,0,694.45
0.381511,40.4713,24111.1,6,55,66.6667,21034.3,2.695,20271.1,0,760.459,0,603.238
0.775127,14.0261,46782.9,9,55,88.8889,42205.6,6.009,40656.2,0,1543.45,0,883.26
0.804392,12.0523,53093,9,55,100,48373.5,6.275,46632.5,0,1734.71,0,1009.86
0.764647,14.2529,27756.3,5,55,100,25140.1,3.377,24167.7,0,968.996,0,510.553
0.790823,12.5418,54973.3,10,55,100,50029.7,7.168,48088.9,0,1933.55,0,882.909
0.517614,30.9191,32973.2,6,55,100,29929.2,4.298,28764.9,0,1159.94,0,544.053
0.600304,25.7754,26921.7,5,55,100,24430.8,3.482,23461.8,0,965.51,0,405.642
0.82167,11.9543,39440.2,7,55,100,35827.7,4.695,34470.9,0,1352.06,0,719.566
0.749685,14.8718,38757.8,7,55,100,35243.7,4.796,33882.8,0,1356.02,0,649.308
0.562377,29.3738,34168.4,6,55,100,31134.9,4.089,29980.9,0,1149.86,0,597.741
0.902527,6.54505,44581.2,8,55,100,40620.2,5.645,39066.6,0,1547.94,0,733.982
0.861008,9.44429,58982.2,10,55,100,53840.9,7.421,51888.3,0,1945.2,0,1066.23
0.824049,12.4903,53612.4,9,55,100,48998.4,6.43,47254.8,0,1737.13,0,969.112
0.733437,14.4411,44735.7,8,55,100,40673.2,6.028,39136.4,0,1530.74,0,789.837
0.808095,12.2706,46557.8,8,55,100,42399.2,5.446,40829.4,0,1564.34,0,844.393
0.862006,8.78707,58742.1,10,55,100,53629.1,6.913,51689.8,0,1932.35,0,1060.06
0.877749,8.24483,55777.7,10,55,100,50727.9,6.943,48779.4,0,1941.59,0,1005.66
0.821992,12.0221,55665.6,10,55,100,50498.2,7.095,48570.1,0,1921.01,0,981.472
0.609038,25.6783,28667.4,5,55,100,26062.2,3.85,25101.6,0,956.72,0,514.425
0.787778,14.5076,55651.2,10,55,100,50657.2,7.016,48719.5,0,1930.69,0,958.803
0.660379,23.3716,26986,5,55,100,24494.4,3.451,23527.8,0,963.04,0,430.694
0.729475,16.3077,35192.1,6,55,100,32005.8,4.169,30835.2,0,1166.39,0,597.45
0.782864,13.4941,31810.4,6,55,100,28836,4.069,27673.2,0,1158.68,0,538.656
0.713317,19.4745,50196.6,10,55,90,45167.7,6.353,43434.7,0,1726.53,0,969.152
0.71658,19.1207,39543.1,7,55,100,36002.5,4.854,34646.4,0,1351.25,0,680.234
0.67739,22.3767,36432.9,6,55,100,33289.8,4.129,32132.1,0,1153.51,0,692.541
0.839415,9.36136,57421.6,10,55,100,52416.5,7.117,50487.9,0,1921.55,0,979.306
0.739166,16.3208,34287.5,6,55,100,31124.2,4.092,29964.6,0,1155.44,0,578.159
0.498056,32.5211,26750.4,6,55,83.3333,23707.5,3.612,22733.1,0,970.689,0,571.576
0.835145,10.7348,51841.5,9,55,100,47219.1,6.288,45491.2,0,1721.62,0,922.013
0.713423,20.7849,33468.8,6,55,100,30449,4.215,29291,0,1153.7,0,576.088
0.356304,41.8441,18251.2,6,55,50,15341.1,2.151,14769.3,0,569.658,0,495.34
0.846555,9.45251,42157.8,7,55,100,38599,4.912,37239,0,1355.05,0,711.832
0.637751,23.0955,35149.4,6,55,100,32096.8,4.629,30933.6,0,1158.57,0,587.995
0.902645,6.69222,57067.1,10,55,100,51936.5,6.815,49996.1,0,1933.5,0,1056.74
0.587986,26.6335,34622.3,6,55,100,31534.4,4.187,30368.2,0,1162.03,0,627.855
0.7345,17.5121,32815.8,6,55,100,29803.5,4.084,28644.9,0,1154.58,0,563.998
0.810383,12.8175,45263.9,8,55,100,41262.3,5.727,39704.4,0,1552.06,0,750.509
0.73145,16.5285,56497,10,55,100,51348.1,7.071,49412.3,0,1928.68,0,935.891
0.823015,13.0165,46709.4,9,55,88.8889,42141,5.679,40592.4,0,1542.85,0,910.615
0.92368,4.6762,51278,9,55,100,46716.3,6.28,44959.7,0,1750.37,0,925.769
0.715878,17.9503,21670.9,5,55,80,19158.8,2.72,18388.1,0,768.035,0,426.448
0.59144,26.2198,33344.1,6,55,100,30312.6,4.313,29152.8,0,1155.46,0,565.466
0.317066,43.9863,28969.8,5,55,100,26431.1,3.524,25463.1,0,964.43,0,483.284
0.815042,12.2507,38784.6,7,55,100,35277.1,5,33914.8,0,1357.32,0,663.231
0.631208,24.5743,26696.1,5,55,100,24223.6,3.431,23262.7,0,957.472,0,404.224
0.872996,8.07167,56586.8,10,55,100,51410.3,7.408,49475.2,0,1927.73,0,1012.03
0.806601,11.904,44737.7,8,55,100,40640.9,5.52,39086.8,0,1548.52,0,839.581
0.817145,12.2087,34029.2,6,55,100,30963.9,4.096,29798.9,0,1160.88,0,624.16
0.741128,16.5184,28653.7,5,55,100,26131.8,3.418,25159.3,0,969.067,0,468.888
0.307314,46.4273,12188.4,5,55,40,9718.87,1.353,9334.73,0,382.786,0,403.916
0.644739,25.5554,29454.1,5,55,100,26888.2,3.421,25920,0,964.801,0,491.083
0.661304,23.5526,23008.6,5,55,80,20416.8,2.833,19641.9,0,772.018,0,458.107
0.618382,27.2934,27684.7,5,55,100,25180.3,3.528,24212.5,0,964.34,0,440.632
0.509231,33.596,40165.9,8,55,87.5,36149.5,4.877,34798.8,0,1345.75,0,792.851
0.500237,34.7316,45627.1,8,55,100,41543.3,5.521,39988.6,0,1549.11,0,795.097
0.569501,28.6261,39901.5,7,55,100,36315.8,4.806,34966.3,0,1344.63,0,721.121
0.667924,22.0289,30158.8,5,55,100,27562.5,3.568,26591.1,0,967.843,0,511.526
0.605753,26.1824,38555.5,7,55,100,34993.8,4.797,33633.4,0,1355.52,0,698.543
0.85189,10.4743,52238.4,9,55,100,47708.3,6.301,45949.5,0,1752.45,0,884.3
0.818307,11.5951,41881,7,55,100,38332.4,5.004,36977.2,0,1350.19,0,700.573
0.490044,34.7457,23220.4,5,55,80,20486.1,2.891,19711.4,0,771.747,0,517.77
0.676086,21.1518,52593.9,9,55,100,47884.3,6.502,46129.6,0,1748.21,0,890.721
0.838666,10.5193,61832.1,10,55,100,56604.3,7.193,54657.6,0,1939.46,0,1138.4
0.43929,33.8615,27601.4,6,55,83.3333,24628,3.55,23661.1,0,963.36,0,512.086
0.669721,19.5653,27856.3,5,55,100,25335.5,3.616,24368.8,0,963.038,0,472.061
0.572405,27.6323,37838.9,8,55,87.5,33822.5,5.516,32460.4,0,1356.55,0,718.931
0.671114,21.4082,39320.4,7,55,100,35800.4,4.903,34454.2,0,1341.18,0,662.841
0.165931,60.3807,13221.8,5,55,40,10603.1,1.414,10216.4,0,385.274,0,466.824
0.416604,36.6369,27495.1,5,55,100,25011.7,3.507,24038.2,0,969.931,0,425.693
0.705525,20.6577,44613.3,8,55,100,40527.4,5.554,38968.9,0,1552.97,0,818.435
0.556132,28.5496,34213.6,6,55,100,31132.1,4.218,29965.7,0,1162.15,0,614.585
0.847843,9.50166,40943.5,7,55,100,37417.4,4.977,36058.7,0,1353.67,0,692.983
0.562793,28.0048,38127,7,55,100,34675.7,4.943,33312.3,0,1358.46,0,630.677
0.883146,7.33932,35089.5,6,55,100,32036.6,4.328,30866.6,0,1165.71,0,589.94
0.782132,13.6719,22729.3,5,55,80,20197.5,2.8,19422.7,0,771.99,0,471.453
0.825503,11.2062,42301.8,8,55,100,38308.2,5.605,36748.5,0,1554.05,0,715.183
0.591562,24.9134,34148.1,7,55,85.7143,30579.5,4.206,29411.9,0,1163.39,0,700.731
0.582775,25.9496,29016.1,5,55,100,26455.8,3.473,25487.4,0,964.929,0,496.344
0.582271,26.4941,28577.8,5,55,100,26062.5,3.576,25097.9,0,961.032,0,462.141
