Cost reduction,Final cost,Optimisation time (ms),Number iterations,Average num dofs,Average percent derivs,Total time derivs (ms),Total time keypoints (ms),Total time FD (ms),Total time interpolation (ms),Total time cost derivs (ms),Total time BP (ms),Total time FP (ms)
0.798535,14.1236,58.23,5,9,1,20.527,0.008,5.355,0.308,14.842,12.595,17.034
0.7236,12.9316,41.126,5,9,0.8,13.608,0.009,4.328,0.216,9.049,8.368,14.282
0.51209,24.8074,59.019,8,9,0.75,20.455,0.018,6.862,0.271,13.292,12.617,21.914
0.828046,27.0254,33.551,5,9,0.6,9.001,0.006,2.252,0.18,6.558,8.385,13.261
0.557113,15.8766,30.957,5,9,0.4,6.929,0.003,2.334,0.094,4.495,7.929,13.563
0.374021,31.1131,36.128,5,9,0.6,10.61,0.003,3.851,0.143,6.605,7.791,14.804
0.666687,12.9487,55.617,7,9,1,21.624,0.013,5.428,0.595,15.574,10.72,18.855
0.7431,14.285,46.34,6,9,0.833333,16.384,0.008,4.873,0.219,11.275,9.579,16.524
0.00137991,21.1574,32.522,5,9,0.4,6.465,0.002,2.118,0.086,4.255,7.976,14.717
0.920047,12.7516,44.765,6,9,0.833333,16.034,0.007,4.753,0.246,11.02,8.914,16.285
0.822763,11.6153,57.902,8,9,0.75,19.983,0.006,6.077,0.297,13.59,12.083,22.278
0.533664,11.8906,37.305,5,9,0.8,13.765,0.008,4.236,0.265,9.248,7.589,12.279
0.542563,16.3755,38.212,5,9,0.8,12.957,0.004,4.062,0.175,8.709,7.495,14.667
0.400474,37.5897,33.845,5,9,0.6,9.775,0.004,2.925,0.16,6.681,8.252,13.058
0.900135,17.3438,38.017,5,9,0.8,13.073,0.004,3.954,0.193,8.917,7.75,13.871
0.632627,10.9707,38.751,5,9,0.8,13.589,0.01,4.573,0.178,8.82,7.61,14.487
0.719163,38.2422,51.119,7,9,0.714286,16.964,0.009,5.864,0.252,10.827,10.91,18.896
0.87417,12.9059,41.547,5,9,1,16.869,0.006,4.71,0.261,11.88,7.7,13.201
0.747056,29.0193,34.481,5,9,0.6,9.734,0.003,3.124,0.128,6.472,7.534,14.296
0.0349609,45.8618,32.877,5,9,0.4,8.227,0.004,3.224,0.141,4.854,7.957,13.46
0.397702,55.9311,35.074,5,9,0.6,9.425,0.004,2.601,0.139,6.675,8.145,14.44
0.624327,11.888,38.296,5,9,0.8,13.741,0.007,4.556,0.242,8.928,8.487,12.955
0.891284,11.7946,37.949,5,9,0.8,12.781,0.004,3.658,0.21,8.901,7.762,14.11
0.84212,16.1066,42.555,5,9,1,17.283,0.009,5.068,0.429,11.77,7.549,14.256
0.781147,20.9696,41.029,5,9,1,15.555,0.008,4.061,0.244,11.23,7.485,14.141
0.236005,93.6115,47.519,6,9,0.833333,17.338,0.012,5.55,0.22,11.547,9.234,17.119
0.682188,33.9109,38.553,5,9,0.8,12.94,0.005,3.338,0.185,9.405,8.337,13.587
0.657817,18.2976,34.317,5,9,0.6,9.632,0.003,3.063,0.167,6.394,7.972,13.809
0.851707,13.8005,39.354,5,9,0.8,13.048,0.009,3.947,0.349,8.734,7.661,14.794
0.0644892,37.1326,34.125,5,9,0.6,9.016,0.003,2.568,0.137,6.302,7.728,14.616
0.838348,11.9362,40.815,5,9,1,16.786,0.007,5.28,0.323,11.166,7.796,12.582
0.608795,15.9472,43.778,6,9,0.666667,13.006,0.006,4.253,0.182,8.557,9.439,18.187
0.919162,11.2962,37.88,5,9,0.8,12.734,0.004,3.819,0.194,8.709,8.167,13.767
0.484684,66.1687,45.886,6,9,0.833333,17.119,0.006,5.565,0.299,11.239,9.566,15.714
0.847465,10.8694,36.995,5,9,0.8,13.018,0.007,3.793,0.27,8.939,7.755,12.759
0.84405,16.2782,40.02,5,9,1,15.142,0.006,3.991,0.257,10.878,7.507,13.844
0.811885,16.489,37.115,5,9,0.8,12.443,0.006,2.968,0.24,9.22,8.035,13.67
0.841515,23.9271,41.501,6,9,0.666667,12.752,0.006,3.608,0.211,8.919,9.773,15.931
0.724295,19.4562,43.192,6,9,0.666667,13.38,0.007,3.932,0.188,9.245,10.137,16.139
0.821824,20.3804,41.628,6,9,0.666667,12.232,0.007,3.265,0.169,8.785,10.19,15.956
0.107346,32.5564,41.026,6,9,0.5,11.199,0.007,4.28,0.17,6.735,10.418,16.137
0.624343,29.9016,53.309,7,9,0.857143,19.18,0.011,5.937,0.261,12.959,11.17,18.241
0.695661,33.3405,37.08,5,9,0.8,12.376,0.005,3.308,0.181,8.873,7.774,13.554
0.520345,26.9716,39.65,5,9,1,15.784,0.007,4.341,0.231,11.197,7.775,12.708
0.883537,11.6409,59.016,8,9,0.75,19.225,0.01,5.909,0.469,12.824,12.716,22.874
0.689508,9.55773,71.892,9,9,1,27.157,0.016,7.014,0.407,19.705,13.614,26.077
0.356231,21.8121,33.951,5,9,0.6,8.961,0.005,2.455,0.137,6.358,8.27,13.765
0.939282,9.50797,51.121,7,9,0.714286,15.976,0.006,4.049,0.237,11.674,11.605,19.998
0.744592,32.7986,36.545,5,9,0.6,10.088,0.004,3.411,0.131,6.537,8.268,15.03
0.370621,23.7168,36.252,5,9,0.8,12.057,0.005,3.104,0.215,8.724,7.626,13.265
0.180718,27.2307,32.001,5,9,0.4,6.998,0.002,2.589,0.098,4.305,8.101,13.956
0.627646,15.3318,42.696,5,9,1,15.822,0.005,4.311,0.226,11.271,8.135,15.156
0.85216,20.8618,37.303,5,9,0.8,12.656,0.006,3.845,0.201,8.595,7.911,13.001
0.80641,12.5048,63.229,8,9,0.875,24.162,0.009,7.768,0.349,16.022,12.85,22.185
0.703981,17.8646,34.625,5,9,0.6,8.935,0.004,2.71,0.133,6.083,8.292,14.151
0.0121689,27.9512,36.459,5,9,0.6,10.837,0.003,3.815,0.14,6.873,7.972,14.415
0.721594,16.9826,50.924,7,9,0.714286,16.597,0.015,4.946,0.218,11.408,10.905,19.863
