Cost reduction,Final cost,Optimisation time (ms),Number iterations,Average num dofs,Average percent derivs,Total time derivs (ms),Total time keypoints (ms),Total time FD (ms),Total time interpolation (ms),Total time cost derivs (ms),Total time QP (ms),Total time FP (ms)
0.843353,7.27734,20048.8,10,31,100,18310.9,2.008,17716.4,0,592.376,0,864.268
0.462766,25.7234,11944.7,5,31,100,11017.3,1.061,10661.1,0,355.195,0,423.453
0.673521,14.8988,10898.9,5,31,100,10007.1,1.061,9653,0,352.99,0,395.092
0.508713,23.9615,11476.3,5,31,100,10584.9,1.194,10231.2,0,352.536,0,390.654
0.865798,6.15439,18907.8,8,31,100,17453.3,1.804,16880.9,0,570.535,0,682.334
0.755238,11.1274,11160.5,6,31,83.3333,10105.1,1.073,9747.47,0,356.577,0,473.949
0.795904,9.65619,11488.5,6,31,83.3333,10434.8,1.062,10079.3,0,354.414,0,477.036
0.781106,9.77626,12015.6,5,31,100,11103.4,1.307,10748.4,0,353.717,0,411.429
0.829296,7.67408,20107.3,9,31,100,18504.7,1.916,17860.6,0,642.173,0,745.235
0.880639,5.14769,17520.1,8,31,100,16125.6,1.706,15554.7,0,569.162,0,626.777
0.680775,14.7614,12041.3,5,31,100,11132.4,1.075,10778.7,0,352.559,0,411.541
0.898767,4.38252,18163.8,8,31,100,16726.6,1.757,16159.5,0,565.398,0,666.004
0.89457,4.80806,21764.1,10,31,90,19926.6,1.916,19290.1,0,634.558,0,895.562
0.791855,8.37976,15522.7,7,31,100,14276.6,1.489,13781.4,0,493.731,0,569.042
0.523405,20.5001,16303.5,7,31,100,15050,1.499,14555.1,0,493.419,0,568.36
0.847507,6.30407,11437.9,5,31,100,10526.8,1.048,10170.9,0,354.815,0,407.858
0.493754,24.1575,11360.2,5,31,100,10463.3,1.078,10112.3,0,349.863,0,397.71
0.777464,9.60651,10808.2,5,31,100,9931.5,1.077,9580.87,0,349.534,0,382.383
0.542877,19.7935,6899.76,5,31,60,6056.42,0.638,5845.32,0,210.458,0,364.206
0.838012,6.98036,14078.9,7,31,85.7143,12826.8,1.286,12404.7,0,420.839,0,584.662
0.746148,10.5001,9260.81,5,31,80,8364.69,0.881,8080.78,0,283.02,0,409.307
0.696703,13.5745,13261.3,6,31,100,12189.8,1.276,11764.9,0,423.559,0,476.385
0.890478,5.01741,23978.6,10,31,100,22154.3,2.326,21445.6,0,706.356,0,879.485
0.717522,10.4259,17390,8,31,100,15998.1,1.719,15429.3,0,566.984,0,626.925
0.355496,28.3084,7115.3,5,31,60,6242.8,0.652,6031.23,0,210.908,0,394.137
0.719415,12.7121,11190.7,6,31,83.3333,10142.4,1.13,9788.78,0,352.488,0,473.199
0.915011,3.71751,17904.2,8,31,100,16463.3,1.737,15898,0,563.488,0,663.822
0.795438,9.02128,16262.2,7,31,100,14996,1.506,14500,0,494.48,0,583.329
0.689311,13.4084,12927,6,31,100,11874.1,1.315,11454,0,418.768,0,468.378
0.8638,6.29695,18936.4,8,31,100,17483.8,1.735,16918.4,0,563.648,0,677.584
0.893675,4.39889,20361.7,9,31,100,18756.3,1.981,18117.9,0,636.391,0,747.366
0.904714,3.92556,17961.1,8,31,100,16521.7,1.732,15954.8,0,565.143,0,668.293
0.627746,16.5582,10941.1,5,31,100,10055.4,1.079,9704.59,0,349.714,0,385.024
0.80301,9.13426,12739.6,6,31,100,11686.9,1.291,11263.2,0,422.413,0,468.642
0.68381,12.7144,11224.8,5,31,100,10326.1,1.077,9969.99,0,354.978,0,403.16
0.859551,6.41496,23018,10,31,100,21247.4,2.176,20536.4,0,708.801,0,817.635
0.669142,15.7143,13694,6,31,100,12635.3,1.351,12211.8,0,422.139,0,475.161
0.899532,4.7338,15823.3,7,31,100,14596.9,1.551,14101.5,0,493.902,0,547.069
0.828216,6.77991,16058.2,7,31,100,14795.4,1.554,14301,0,492.779,0,587.667
0.833038,6.91657,10704.8,5,31,100,9818.61,1.105,9463.88,0,353.612,0,391.125
0.732573,12.2423,16164.2,7,31,100,14924,1.548,14428,0,494.435,0,561.309
0.744376,10.4775,19738.1,10,31,90,18024,2.196,17387.3,0,634.43,0,768.625
0.869757,6.15811,20397.9,10,31,90,18632,2.148,17992.2,0,637.691,0,828.639
0.737892,12.1851,12619.9,6,31,100,11573.3,1.319,11147.2,0,424.742,0,464.182
0.741456,10.8823,14142.2,7,31,85.7143,12905.5,1.348,12481.6,0,422.51,0,571.901
0.833818,7.94284,15938.9,7,31,100,14683.5,1.512,14193.6,0,488.366,0,583.959
0.799042,8.66661,11073.6,5,31,100,10156.9,1.064,9798.88,0,356.924,0,422.472
0.866552,6.2283,17998.4,8,31,100,16565.7,1.777,16001.5,0,562.411,0,655.573
0.400294,29.2637,11669.5,5,31,100,10758.8,1.098,10404.5,0.005,353.109,0,412.241
0.721657,11.4999,14469.3,6,31,100,13367.7,1.357,12939.4,0,426.962,0,513.845
0.882812,5.33419,14044.3,6,31,100,12954.1,1.335,12535.2,0,417.57,0,507.183
0.722398,12.3787,11604.5,5,31,100,10686.3,1.104,10331.2,0,354.027,0,417.725
0.884038,5.02607,22765.2,10,31,100,20967.9,2.358,20258.8,0,706.797,0,832.394
0.833291,7.62198,15930.4,7,31,100,14691.7,1.743,14199,0,490.878,0,565.706
0.638268,16.2517,15956.5,8,31,87.5,14578.2,1.542,14079.2,0,497.394,0,622.658
0.839128,7.61475,19861.5,9,31,100,18242.5,2.058,17602.2,0,638.282,0,760.219
0.770815,9.6564,18937.6,8,31,100,17461,1.786,16891.6,0,567.628,0,691.603
0.815916,7.87406,13623.4,6,31,100,12549.8,1.314,12126.4,0,421.999,0,492.207
0.832821,7.98431,22477.8,10,31,100,20718.8,2.252,20011.2,0,705.293,0,808.008
0.769543,10.1707,18440.1,8,31,100,17022.2,1.782,16454.4,0,565.979,0,651.49
0.679411,13.3435,16154,8,31,87.5,14772.5,1.592,14278.8,0,492.173,0,620.764
0.844394,7.32136,16051.2,7,31,100,14790.5,1.734,14292.7,0,496.013,0,581.113
0.815882,8.48364,16148.7,7,31,100,14890.2,1.589,14391.9,0,496.651,0,576.201
0.903492,4.4235,13802,6,31,100,12717.6,1.344,12292.3,0,423.903,0,501.619
0.77944,8.93606,18678.4,8,31,100,17238.1,1.777,16669.6,0,566.705,0,675.098
0.588161,18.8947,11412,5,31,100,10490.5,1.14,10136.5,0,352.855,0,414.179
0.714211,13.4817,11346.1,5,31,100,10439.6,1.121,10084.7,0,353.796,0,405.943
0.739295,12.1446,13834.1,6,31,100,12765,1.366,12337.6,0,426.03,0,478.782
0.828296,7.89837,22357.1,10,31,100,20558.7,2.334,19847.1,0,709.281,0,845.82
0.706586,13.1047,11213.3,5,31,100,10304.1,1.124,9949.73,0,353.199,0,404.704
0.874046,5.36378,15995.5,7,31,100,14714.3,1.597,14220.5,0,492.138,0,600.638
0.764387,11.0259,13633.3,6,31,100,12557.3,1.32,12127.5,0,428.464,0,488.309
0.478336,22.0624,18287.9,8,31,100,16902.4,1.835,16326.7,0,573.813,0,615.238
0.622903,16.1148,10810.9,5,31,100,9917.37,1.172,9560.74,0,355.44,0,393.466
0.429182,25.3794,8952.26,5,31,80,8058.7,0.93,7777.04,0,280.719,0,398.406
0.596356,17.2055,11034,5,31,100,10138.5,1.104,9780.27,0,357.074,0,390.162
0.767678,10.407,18351.7,9,31,88.8889,16805.7,1.849,16236.2,0,567.723,0,692.334
0.75344,11.7612,11680,5,31,100,10770.7,1.135,10417.1,0,352.407,0,412.813
0.889927,4.73255,19097.1,8,31,100,17642.5,1.854,17079.7,0,560.974,0,682.206
0.708171,11.5586,16308.2,7,31,100,15057.4,1.586,14561.8,0,494.026,0,573.304
0.544025,22.3894,11578.7,5,31,100,10668.5,1.129,10316.3,0,351.077,0,407.283
0.620852,16.6494,11848.7,6,31,83.3333,10789.5,1.122,10432.5,0,355.841,0,477.864
0.862716,5.78872,15785.4,7,31,100,14527.5,1.616,14028.5,0,497.419,0,581.918
0.724706,12.7691,13108.8,6,31,100,12047.7,1.373,11615.8,0,430.588,0,468.416
0.718327,11.6081,11789.1,5,31,100,10885.5,1.138,10531,0,353.384,0,405.257
0.70604,13.3879,10888.1,5,31,100,10007.5,1.109,9651.27,0,355.148,0,387.838
0.748955,9.90909,12788.1,6,31,100,11727,1.422,11297.9,0,427.707,0,468.391
0.600516,17.6691,16133.6,7,31,100,14877.3,1.571,14387,0,488.732,0,580.991
0.87719,5.15726,14908.9,6,31,100,13783.4,1.393,13360.5,0,421.438,0,536.266
0.860809,6.47763,18619.3,8,31,100,17133.8,1.889,16565.6,0,566.314,0,706.801
0.599769,16.8441,10866.5,5,31,100,9962.31,1.13,9610.7,0,350.461,0,407.525
0.740142,12.2682,7077.38,5,31,60,6196.61,0.666,5982.58,0,213.355,0,397.763
0.671399,14.4722,13293.6,6,31,100,12244.2,1.337,11819,0,423.844,0,456.351
0.790223,9.44729,18974.7,8,31,100,17512.6,1.879,16943,0,567.639,0,687.433
0.907241,4.4705,16725.2,7,31,100,15449.9,1.611,14950.8,0,497.429,0,590.621
0.667694,13.5798,10966.1,5,31,100,10104,1.147,9748.28,0,354.587,0,366.1
0.758295,11.1121,13760.5,6,31,100,12689.2,1.414,12262.8,0,424.933,0,482.376
0.804565,8.27675,23682.4,10,31,100,21862.3,2.325,21155.1,0,704.772,0,874.502
0.865511,5.48229,15533.5,7,31,100,14291,1.573,13792.1,0,497.314,0,558.958
0.904354,4.39222,17030.8,7,31,100,15727.4,1.693,15234.6,0,491.128,0,620.281
