Cost reduction,Final cost,Optimisation time (ms),Number iterations,Average num dofs,Average percent derivs,Total time derivs (ms),Total time keypoints (ms),Total time FD (ms),Total time interpolation (ms),Total time cost derivs (ms),Total time BP (ms),Total time FP (ms)
0.710601,10.8944,634.154,5,13,16.08,356.75,0.083,282.041,3.257,71.36,85.001,162.552
0.671525,15.1125,956.389,7,13,17.2286,567.191,0.126,454.429,4.922,107.696,117.557,240.434
0.673147,12.9121,950.637,7,13,17.2286,563.681,0.106,450.119,5.329,108.113,118.951,234.969
0.591111,16.5853,747.291,5,13,20.1,479.648,0.102,385.935,3.932,89.667,79.826,156.01
0,44.4091,361.112,5,13,4.02,91.719,0.017,72.83,0.872,17.997,81.38,160.257
0.766086,9.51697,741.731,5,13,20.1,472.776,0.088,377.888,4.445,90.338,78.585,159.944
0.690755,14.9426,549.319,5,13,12.06,269.228,0.053,213.068,2.335,53.764,93.458,157.887
0.607826,15.1621,742.544,5,13,20.1,477.149,0.092,382.257,4.509,90.28,80.425,152.949
0.835975,7.46371,933.288,6,13,20.1,609.498,0.118,496.119,4.988,108.253,94.941,196.149
0.880757,5.20548,886.562,6,13,20.1,561.37,0.11,448.416,4.864,107.964,96.46,196.633
0.789901,9.10249,752.39,5,13,20.1,482.137,0.092,387.462,4.041,90.527,79.524,159.01
0.897801,4.27038,1072.03,7,13,20.1,688.78,0.131,555.399,6.118,127.113,118.277,231.779
0.877731,5.70917,1176.9,8,13,20.1,746.78,0.152,594.169,7.08,145.356,134.144,261.222
0.917474,4.08014,614.1,5,13,16.08,339.385,0.098,262.771,3.315,73.189,90.823,152.869
0.618076,17.7811,1046.03,7,13,20.1,669.938,0.147,535.352,5.486,128.933,117.226,223.275
0.438371,24.0792,781.556,5,13,20.1,503.636,0.098,408.101,4.29,91.133,83.994,160.906
0.682397,12.5587,625.702,5,13,12.06,313.9,0.06,255.78,2.526,55.526,98.272,181.128
0.783047,9.63742,685.328,5,13,16.08,386.346,0.082,309.827,3.665,72.76,90.256,175.901
0.711664,11.3298,562.709,5,13,12.06,275.076,0.062,217.267,2.78,54.959,98.052,159.64
0.894374,4.45939,1027.45,7,13,20.1,649.929,0.146,514.813,6.042,128.91,119.104,223.429
0.880991,4.68588,1060.14,7,13,20.1,675.43,0.141,540.437,5.843,128.991,119.012,229.213
0.705389,13.4183,740.941,5,13,16.08,435.651,0.08,358.877,3.134,73.547,88.598,184.449
0.702055,12.8597,664.729,5,13,16.08,371.983,0.082,294.867,3.575,73.447,91.912,168.608
0.780633,9.47718,842.859,6,13,16.75,485.614,0.103,389.248,4.138,92.115,112.078,211.859
0.687449,13.9927,937.613,7,13,17.2286,540.982,0.126,425.227,4.789,110.821,130.24,232.75
0.707683,13.98,651.149,5,13,16.08,353.678,0.086,276.415,3.341,73.824,93.742,171.564
0.704649,11.4662,685.307,5,13,16.08,382.222,0.08,303.539,3.545,75.047,91.764,179.485
0.78964,9.32569,763.338,5,13,20.1,486.101,0.103,387.673,4.82,93.492,83.969,160.232
