Cost reduction,Optimisation time (ms),Number iterations,Average num dofs,Average percent derivs,Average time derivs (ms),Average time BP (ms),Average time FP (ms)
0.842713,187.17,8,2,28.6625,158,0,14
0.890557,215.82,10,2,31.64,182,0,17
0.628113,50.869,4,2,8.8,40,0,5
0.882695,192.057,10,2,22.59,160,0,15
0.967457,221.041,10,2,33.71,187,0,15
0.720932,177.041,10,2,33.41,106,0,55
0.886933,179.457,10,2,27.77,133,0,31
0.885058,163.519,10,2,29.74,119,0,28
0.225002,36.552,4,2,36.2,19,0,11
0.453297,35.702,4,2,44.6,27,0,4
0.782323,147.67,8,2,40.2625,110,0,24
0.903268,196.371,10,2,23.61,165,0,15
0.811869,92.812,6,2,29.8667,70,0,14
0.765075,90.002,6,2,23.55,36,0,44
0.316383,84.12,4,2,39.025,63,0,12
0.896849,156.805,8,2,24.0125,112,0,30
0.930964,163.625,10,2,18.48,110,0,37
0.969292,131.813,7,2,28.8714,100,0,18
0.885786,109.856,6,2,35.4,71,0,28
0.826312,154.242,7,2,31.8143,129,0,13
0.942853,187.482,10,2,28.89,155,0,15
0.956789,206.3,10,2,49.17,170,0,19
0.953211,125.365,7,2,29.1,82,0,32
0.813797,218.95,10,2,27.23,177,0,24
0.228091,76.656,4,2,37.2333,60,0,8
0.918015,197.092,10,2,36,157,0,22
0.888677,187.383,10,2,37.62,145,0,24
0.885872,184.288,10,2,35.78,127,0,39
0.95072,144.662,10,2,32.35,76,0,51
0.602672,87.646,4,2,36.35,72,0,6
0.7994,166.136,10,2,28.07,110,0,37
0.885722,142.125,8,2,18.525,113,0,17
0.846234,135.625,8,2,33.75,76,0,46
0.774971,97.801,6,2,3.25,63,0,26
0.820927,137.219,7,2,30.8714,106,0,16
0.787914,114.731,6,2,29.3833,96,0,7
0.925309,159.754,10,2,33.12,104,0,39
0.765635,86.538,6,2,22.3333,41,0,34
0.811536,139.181,7,2,15.5714,121,0,8
0.820923,179.995,10,2,31.89,138,0,27
0.79297,106.839,6,2,20.8833,73,0,22
0.773851,145.713,8,2,34.75,102,0,31
0.876045,185.005,10,2,32.32,116,0,51
0.289794,36.516,4,2,35.95,16,0,15
0.906697,139.035,9,2,30.4667,76,0,48
0.925419,147.504,9,2,32.3778,90,0,43
0.881875,167.681,10,2,23.55,96,0,55
0.921123,144.985,9,2,33.4333,64,0,65
0.933878,157.668,10,2,37.58,72,0,68
0.930176,86.881,4,2,28,67,0,13
0.60428,95.182,5,2,23.02,80,0,7
0.954806,165.074,10,2,32.98,124,0,27
0.967793,156.722,10,2,35.58,87,0,50
0.984608,166.034,10,2,34.12,119,0,33
0.688902,60.281,4,2,10.275,34,0,19
0.879107,144.232,9,2,33.8222,76,0,53
0.344313,46.914,4,2,40.0667,19,0,23
0.733106,74.837,4,2,1.2,55,0,13
0.854501,117.214,7,2,31.3286,58,0,47
0.914175,165.08,9,2,31.3889,89,0,61
0,19.824,4,2,33.4,5,0,10
0.729855,34.471,4,2,39.75,19,0,10
0.663054,66.831,4,2,16.875,41,0,16
0.842612,123.523,8,2,34.175,62,0,48
0.932836,164.25,10,2,33.32,104,0,44
0.704415,64.791,4,2,34.95,28,0,28
0.67393,85.986,5,2,36.96,48,0,29
0.913604,103.205,7,2,34.4143,40,0,48
0.889695,170.904,10,2,35.88,79,0,75
0.275796,65.54,4,2,36.8,27,0,30
0.873749,168.76,10,2,27.68,100,0,52
0.837521,152.431,8,2,30.1125,104,0,35
0.90419,132.417,8,2,26.225,79,0,39
0.721201,146.6,8,2,72.1571,109,0,26
0.791667,58.268,4,2,23.825,27,0,25
0.875773,156.083,10,2,37.51,74,0,65
0.762542,56.19,4,2,17.65,24,0,23
0.707513,35.06,4,2,22.85,17,0,13
0.105898,37.896,4,2,35.75,25,0,7
0.924142,144.165,10,2,22.55,68,0,61
0.858107,73.352,5,2,38.12,27,0,36
0.743866,93.684,6,2,33.7333,44,0,38
0.900864,145.54,10,2,33.38,66,0,61
0.722088,94.947,6,2,29.3667,46,0,38
0,21.894,4,2,30.1,7,0,10
0.773852,44.563,4,2,27.9667,22,0,16
0.686614,111.3,7,2,24.1,57,0,43
0.780324,104.046,6,2,10.8667,53,0,41
0.782957,129.512,8,2,37.725,55,0,60
0.862507,116.2,7,2,32.3143,53,0,51
0.82824,94.192,5,2,30.52,74,0,12
0.70833,36.055,4,2,25.1,28,0,4
0.72645,98.071,6,2,16.8333,69,0,17
0.81966,64.718,4,2,29.325,37,0,20
0.786682,157.947,10,2,27.41,83,0,59
0.681482,58.722,4,2,23.45,29,0,22
0.911189,182.065,10,2,34.83,109,0,55
0.838393,147.986,10,2,25.01,63,0,67
0.807311,86.338,6,2,31.75,37,0,38
0.897115,165.45,10,2,37.29,77,0,69
