Cost reduction,Optimisation time (ms),Number iterations,Average num dofs,Average percent derivs,Average time derivs (ms),Average time BP (ms),Average time FP (ms)
0.576143,2366.93,6,10,100,1906,98,305
0.84473,2252.29,5,10,100,1902,70,228
0.705579,1528.91,4,10,100,1204,59,215
0.622681,1814.86,4,10,100,1458,61,240
0.866958,5401.73,10,10,100,4511,152,665
0.689616,1904.04,4,10,100,1608,56,185
0.593056,1403.85,4,10,100,1121,56,179
0.615344,2422.3,6,10,100,1988,84,294
0.499566,1847.87,4,10,100,1556,56,183
0.310306,1468.51,4,10,100,1169,57,193
0.405325,1429.94,4,10,100,1136,56,187
0.131929,1043.05,4,10,100,758,56,180
0.697635,2681.17,6,10,100,2264,85,276
0.512202,1907.31,5,10,100,1540,73,245
0.437292,1827.65,4,10,100,1534,56,187
0.0720255,1049.8,4,10,100,768,56,179
0.768161,1886.88,5,10,100,1521,71,244
0.47485,1815.06,4,10,100,1523,56,185
0.863327,1566.31,5,10,100,1185,73,257
0.741693,2693.54,6,10,100,2268,84,287
0.576147,1871.66,5,10,100,1518,70,231
0.882054,3216.9,7,10,100,2724,99,335
0.778593,1475.75,4,10,100,1172,59,196
0.382225,1927.29,5,10,100,1557,70,240
0.282624,1867.58,5,10,100,1509,70,237
0.5112,1453.11,4,10,100,1152,57,195
0.720792,1069.65,4,10,100,769,57,197
0.757764,2289.54,5,10,100,1929,70,234
0.689448,2303,6,10,100,1883,86,280
0.558039,1844.65,4,10,100,1545,56,192
0.823163,1465.57,4,10,100,1172,56,190
0.802023,1453.72,4,10,100,1151,57,198
0.860822,3189.23,7,10,100,2698,98,333
0.899864,1904.43,5,10,100,1552,70,232
0.659521,2374.15,6,10,100,1951,84,285
0.806108,1465.38,4,10,100,1161,57,196
0.144997,1500.93,5,10,100,1136,72,241
0.669702,2346.76,6,10,100,1921,84,285
0.30921,1872.79,5,10,100,1505,72,244
0.537055,2354.69,6,10,100,1934,84,282
0.676093,1073.23,4,10,100,782,56,189
0.492465,1891.06,5,10,100,1525,71,243
0.820548,3670.91,8,10,100,3105,112,391
0.797009,1463.22,4,10,100,1166,57,192
0.803382,2735.16,6,10,100,2308,84,286
0.916298,1871.92,5,10,100,1512,70,238
0.452148,2322.42,6,10,100,1902,84,281
0.705482,1480.68,4,10,100,1176,57,201
0.706229,1428.83,4,10,100,1134,56,185
0.814785,1494.68,4,10,100,1192,56,197
0.686936,2362.78,6,10,100,1936,84,285
0.405377,2315.89,6,10,100,1897,84,282
0.502891,2747.88,7,10,100,2264,99,329
0.85034,1503.19,4,10,100,1203,57,194
0,642.108,4,10,100,367,56,173
0.641129,1882.25,5,10,100,1528,70,233
0.675623,3179.84,7,10,100,2681,98,342
0.561046,1886.36,5,10,100,1528,72,232
0.708833,2310.14,6,10,100,1878,86,290
0.426634,1834.85,4,10,100,1536,56,190
0.83801,1853.26,4,10,100,1554,57,192
0.830357,3187.09,7,10,100,2696,100,332
0.845548,1472.31,4,10,100,1179,56,189
0.66736,1824.21,4,10,100,1520,56,194
0.512147,1089.89,4,10,100,768,61,214
0.433462,1449.36,4,10,100,1155,56,190
0.189125,1058.89,4,10,100,758,56,187
0.647538,1518.22,4,10,100,1199,58,203
0.664437,1855.59,5,10,100,1504,70,230
0.752072,1891.62,5,10,100,1534,70,234
0.253728,1486.57,5,10,100,1133,70,234
0.750428,1832.23,4,10,100,1533,56,190
0.885533,1960.85,5,10,100,1588,71,250
0.192356,1095.65,4,10,100,779,61,206
0.740949,2295.72,5,10,100,1928,70,243
0.880561,2350.86,6,10,100,1933,84,281
0.477518,1427.39,4,10,100,1129,56,191
0.31437,1420.97,4,10,100,1135,56,181
0.536193,2798.29,7,10,100,2304,98,337
0.508554,1409.41,4,10,100,1111,58,192
0.0838831,1079.33,4,10,100,773,58,195
0.590598,2327.14,6,10,100,1892,86,289
0.908804,1564.45,5,10,100,1202,70,243
0.792789,1463.25,4,10,100,1168,57,190
0.576578,2239.91,5,10,100,1874,71,240
0.563933,1410.75,4,10,100,1125,56,184
0.915106,1795.26,4,10,100,1494,56,195
0.0978763,1178.93,4,10,100,796,60,275
0.643877,3239.37,8,10,100,2683,112,381
0.840234,1481.08,4,10,100,1180,57,197
0.562319,1830.04,4,10,100,1537,56,186
0.286246,1048.12,4,10,100,762,56,183
0.0744566,1134.56,5,10,100,767,74,244
0.677157,1823.04,4,10,100,1528,56,191
0.470785,1054.46,4,10,100,752,59,198
0.578217,2297.46,6,10,100,1876,86,281
0.886947,1488.47,4,10,100,1190,56,194
0.480984,1049.59,4,10,100,764,56,182
0.433313,1847.34,4,10,100,1549,56,191
0.832727,1478.62,4,10,100,1177,58,197
