Cost reduction,Optimisation time (ms),Number iterations,Average num dofs,Average percent derivs,Average time derivs (ms),Average time BP (ms),Average time FP (ms)
0.131978,851.423,4,19,11.6754,435,124,235
0.0731458,1113.65,5,19,11.9592,597,159,298
0.595173,1490.26,6,19,11.1763,855,188,383
0.324808,939.738,4,19,13.6632,504,138,238
0.290938,1237.78,5,19,10.6747,693,156,328
0.584683,1038.66,4,19,12.55,595,126,259
0.138878,1194.17,5,19,10.4632,681,155,295
0.0561859,815.298,4,19,9.83509,392,136,229
0.000774963,522.614,4,19,9.57368,122,124,224
0.388851,939.818,4,19,9.90526,528,124,228
0.487688,1109.64,5,19,12.2421,603,155,291
0.0700212,832.009,4,19,10.8895,420,125,227
0.116825,1209.37,6,19,11.9579,603,196,348
0.297617,880.578,4,19,9.05263,482,125,218
0.00609876,698.843,4,19,12.0132,294,126,221
0.371878,949.177,4,19,10.2671,531,124,236
0.353412,1071.73,5,19,11.9579,577,156,282
0.0818477,767.125,4,19,9.64386,369,125,217
0,476.525,4,19,7.95789,105,125,197
0.108392,832.407,4,19,10.4351,400,138,236
0,547.51,4,19,13.1211,154,124,215
0.293619,982.787,4,19,11.8842,566,124,234
0.154003,944.342,4,19,9.74079,517,124,243
0.900473,948.387,4,19,10.4671,547,124,222
0.00728004,707.29,4,19,12.0421,296,130,225
0.722272,2346.04,9,19,11.3409,1380,285,609
0.253984,837.923,4,19,11.2825,428,124,229
0.0122061,657.54,4,19,11.2895,271,125,208
0,475.707,4,19,6.64737,99,125,202
0.12891,654.126,4,19,9.62368,255,126,218
0.0829305,910.293,4,19,9.29474,490,124,239
0.0745905,830.707,4,19,10.2702,399,138,235
0.00154934,636.23,4,19,9.35526,247,125,211
0.806585,771.587,4,19,9.79474,364,135,220
0.101447,765.317,5,19,10.85,283,156,269
0.0562582,900.119,4,19,12.6053,465,135,243
0.0261272,685.917,4,19,9.96053,266,128,236
0.156814,886.786,4,19,8.73158,477,124,228
0,513.768,4,19,10.1526,124,124,214
0.100869,556.096,4,19,6.70526,189,124,193
0.239236,1211.03,5,19,13.3224,664,156,330
0.0785916,778.607,4,19,9.74035,370,133,222
0.582988,1271.99,5,19,12.6116,761,156,294
0.401732,926.789,4,19,9.05263,507,124,237
0.293781,1143.34,5,19,13.6579,631,157,297
0.179136,956.994,4,19,10.4461,539,124,235
0.817089,1680.71,6,19,14.3351,1051,189,378
0.267911,914.383,4,19,9.27105,508,124,223
0,584.819,4,19,14.5947,167,125,234
0.053114,1140.82,5,19,12.0434,612,165,302
0.00895226,514.594,4,19,8.78421,122,126,213
0.24978,1063.54,4,19,12.7395,621,126,254
0,517.042,4,19,11.1368,134,125,205
0.315902,848.339,4,19,7.88816,444,124,223
0,504.091,4,19,9.37895,120,125,207
0.397144,929.582,4,19,14.5825,507,125,240
0.154347,1317.02,5,19,14.32,796,155,306
0.333353,1158.53,5,19,10.2421,651,156,292
0.0769378,640.285,4,19,8.84737,243,128,214
0.555244,1230.14,5,19,14.2855,713,157,302
0.348903,1119.63,4,19,13.9197,688,125,248
0.0541797,867.919,4,19,12.0018,449,135,226
0.341877,958.662,4,19,13.6825,512,140,248
0.114138,996.953,4,19,11.0539,576,124,238
0,617.697,4,19,9.99474,131,213,218
0,541.813,4,19,11.5105,145,124,217
0.0183396,659.745,4,19,11.0026,265,130,212
-0.74287,311.701,1,19,12.2474,146,115,0
0.0640406,694.994,4,19,11.1395,280,131,227
0.601558,2208.59,9,19,12.3164,1292,288,557
0.131801,1116.94,4,19,14.0276,677,127,253
0.0149473,679.708,4,19,10.7763,263,132,232
0.777047,952.632,4,19,11.0987,550,124,221
0.195884,762.618,4,19,9.12807,368,124,214
0.766673,2270.29,9,19,13.9993,1347,279,572
0.839532,223.3,1,19,8.61053,113,62,0
0.394989,936.644,4,19,13.414,503,139,237
0.0308839,827.073,4,19,11.0842,406,125,238
0.390671,1152.84,5,19,12.4039,617,168,307
0.0457206,796.992,4,19,9.81754,382,124,234
0.497015,1432.81,5,19,14.2642,888,156,326
0.902603,2286.25,8,19,15.0158,1463,248,506
0.310766,864.931,4,19,8.26974,451,124,232
0,501.166,4,19,7.93158,113,125,210
0.0310178,631.87,4,19,8.80789,238,124,214
0.091618,839.811,4,19,10.9649,425,124,233
0.0282958,596.573,4,19,7.33158,217,125,203
0.129776,732.461,4,19,13.1447,330,125,221
0.0174321,656.312,4,19,9.70263,257,125,218
0.184935,912.163,4,19,13.7263,494,125,233
0.419169,683.87,4,19,10.7,281,125,222
0,533.151,4,19,10.6632,142,124,213
0.370908,987.14,4,19,10.8408,560,126,241
0.197035,1126.5,5,19,12.5355,616,158,293
0.0445899,876.498,4,19,11.5386,442,140,239
0.727518,1009.91,4,19,11.4987,590,124,236
0,527.871,4,19,11.9737,144,124,206
0.26506,721.564,4,19,13.3237,302,132,230
0,477.426,4,19,6.35789,96,125,206
0.0465713,690.601,4,19,11.2158,282,124,226
