Cost reduction,Optimisation time (ms),Number iterations,Average num dofs,Average percent derivs,Average time derivs (ms),Average time BP (ms),Average time FP (ms)
0.0363201,1051.38,4,19,16.7526,627,125,240
0.111431,1338.42,5,19,16.7355,827,155,296
0.179513,1094.91,4,19,18.7772,683,126,228
0.561021,1428.8,4,19,19.375,985,124,260
0.143939,1612.01,6,19,16.0432,1023,187,339
0.278319,827.995,4,19,18.3211,431,125,218
0.0846915,1215.19,4,19,16.2342,816,125,218
0.0120122,774.666,4,19,14.7947,379,129,212
0.168172,1025.12,4,19,16.3667,599,141,230
0.423228,2102.8,7,19,19.0149,1381,238,419
0.181167,1356.56,5,19,16.4145,823,168,305
0.0767404,819.795,4,19,15.1658,389,132,242
0.093907,869.06,4,19,17.2737,433,143,235
0.278685,1263.5,4,19,18.1579,857,124,227
0.0140083,813.935,4,19,16.6316,410,126,220
0.0726515,1310.56,5,19,15.6171,770,184,294
0.201484,1013.36,4,19,17.2421,608,125,224
0.327721,1576.47,5,19,17.9463,1063,155,300
0.108755,818.507,4,19,18.2158,431,131,204
0.0172711,820.96,4,19,16.1711,397,143,225
0.44229,1291.77,4,19,18.125,864,124,243
0.305684,1607.37,6,19,16.9274,1014,187,346
0.173898,1227.82,4,19,15.8803,804,124,239
0.919925,1974.35,7,19,17.6684,1293,218,404
0.0790824,1384.04,5,19,17.6487,870,155,297
0.587242,1880.28,6,19,17.5447,1280,186,353
0.192781,1272.58,4,19,18.0289,849,124,242
0.103201,1354.88,5,19,17.7303,836,176,285
0.239601,1243.33,4,19,17.5671,857,124,207
0.176421,1601.33,6,19,16.1768,1013,187,340
0.074339,1197.1,4,19,16.0395,781,125,234
0.0729254,1326.72,5,19,16.1026,809,174,285
0.318611,1977.12,6,19,18.8658,1372,186,358
0.862152,1306.45,4,19,19.9474,902,124,226
0.364435,1330.42,4,19,17.9513,895,124,252
0.173964,1062.32,4,19,17.1491,632,126,246
0.139002,1381.26,5,19,16.55,845,175,302
0.100261,1214.94,4,19,15.7908,800,125,233
0.104569,828.754,4,19,17.7184,411,144,221
0,574.476,4,19,17.5105,201,127,197
0.258006,1343.15,4,19,18.125,911,124,248
0.0626094,1061.12,4,19,17.5368,621,145,239
0.186645,1273.66,4,19,16.8447,850,126,240
0.310132,1077.41,4,19,17.3596,652,124,246
0.115477,854.223,4,19,18.4763,416,142,241
0.212216,1381.98,5,19,17,860,177,286
0.621829,2383.06,7,19,19.3962,1658,217,442
0.103743,1057.19,4,19,17.1807,644,124,232
0.0787215,1087.54,4,19,18.2281,649,126,253
0,614.904,4,19,16.3526,212,127,219
0.453282,1263.29,4,19,16.5184,836,124,244
0.209319,1324.98,5,19,15.7789,788,160,317
0,598.674,4,19,17.5526,209,128,210
0.195347,1248.46,4,19,16.725,824,124,244
0.109745,1371.57,5,19,18.1882,870,155,288
0,613.642,4,19,18.8842,221,124,213
0.039866,1039.23,4,19,18.1526,617,140,227
0.24397,1395.01,5,19,18.2368,868,233,236
0.0824154,1245.93,4,19,16.3171,826,125,237
0.599704,1746.35,5,19,19.3326,1224,155,308
0.170142,852.856,4,19,16.7921,424,144,229
0.11759,1096.55,4,19,17.3316,646,143,250
0.40906,1442.57,5,19,18.1671,931,156,295
0.128654,1051.56,4,19,16.2421,625,128,240
0.0287372,1268.42,4,19,16.5316,849,124,236
0.0334484,1103.4,4,19,17.2193,650,144,251
0.180265,1037.81,4,19,17.3316,608,143,230
0.117108,840.791,4,19,18.4526,443,124,217
0.130192,1129.19,4,19,18.8789,684,145,244
0.51404,1123.2,4,19,17.9684,691,125,247
0.128668,1365.84,5,19,16.775,831,160,314
0.0415664,1061.06,4,19,17.7684,626,143,238
0.770445,1712.82,6,19,18.0768,1120,187,343
0.400371,2079.32,7,19,18.8868,1356,235,425
0.600986,1369.54,4,19,18.4421,933,125,254
0.0102237,615.56,4,19,18.3,221,133,209
0.676478,2775.8,8,19,19.4809,1935,248,524
0.40333,1300.2,4,19,18.8553,877,124,240
0.265252,1042.34,4,19,16.5228,609,133,243
0.0952882,1029.95,4,19,16.9175,625,125,221
0.301888,1509.08,5,19,18.5855,959,172,317
0.681511,2052.52,6,19,18.943,1425,186,378
0.0425227,1041.3,4,19,18.1877,641,124,223
0.132064,1102.61,4,19,17.5807,661,146,240
0.069934,1027.31,4,19,14.9175,578,144,246
0.370191,1369.04,4,19,19.1632,947,124,238
0.201858,1037.58,4,19,17.4158,645,124,214
0.3693,1166.48,4,19,18.4807,709,143,257
0.0570546,1030.8,4,19,15.2246,582,139,251
0.0241644,836.895,4,19,16.8737,426,126,228
0.6216,1928.68,6,19,17.3553,1317,187,358
0.348386,1245.64,4,19,15.7224,829,125,233
0.414099,1115.28,4,19,18.2719,676,149,234
0.208701,1642.11,5,19,18.2642,1122,156,303
0.0132087,811.154,4,19,15.8026,404,124,226
0.257617,856.722,4,19,18.0921,449,126,225
0.418367,1349.69,4,19,19.1513,924,125,243
0.671206,1966.08,7,19,17.7982,1248,217,436
0.351876,1232.82,4,19,16.8711,826,126,225
0.159668,1597.02,6,19,15.3042,978,186,370
