Cost reduction,Optimisation time (ms),Number iterations,Average num dofs,Average percent derivs,Average time derivs (ms),Average time BP (ms),Average time FP (ms)
0.410307,4187.54,5,31,20.9306,3274,371,469
0.697205,5475.48,5,31,29.9742,4561,368,471
0.173097,6309.27,4,31,37.7419,5556,293,381
0.107858,4015.86,4,31,27.572,3244,300,398
0.450351,7389.91,6,31,32.891,6264,451,595
0.623379,11453.4,6,31,56.4239,10228,452,681
0.752287,2827.46,4,31,16.1495,2112,294,356
0.048435,7540.93,4,31,40.7774,6730,293,428
0.445236,6014.49,5,31,33.5903,5023,397,516
0.897368,11205.7,8,31,34.9687,9755,588,783
0.616394,7808.36,6,31,31.7245,6673,439,621
0.0314795,3162.61,4,31,29.6532,2371,294,425
0.639751,5811.27,6,31,24.4116,4747,437,553
0.618887,3252.01,4,31,20.5667,2547,298,336
0.693677,6659.84,4,31,32.3597,5931,291,363
0.503961,5855.68,6,31,25.0781,4848,440,493
0.792593,8319.29,6,31,39.409,7221,459,562
0.318548,6284.1,4,31,39.5645,5503,292,409
0,1613.83,4,31,23.2968,868,293,384
0.502985,7476.9,6,31,37.8516,6399,440,561
0.178911,3769.46,4,31,24.357,2995,292,408
0.851516,6383.78,5,31,35.096,5525,366,410
0.152951,4159.9,4,31,27.5376,3421,293,371
0.411445,4470,6,31,15.8994,3363,445,592
0.842181,5789.13,6,31,19.7045,4765,456,492
0.684172,5884.56,4,31,35.5129,5083,294,432
0.276726,3904.69,4,31,27.4828,3139,293,399
0.421522,6134.4,5,31,34.4831,5190,365,505
0,1274.61,4,31,11.0968,580,291,338
0.96882,9803.93,5,31,45.8013,8851,365,510
0.36464,6467.77,6,31,26.5484,5334,446,612
0.909442,8761.99,6,31,42.1174,7659,439,581
0.344302,8002.21,6,31,34.2542,6839,448,632
0.725332,7285.64,6,31,33.1052,6234,449,527
0.336555,8169.7,5,31,37.9329,7240,372,479
0,1742.1,4,31,21.5774,1003,308,360
0.141689,3462.5,4,31,23.3613,2711,292,390
0.193706,5633.89,5,31,31.546,4714,365,476
0.275191,6924.08,5,31,40.0226,5965,366,510
0.407811,6378.11,6,31,26.5297,5352,437,510
0.538865,3330.75,4,31,20.5441,2605,292,362
0.214262,4713.34,5,31,21.3669,3789,365,488
0.751067,4964.99,6,31,16.9452,3868,439,587
0.303014,6350.71,6,31,27.7316,5240,439,594
0.714781,8416.6,6,31,39.2129,7232,458,646
0.165651,11359.9,5,31,52.209,10280,372,609
0.6195,6286.18,4,31,34.4597,5508,292,415
0.616462,8105.2,6,31,37.9987,7046,439,542
0.806183,4661.08,4,31,23.8669,3933,294,365
0.732192,4444.33,4,31,31.2333,3650,291,427
0.872265,13693.5,8,31,38.1879,12223,584,805
0.319303,6745.64,6,31,28.9219,5664,438,564
0.757619,8088.96,6,31,38.0858,6956,450,603
0.743192,6146.46,4,31,33.2226,5407,300,361
0.330617,2997.04,4,31,16.3226,2296,292,343
0.836551,13091.7,7,31,42.571,11727,510,771
0.455455,5414.91,4,31,31.375,4710,293,339
0.51111,7305.28,6,31,33.0187,6212,444,571
0.104719,6823.69,4,31,37.0427,5987,292,460
0.204951,7234.59,5,31,43.9935,6260,368,522
0.399084,3806.51,4,31,26.2645,3061,293,377
0.85797,5237.25,6,31,20.9735,4201,447,518
0.820961,5624.39,4,31,30.096,4869,298,382
0.226919,9222.49,6,31,42.7181,8017,447,675
0.230564,4649.89,5,31,23.3306,3761,366,447
0.418728,2710.72,4,31,15.7097,2002,292,348
0.0210238,2814.5,4,31,26.7435,2079,298,367
0.452383,7180.33,5,31,37.554,6165,375,556
0.09065,6887.55,6,31,27.8052,5746,445,616
0.00341004,3279.32,4,31,34.8484,2470,293,424
0.104288,3213.59,4,31,27.0435,2456,311,370
0.490241,7254.35,4,31,42.0782,6457,294,422
0.10691,3026.42,4,31,29.2484,2245,292,418
0.548405,9269.28,4,31,56.5081,8459,294,431
0.716225,6912.93,7,31,28.9432,5679,513,644
0.0513771,7434.77,4,31,43.8347,6633,292,424
0.117568,7253.12,5,31,43.8218,6306,364,498
0.617639,6261.05,5,31,34.754,5308,374,494
0.726681,5737.91,5,31,30.9992,4800,382,479
0.427506,7140.34,6,31,31.6703,6089,446,526
0.553148,5471.46,5,31,30.2887,4507,368,520
0.189426,7732.31,6,31,33.5348,6602,447,605
0.128464,5900.95,5,31,30.7952,4961,374,490
0.183896,7469.67,4,31,45.4573,6659,292,436
0.857829,4673.43,4,31,33.6323,3921,292,388
0.245323,3594.72,4,31,21.6366,2862,301,359
0.55408,3124.33,4,31,19.0903,2417,292,348
0.877945,9128.24,6,31,43.9065,7996,438,613
0.637323,7771.37,5,31,45.0895,6767,381,542
0.760966,8937.56,6,31,37.9845,7835,456,566
0.817306,6520.84,5,31,31.7879,5627,366,453
0.135312,4435.6,4,31,33.6032,3724,293,342
0.570692,5154.48,5,31,26.2621,4259,366,455
0.865071,7791.4,6,31,33.8542,6720,441,556
0.269034,4182.53,4,31,27.2097,3383,293,431
0.536525,8800.55,6,31,39.3,7696,439,588
0.722297,4302.96,6,31,13.4187,3281,440,508
0.709724,4431.81,4,31,31.4172,3699,292,365
0.431463,6772.2,6,31,27.9626,5621,440,632
0.225402,6012.83,5,31,33.0387,5109,365,460
