Cost reduction,Optimisation time (ms),Number iterations,Average num dofs,Average percent derivs,Average time derivs (ms),Average time BP (ms),Average time FP (ms)
0.399926,231.81,4,10,0.2,47,36,114
0.052482,252.34,4,10,0.2,48,38,129
0.299862,245.718,4,10,0.2,48,37,125
0.188019,228.853,4,10,0.2,32,37,124
0.205771,267.848,4,10,0.2,64,36,130
0.216981,250.519,4,10,0.2,48,36,130
0.350872,222.983,4,10,0.2,48,37,105
0.233684,260.118,4,10,0.2,48,37,139
0.104342,247.574,4,10,0.2,48,36,126
0.114447,246.181,4,10,0.2,48,36,125
0.0780289,309.934,5,10,0.2,64,46,161
0.056705,252.389,4,10,0.2,48,37,129
0.0609151,307.313,5,10,0.2,64,46,156
0.236828,205.55,4,10,0.2,32,36,106
0.17302,247.992,4,10,0.2,48,36,127
0.298076,249.327,4,10,0.2,48,37,127
0.0652451,305.518,5,10,0.2,64,46,157
0.236238,247.921,4,10,0.2,48,37,126
0.679429,230.806,4,10,0.2,48,37,113
0.0454509,286.331,5,10,0.2,48,46,154
0.0479947,229.137,4,10,0.2,32,36,125
0.0500195,247.125,4,10,0.2,48,36,125
0.254809,223.079,4,10,0.2,32,36,120
0.0412769,250.676,4,10,0.2,48,38,127
0.821118,249.68,4,10,0.2,62,36,117
0.405854,271.496,5,10,0.2,48,46,144
0.298324,267.707,4,10,0.2,64,36,128
0.252347,320.604,5,10,0.2,64,46,169
0.0250675,228.722,4,10,0.2,32,36,124
0.0324561,232.415,4,10,0.2,32,36,129
0.819159,197.155,4,10,0.2,32,37,100
0.0895678,228.658,4,10,0.2,32,36,124
0.4976,313.579,6,10,0.2,64,54,160
0.0813026,370.631,6,10,0.2,80,54,193
0.674634,229.589,4,10,0.2,48,36,111
0.199098,232.826,4,10,0.2,47,37,115
0.20619,249.232,4,10,0.2,48,36,129
0.0942903,246.516,4,10,0.2,48,37,124
0.180835,248.856,4,10,0.2,48,37,127
0.019584,209.138,4,10,0.2,32,36,109
0,190.098,4,10,0.2,16,36,107
0.0598813,264.432,5,10,0.2,48,45,139
0.798165,223.718,4,10,0.2,48,37,107
0.233719,250.161,4,10,0.2,48,37,127
0.0495178,252.716,4,10,0.2,48,36,129
0.255801,226.148,4,10,0.2,32,36,122
0.425319,371.087,6,10,0.2,80,54,194
0.451029,231.464,4,10,0.2,48,36,114
0.058617,247.167,4,10,0.2,48,36,126
0.00173127,209.231,4,10,0.2,32,36,109
0.574117,278.4,5,10,0.2,64,45,134
0.359071,258.037,4,10,0.2,64,36,122
0.192409,245.317,4,10,0.2,48,37,125
0.203989,247.358,4,10,0.2,48,37,126
0.253678,249.771,4,10,0.2,48,36,127
0.146363,255.595,4,10,0.2,64,36,120
0.798517,351.432,6,10,0.2,80,54,180
0.44048,231.677,4,10,0.2,32,36,126
0.235963,247.349,4,10,0.2,48,38,125
0.245745,227.988,4,10,0.2,48,36,110
0.0623103,252.411,4,10,0.2,48,37,129
0.318411,244.401,4,10,0.2,48,36,125
0.0935134,248.332,4,10,0.2,48,36,127
0.208542,250.131,4,10,0.2,48,36,128
0.0736883,249.928,4,10,0.2,48,37,127
0.0455843,228.43,4,10,0.2,32,36,124
0.0634696,202.494,4,10,0.2,32,37,102
0.0440175,228.654,4,10,0.2,32,36,124
0.112653,223.94,4,10,0.2,32,36,122
0.0470463,248.379,4,10,0.2,48,38,127
0.0949671,307.725,5,10,0.2,64,46,158
0.0799317,230.586,4,10,0.2,32,36,125
0.134959,304.219,5,10,0.2,64,45,156
0.0258423,231.24,4,10,0.2,33,39,125
0.305407,366.621,6,10,0.2,80,55,190
0.0933225,229.315,4,10,0.2,32,36,124
0.03005,209.853,4,10,0.2,32,36,110
0.122705,224.748,4,10,0.2,48,36,108
0.0404649,248.46,4,10,0.2,48,36,128
0.219934,226.413,4,10,0.2,48,36,109
0.39421,212.486,4,10,0.2,32,37,113
0.000573547,215.044,4,10,0.2,16,36,126
0.074669,252.506,4,10,0.2,48,36,130
0.630444,386.573,6,10,0.2,96,55,193
0.0303351,206.906,4,10,0.2,32,38,107
0.0581219,268.53,4,10,0.2,64,36,129
0.0756391,249.414,4,10,0.2,48,36,127
0.412229,233.816,4,10,0.2,48,38,115
0.129043,307.362,5,10,0.2,64,45,159
0.00512878,230.813,4,10,0.2,33,37,125
0.184866,250.1,4,10,0.2,48,36,129
0.0351783,244.951,4,10,0.2,32,37,139
0.0639645,250.38,4,10,0.2,48,36,127
0,206.894,4,10,0.2,16,36,120
0.00842216,211.415,4,10,0.2,32,36,110
0.0287869,249.168,4,10,0.2,48,36,127
0.0315553,230.249,4,10,0.2,32,37,125
0.198486,250.479,4,10,0.2,48,37,127
0.38677,267.401,4,10,0.2,64,37,128
0.215781,305.251,5,10,0.2,64,46,156
