Optimisation time (ms),num dofs,% derivs,derivs time (ms),BP time (ms),FP time (ms),surprise,expected,new cost
2.031,0,10,1.107,0.242,0.366,0,0,0
2.708,0,40.7407,1.659,0.256,0.45,0,0,0
2.428,0,41.8519,1.498,0.235,0.37,0,0,0
2.354,0,40.7407,1.403,0.245,0.409,0,0,0
2.59,0,41.4815,1.579,0.241,0.437,0,0,0
2.712,0,41.1111,1.536,0.246,0.625,0,0,0
2.499,0,40.3704,1.411,0.251,0.468,0,0,0
2.298,0,41.1111,1.375,0.241,0.359,0,0,0
2.097,0,41.8519,1.231,0.236,0.336,0,0,0
2.279,0,42.5926,1.349,0.244,0.377,0,0,0
2.274,0,43.3333,1.348,0.236,0.364,0,0,0
2.669,0,42.2222,1.295,0.24,0.813,0,0,0
2.313,0,43.3333,1.359,0.247,0.344,0,0,0
2.074,0,42.963,1.205,0.237,0.34,0,0,0
2.431,0,42.963,1.495,0.238,0.398,0,0,0
2.248,0,41.1111,1.369,0.236,0.343,0,0,0
1.976,0,38.5185,1.127,0.235,0.328,0,0,0
2.23,0,42.2222,1.187,0.239,0.529,0,0,0
2.044,0,40.7407,1.133,0.248,0.33,0,0,0
2.034,0,37.4074,1.139,0.229,0.367,0,0,0
2.004,0,41.8519,1.173,0.235,0.324,0,0,0
2.022,0,42.2222,1.159,0.236,0.339,0,0,0
2.124,0,41.4815,1.167,0.234,0.425,0,0,0
2.544,0,43.3333,1.234,0.229,0.805,0,0,0
2.253,0,42.2222,1.36,0.247,0.325,0,0,0
2.303,0,42.2222,1.466,0.244,0.305,0,0,0
2.197,0,42.5926,1.353,0.236,0.308,0,0,0
2.377,0,42.5926,1.417,0.244,0.444,0,0,0
2.333,0,42.963,1.485,0.233,0.341,0,0,0
2.12,0,42.963,1.287,0.242,0.32,0,0,0
2.083,0,43.3333,1.204,0.246,0.31,0,0,0
1.941,0,42.963,1.103,0.235,0.316,0,0,0
1.962,0,41.4815,1.066,0.247,0.357,0,0,0
2.222,0,40.3704,1.338,0.245,0.331,0,0,0
2.002,0,39.2593,1.167,0.234,0.31,0,0,0
2.634,0,37.7778,1.331,0.247,0.76,0,0,0
2.347,0,39.2593,1.401,0.249,0.355,0,0,0
2.458,0,37.4074,1.548,0.235,0.334,0,0,0
2.038,0,38.5185,1.161,0.235,0.335,0,0,0
2.33,0,37.037,1.328,0.25,0.456,0,0,0
2.622,0,40.7407,1.665,0.235,0.393,0,0,0
2.477,0,43.3333,1.32,0.241,0.606,0,0,0
2.27,0,42.963,1.31,0.244,0.346,0,0,0
2.298,0,42.963,1.388,0.24,0.353,0,0,0
2.257,0,40.7407,1.227,0.25,0.472,0,0,0
2.404,0,42.5926,1.492,0.239,0.358,0,0,0
2.183,0,41.1111,1.295,0.234,0.347,0,0,0
2.686,0,39.6296,1.329,0.236,0.816,0,0,0
2.988,0,40.3704,2.001,0.249,0.375,0,0,0
2.388,0,40,1.342,0.268,0.452,0,0,0
2.399,0,40.3704,1.468,0.238,0.356,0,0,0
2.224,0,38.8889,1.34,0.236,0.344,0,0,0
2.213,0,37.7778,1.33,0.235,0.346,0,0,0
2.63,0,40,1.4,0.231,0.7,0,0,0
2.445,0,41.1111,1.361,0.257,0.392,0,0,0
2.253,0,40,1.35,0.236,0.352,0,0,0
2.191,0,40,1.294,0.245,0.349,0,0,0
2.182,0,37.4074,1.26,0.243,0.347,0,0,0
2.168,0,38.8889,1.198,0.249,0.382,0,0,0
2.655,0,40.3704,1.363,0.237,0.733,0,0,0
2.429,0,36.2963,1.465,0.247,0.358,0,0,0
2.519,0,39.2593,1.616,0.238,0.355,0,0,0
2.766,0,36.2963,1.564,0.24,0.429,0,0,0
2.452,0,38.5185,1.479,0.252,0.416,0,0,0
2.351,0,37.7778,1.372,0.237,0.383,0,0,0
2.608,0,38.1481,1.339,0.239,0.712,0,0,0
2.533,0,36.6667,1.555,0.246,0.36,0,0,0
2.65,0,39.2593,1.725,0.23,0.39,0,0,0
2.281,0,38.1481,1.366,0.235,0.36,0,0,0
2.176,0,37.4074,1.326,0.238,0.331,0,0,0
2.127,0,37.037,1.217,0.236,0.353,0,0,0
3.199,0,37.4074,1.572,0.357,0.947,0,0,0
2.423,0,38.5185,1.462,0.246,0.361,0,0,0
2.541,0,40,1.611,0.236,0.373,0,0,0
2.267,0,39.2593,1.344,0.24,0.37,0,0,0
2.483,0,38.8889,1.355,0.325,0.481,0,0,0
2.603,0,41.1111,1.644,0.235,0.379,0,0,0
3.696,0,41.1111,1.523,0.357,1.356,0,0,0
2.848,0,41.4815,1.723,0.244,0.372,0,0,0
2.427,0,44.8148,1.496,0.235,0.374,0,0,0
