Final cost,Final dist,Average dofs,Average optimisation time (ms),Average percent derivs,Average time derivs (ms),Average time BP (ms),Average time FP (ms),Average surprise
39.9684,0,0,5.68178,32.4938,2.85728,0.742919,1.22014,0
25.1242,0,0,5.65554,31.6628,2.78065,0.763546,1.2599,0
66.0806,0,0,5.67898,34.2967,2.85003,0.746919,1.22379,0
74.8244,0,0,5.69141,34.0748,2.79988,0.770456,1.27985,0
72.7533,0,0,5.69945,34.281,2.87124,0.753245,1.21376,0
36.1041,0,0,5.70296,32.6837,2.85281,0.763654,1.23053,0
27.6228,0,0,5.66721,33.8282,2.8474,0.745308,1.22151,0
60.7942,0,0,5.71499,34.2197,2.8811,0.747646,1.22149,0
30.0379,0,0,5.64649,32.845,2.84835,0.730782,1.20646,0
70.5532,0,0,5.67808,34.225,2.8795,0.741556,1.19929,0
21.066,0,0,5.66987,32.5949,2.83176,0.744288,1.23473,0
25.8193,0,0,5.68207,32.6706,2.7822,0.774032,1.27248,0
42.2023,0,0,5.65296,33.9404,2.8843,0.727035,1.18384,0
161.405,0,0,5.64684,34.3159,2.8251,0.749219,1.22224,0
123.358,0,0,5.68115,34.6031,2.83361,0.75274,1.24793,0
39.7729,0,0,5.65676,33.544,2.86171,0.733536,1.19532,0
52.1858,0,0,5.65985,34.3672,2.85228,0.744002,1.21049,0
195.458,0,0,5.6651,33.6439,2.77577,0.765532,1.27803,0
19.8596,0,0,5.65996,31.6479,2.81265,0.749064,1.23237,0
45.0034,0,0,5.67986,33.5529,2.78561,0.775632,1.28125,0
50.3189,0,0,5.70254,32.8845,2.85063,0.750474,1.23781,0
131.032,0,0,5.69804,34.6847,2.85202,0.765635,1.23161,0
61.7616,0,0,5.65917,33.6192,2.86409,0.736879,1.20524,0
21.9303,0,0,5.68631,32.5048,2.87664,0.74199,1.20399,0
30.1245,0,0,5.67367,33.4897,2.86542,0.741634,1.20352,0
122.062,0,0,5.65549,35.1862,2.80393,0.760981,1.25029,0
26.5203,0,0,5.68494,32.8583,2.83129,0.752217,1.24737,0
35.0344,0,0,5.65683,31.959,2.84644,0.7304,1.21005,0
7.08185,0,0,5.6594,30.9972,2.79302,0.756451,1.24271,0
74.9052,0,0,5.6962,34.332,2.81779,0.775926,1.26503,0
128.324,0,0,5.70146,34.4493,2.84167,0.768195,1.24586,0
19.4284,0,0,5.67809,32.932,2.85745,0.746051,1.21037,0
23.163,0,0,5.65988,32.6188,2.80524,0.753689,1.24738,0
80.1839,0,0,5.66724,34.0127,2.81516,0.768285,1.24145,0
23.0291,0,0,5.69474,31.6219,2.82955,0.753981,1.24586,0
60.1541,0,0,5.67658,33.9482,2.88037,0.7435,1.18868,0
14.3146,0,0,5.68863,33.0692,2.80185,0.766584,1.27201,0
30.9018,0,0,5.71098,33.2662,2.80297,0.774644,1.28391,0
637.739,0,0,5.63688,35.4931,2.71257,0.797637,1.31853,0
90.0814,0,0,5.66374,33.4612,2.80114,0.762216,1.25784,0
26.1698,0,0,5.67073,33.007,2.87354,0.736755,1.19535,0
16.2318,0,0,5.69635,32.816,2.84615,0.759484,1.23058,0
67.1765,0,0,5.65377,33.6384,2.85884,0.745933,1.19865,0
67.0598,0,0,5.65601,34.735,2.84108,0.750753,1.21586,0
7.51803,0,0,5.68296,30.784,2.81938,0.757368,1.24105,0
221.518,0,0,5.66596,33.8757,2.80959,0.76109,1.25179,0
71.4924,0,0,5.65097,34.1268,2.82189,0.748489,1.23203,0
186.186,0,0,5.67209,34.9609,2.83845,0.757677,1.23649,0
362.694,0,0,5.64613,34.6032,2.78473,0.774051,1.25516,0
114.832,0,0,5.6587,34.9794,2.798,0.771177,1.25329,0
90.3787,0,0,5.72515,34.6791,2.86285,0.766909,1.24509,0
18.9418,0,0,5.68712,32.0947,2.81017,0.761905,1.2527,0
54.2931,0,0,5.68126,33.9923,2.86185,0.754901,1.21157,0
12.4685,0,0,5.66821,32.1749,2.83806,0.744474,1.21733,0
69.7818,0,0,5.64378,34.2314,2.84469,0.741459,1.21211,0
31.208,0,0,5.66269,33.0595,2.83996,0.747879,1.21585,0
64.3198,0,0,5.66827,33.9327,2.82533,0.769201,1.23525,0
42.9573,0,0,5.66427,34.4162,2.86235,0.739466,1.20735,0
299.622,0,0,5.68332,34.2851,2.78871,0.779044,1.28351,0
42.4888,0,0,5.67186,33.0923,2.8453,0.740903,1.22411,0
57.3231,0,0,5.70123,33.6193,2.87677,0.749047,1.22188,0
69.4445,0,0,5.66739,34.2189,2.86524,0.739439,1.20448,0
35.2165,0,0,5.68087,33.6901,2.83219,0.761393,1.23516,0
99.2075,0,0,5.68218,34.425,2.85136,0.757042,1.23178,0
93.6138,0,0,5.6728,34.4028,2.81124,0.761608,1.2575,0
57.0609,0,0,5.6969,34.3125,2.84873,0.757908,1.24668,0
51.8283,0,0,5.69448,34.4789,2.8245,0.768373,1.2576,0
32.2554,0,0,5.70428,31.9718,2.80675,0.764398,1.27944,0
32.9646,0,0,5.66071,33.4583,2.85817,0.735113,1.20702,0
36.8064,0,0,5.63582,33.5967,2.83119,0.745623,1.2072,0
45.4067,0,0,5.69924,33.8948,2.83668,0.765895,1.24533,0
40.2236,0,0,5.6512,34.0715,2.81316,0.754636,1.23866,0
112.097,0,0,5.68276,34.2053,2.82052,0.767536,1.24817,0
20.5633,0,0,5.71561,32.4075,2.85553,0.758432,1.23474,0
99.4303,0,0,5.68321,34.3806,2.86321,0.74514,1.22077,0
416.211,0,0,5.66475,34.1866,2.73364,0.789412,1.31394,0
45.1954,0,0,5.67553,33.8356,2.87751,0.741124,1.19617,0
59.1277,0,0,5.72439,34.7022,2.89461,0.743532,1.22774,0
374.821,0,0,5.65409,36.0422,2.72383,0.795123,1.3244,0
37.9057,0,0,5.6851,33.3476,2.90282,0.733346,1.1843,0
49.83,0,0,5.7019,33.1401,2.86385,0.748282,1.2351,0
42.0752,0,0,5.68526,33.7681,2.86893,0.744908,1.21749,0
68.7948,0,0,5.70649,34.5472,2.81232,0.781855,1.27171,0
42.7668,0,0,5.64932,33.9021,2.82735,0.748593,1.22116,0
38.4673,0,0,5.60571,33.2262,2.81137,0.743124,1.19748,0
20.8143,0,0,5.66293,31.8363,2.81653,0.747877,1.23245,0
181.263,0,0,5.64019,35.1209,2.81154,0.756937,1.23107,0
20.0518,0,0,5.62937,32.9448,2.79128,0.751136,1.23016,0
72.9299,0,0,5.64824,34.3835,2.81812,0.753906,1.22833,0
320.305,0,0,5.68705,33.9853,2.827,0.767975,1.24919,0
113.318,0,0,5.67994,34.1484,2.81339,0.774005,1.24795,0
94.1352,0,0,5.71266,34.3674,2.84427,0.765693,1.25205,0
57.4322,0,0,5.66123,33.8918,2.8365,0.758556,1.21859,0
43.2412,0,0,5.62855,33.7384,2.84831,0.730203,1.19421,0
165.49,0,0,5.68216,33.5244,2.80932,0.76288,1.26819,0
152.684,0,0,5.66692,33.9887,2.79645,0.770199,1.26134,0
72.8634,0,0,5.65099,34.388,2.81382,0.75428,1.23615,0
59.827,0,0,5.69641,33.5772,2.82585,0.772325,1.25139,0
37.9455,0,0,5.67087,33.0992,2.85026,0.749088,1.21074,0
23.2439,0,0,5.70466,31.6532,2.8227,0.761322,1.25844,0
